,Project name,Capacity,Latitude,Longitude
1,Ardenville Wind Farm,69,49.55403082,-113.4319149
2,Blackspring Ridge Wind,298.8,50.13716178,-112.8911886
3,Blue Trail,66,49.65369867,-113.4672431
4,Box Springs Wind Project,298.8,50.10159781,-110.7237395
5,Bull Creek Wind Farm,29.2,52.50809421,-110.0598636
6,Castle River Wind Farm,44,49.50669152,-114.0419525
7,Castle Rock Ridge,75.9,49.55893233,-113.9686339
8,Castle Rock Ridge Phase 2,29.4,49.558906,-113.982902
9,Chin Chute,30,49.68461547,-112.3244515
10,Cowley North,19.5,49.56245497,-114.1076987
11,Cypress Wind Project Connection,250,49.840967,-110.356864
12,Forty Mile Granlea WAGF,200,49.663338,-111.12226
13,Ghost Pine Wind Farm,81.6,51.89860891,-113.3650434
14,Halkirk Wind,149.4,52.27371744,-112.0631229
15,Hand Hills MPC Wind,150.8,51.59,-112.32
16,Jenner Wind,109.2,50.77712,-111.045694
17,Joss Jenner - Phase 2,71.4,50.82,-111.07
18,Kettles Hill,63,49.51342882,-113.815902
19,Lundbreck Wind Farm,19.5,49.58307,-114.215968
20,Macleod Flats,3,49.686706,-113.475207
21,Magrath,30,49.38739071,-112.9547914
22,McBride Lake,75,49.60344025,-113.4846143
23,Oldman River,49.6,49.57528538,-113.852995
24,Optimist Wind Energy,0.9,49.5283495,-113.982842
25,Rattlesnake Ridge Wind Power Project,130,49.910588,-111.059969
26,Riverview Wind Power Plant,105,49.5324542,-113.9773476
27,Sinnott Wind Farm,6.5,49.53795001,-113.9806034
28,Soderglen,70.5,49.51093762,-113.5058506
29,Summerview,136.2,49.607012,-113.7769353
30,Taber Wind Farm,85.1,49.71317335,-111.9331259
31,Waterton Wind Turbines,3.78,49.21359709,-113.6574009
32,Wheatland WAGF Project,120,51.237503,-112.426214
33,Whitla,352.8,49.640292,-111.291013
34,Windrise,206.4,49.47014,-113.469329
35,Wintering Hills,88,51.2111023,-112.5584889
