"","Date","Hour","Demand"
"1","2019-01-01","00",10008
"2","2019-01-01","01",9868
"3","2019-01-01","02",9736
"4","2019-01-01","03",9597
"5","2019-01-01","04",9530
"6","2019-01-01","05",9526
"7","2019-01-01","06",9601
"8","2019-01-01","07",9654
"9","2019-01-01","08",9714
"10","2019-01-01","09",9726
"11","2019-01-01","10",9844
"12","2019-01-01","11",9934
"13","2019-01-01","12",9998
"14","2019-01-01","13",9979
"15","2019-01-01","14",9964
"16","2019-01-01","15",10032
"17","2019-01-01","16",10311
"18","2019-01-01","17",10614
"19","2019-01-01","18",10478
"20","2019-01-01","19",10356
"21","2019-01-01","20",10200
"22","2019-01-01","21",9991
"23","2019-01-01","22",9702
"24","2019-01-01","23",9442
"25","2019-01-02","00",9267
"26","2019-01-02","01",9149
"27","2019-01-02","02",9154
"28","2019-01-02","03",9194
"29","2019-01-02","04",9257
"30","2019-01-02","05",9439
"31","2019-01-02","06",9778
"32","2019-01-02","07",10152
"33","2019-01-02","08",10395
"34","2019-01-02","09",10487
"35","2019-01-02","10",10551
"36","2019-01-02","11",10589
"37","2019-01-02","12",10532
"38","2019-01-02","13",10484
"39","2019-01-02","14",10374
"40","2019-01-02","15",10384
"41","2019-01-02","16",10570
"42","2019-01-02","17",10773
"43","2019-01-02","18",10619
"44","2019-01-02","19",10503
"45","2019-01-02","20",10396
"46","2019-01-02","21",10206
"47","2019-01-02","22",9872
"48","2019-01-02","23",9590
"49","2019-01-03","00",9407
"50","2019-01-03","01",9290
"51","2019-01-03","02",9221
"52","2019-01-03","03",9212
"53","2019-01-03","04",9230
"54","2019-01-03","05",9383
"55","2019-01-03","06",9680
"56","2019-01-03","07",10056
"57","2019-01-03","08",10325
"58","2019-01-03","09",10334
"59","2019-01-03","10",10435
"60","2019-01-03","11",10465
"61","2019-01-03","12",10489
"62","2019-01-03","13",10506
"63","2019-01-03","14",10543
"64","2019-01-03","15",10558
"65","2019-01-03","16",10693
"66","2019-01-03","17",10897
"67","2019-01-03","18",10764
"68","2019-01-03","19",10626
"69","2019-01-03","20",10506
"70","2019-01-03","21",10327
"71","2019-01-03","22",10006
"72","2019-01-03","23",9724
"73","2019-01-04","00",9517
"74","2019-01-04","01",9389
"75","2019-01-04","02",9329
"76","2019-01-04","03",9263
"77","2019-01-04","04",9300
"78","2019-01-04","05",9478
"79","2019-01-04","06",9867
"80","2019-01-04","07",10247
"81","2019-01-04","08",10446
"82","2019-01-04","09",10534
"83","2019-01-04","10",10599
"84","2019-01-04","11",10661
"85","2019-01-04","12",10629
"86","2019-01-04","13",10639
"87","2019-01-04","14",10640
"88","2019-01-04","15",10622
"89","2019-01-04","16",10709
"90","2019-01-04","17",10885
"91","2019-01-04","18",10772
"92","2019-01-04","19",10654
"93","2019-01-04","20",10520
"94","2019-01-04","21",10370
"95","2019-01-04","22",10122
"96","2019-01-04","23",9891
"97","2019-01-05","00",9664
"98","2019-01-05","01",9484
"99","2019-01-05","02",9336
"100","2019-01-05","03",9283
"101","2019-01-05","04",9277
"102","2019-01-05","05",9347
"103","2019-01-05","06",9510
"104","2019-01-05","07",9757
"105","2019-01-05","08",10004
"106","2019-01-05","09",10159
"107","2019-01-05","10",10293
"108","2019-01-05","11",10348
"109","2019-01-05","12",10356
"110","2019-01-05","13",10363
"111","2019-01-05","14",10329
"112","2019-01-05","15",10360
"113","2019-01-05","16",10616
"114","2019-01-05","17",10797
"115","2019-01-05","18",10686
"116","2019-01-05","19",10549
"117","2019-01-05","20",10446
"118","2019-01-05","21",10291
"119","2019-01-05","22",10063
"120","2019-01-05","23",9826
"121","2019-01-06","00",9567
"122","2019-01-06","01",9420
"123","2019-01-06","02",9318
"124","2019-01-06","03",9266
"125","2019-01-06","04",9235
"126","2019-01-06","05",9286
"127","2019-01-06","06",9386
"128","2019-01-06","07",9579
"129","2019-01-06","08",9735
"130","2019-01-06","09",9846
"131","2019-01-06","10",9986
"132","2019-01-06","11",10077
"133","2019-01-06","12",10095
"134","2019-01-06","13",10054
"135","2019-01-06","14",10105
"136","2019-01-06","15",10228
"137","2019-01-06","16",10515
"138","2019-01-06","17",10806
"139","2019-01-06","18",10704
"140","2019-01-06","19",10610
"141","2019-01-06","20",10433
"142","2019-01-06","21",10280
"143","2019-01-06","22",9968
"144","2019-01-06","23",9663
"145","2019-01-07","00",9477
"146","2019-01-07","01",9380
"147","2019-01-07","02",9369
"148","2019-01-07","03",9364
"149","2019-01-07","04",9426
"150","2019-01-07","05",9659
"151","2019-01-07","06",10109
"152","2019-01-07","07",10679
"153","2019-01-07","08",10927
"154","2019-01-07","09",10962
"155","2019-01-07","10",11033
"156","2019-01-07","11",11039
"157","2019-01-07","12",11006
"158","2019-01-07","13",10995
"159","2019-01-07","14",10961
"160","2019-01-07","15",11003
"161","2019-01-07","16",11107
"162","2019-01-07","17",11269
"163","2019-01-07","18",11184
"164","2019-01-07","19",11149
"165","2019-01-07","20",11098
"166","2019-01-07","21",10906
"167","2019-01-07","22",10566
"168","2019-01-07","23",10256
"169","2019-01-08","00",10032
"170","2019-01-08","01",9933
"171","2019-01-08","02",9895
"172","2019-01-08","03",9871
"173","2019-01-08","04",9943
"174","2019-01-08","05",10124
"175","2019-01-08","06",10480
"176","2019-01-08","07",10892
"177","2019-01-08","08",10980
"178","2019-01-08","09",10984
"179","2019-01-08","10",10958
"180","2019-01-08","11",10958
"181","2019-01-08","12",10967
"182","2019-01-08","13",10963
"183","2019-01-08","14",10932
"184","2019-01-08","15",10998
"185","2019-01-08","16",11181
"186","2019-01-08","17",11301
"187","2019-01-08","18",11199
"188","2019-01-08","19",11168
"189","2019-01-08","20",11010
"190","2019-01-08","21",10786
"191","2019-01-08","22",10446
"192","2019-01-08","23",10114
"193","2019-01-09","00",9926
"194","2019-01-09","01",9774
"195","2019-01-09","02",9690
"196","2019-01-09","03",9637
"197","2019-01-09","04",9682
"198","2019-01-09","05",9876
"199","2019-01-09","06",10299
"200","2019-01-09","07",10786
"201","2019-01-09","08",11011
"202","2019-01-09","09",10983
"203","2019-01-09","10",11029
"204","2019-01-09","11",10999
"205","2019-01-09","12",10906
"206","2019-01-09","13",10865
"207","2019-01-09","14",10832
"208","2019-01-09","15",10855
"209","2019-01-09","16",11080
"210","2019-01-09","17",11202
"211","2019-01-09","18",11052
"212","2019-01-09","19",11033
"213","2019-01-09","20",10934
"214","2019-01-09","21",10704
"215","2019-01-09","22",10331
"216","2019-01-09","23",9997
"217","2019-01-10","00",9790
"218","2019-01-10","01",9670
"219","2019-01-10","02",9626
"220","2019-01-10","03",9606
"221","2019-01-10","04",9621
"222","2019-01-10","05",9849
"223","2019-01-10","06",10282
"224","2019-01-10","07",10740
"225","2019-01-10","08",10864
"226","2019-01-10","09",10807
"227","2019-01-10","10",10743
"228","2019-01-10","11",10699
"229","2019-01-10","12",10633
"230","2019-01-10","13",10568
"231","2019-01-10","14",10525
"232","2019-01-10","15",10582
"233","2019-01-10","16",10782
"234","2019-01-10","17",11059
"235","2019-01-10","18",10951
"236","2019-01-10","19",10855
"237","2019-01-10","20",10707
"238","2019-01-10","21",10456
"239","2019-01-10","22",10156
"240","2019-01-10","23",9830
"241","2019-01-11","00",9627
"242","2019-01-11","01",9528
"243","2019-01-11","02",9507
"244","2019-01-11","03",9504
"245","2019-01-11","04",9517
"246","2019-01-11","05",9710
"247","2019-01-11","06",10134
"248","2019-01-11","07",10599
"249","2019-01-11","08",10739
"250","2019-01-11","09",10695
"251","2019-01-11","10",10670
"252","2019-01-11","11",10655
"253","2019-01-11","12",10649
"254","2019-01-11","13",10679
"255","2019-01-11","14",10593
"256","2019-01-11","15",10522
"257","2019-01-11","16",10676
"258","2019-01-11","17",10945
"259","2019-01-11","18",10746
"260","2019-01-11","19",10572
"261","2019-01-11","20",10378
"262","2019-01-11","21",10219
"263","2019-01-11","22",9972
"264","2019-01-11","23",9686
"265","2019-01-12","00",9476
"266","2019-01-12","01",9341
"267","2019-01-12","02",9231
"268","2019-01-12","03",9237
"269","2019-01-12","04",9253
"270","2019-01-12","05",9233
"271","2019-01-12","06",9310
"272","2019-01-12","07",9569
"273","2019-01-12","08",9763
"274","2019-01-12","09",9918
"275","2019-01-12","10",10065
"276","2019-01-12","11",10085
"277","2019-01-12","12",10088
"278","2019-01-12","13",10032
