,Date,Hour,Demand
1,2021-01-01,0,9655
2,2021-01-01,1,9513
3,2021-01-01,2,9437
4,2021-01-01,3,9376
5,2021-01-01,4,9356
6,2021-01-01,5,9403
7,2021-01-01,6,9503
8,2021-01-01,7,9627
9,2021-01-01,8,9775
10,2021-01-01,9,9867
11,2021-01-01,10,9992
12,2021-01-01,11,10127
13,2021-01-01,12,10167
14,2021-01-01,13,10147
15,2021-01-01,14,10132
16,2021-01-01,15,10219
17,2021-01-01,16,10512
18,2021-01-01,17,10787
19,2021-01-01,18,10679
20,2021-01-01,19,10428
21,2021-01-01,20,10295
22,2021-01-01,21,10113
23,2021-01-01,22,9891
24,2021-01-01,23,9646
25,2021-01-02,0,9491
26,2021-01-02,1,9378
27,2021-01-02,2,9317
28,2021-01-02,3,9281
29,2021-01-02,4,9328
30,2021-01-02,5,9356
31,2021-01-02,6,9434
32,2021-01-02,7,9629
33,2021-01-02,8,9814
34,2021-01-02,9,9935
35,2021-01-02,10,10055
36,2021-01-02,11,10123
37,2021-01-02,12,10171
38,2021-01-02,13,10137
39,2021-01-02,14,10075
40,2021-01-02,15,10131
41,2021-01-02,16,10416
42,2021-01-02,17,10721
43,2021-01-02,18,10537
44,2021-01-02,19,10365
45,2021-01-02,20,10224
46,2021-01-02,21,10029
47,2021-01-02,22,9845
48,2021-01-02,23,9637
49,2021-01-03,0,9467
50,2021-01-03,1,9345
51,2021-01-03,2,9261
52,2021-01-03,3,9197
53,2021-01-03,4,9202
54,2021-01-03,5,9247
55,2021-01-03,6,9337
56,2021-01-03,7,9547
57,2021-01-03,8,9763
58,2021-01-03,9,9862
59,2021-01-03,10,10010
60,2021-01-03,11,10095
61,2021-01-03,12,10173
62,2021-01-03,13,10122
63,2021-01-03,14,10069
64,2021-01-03,15,10146
65,2021-01-03,16,10525
66,2021-01-03,17,10907
67,2021-01-03,18,10770
68,2021-01-03,19,10627
69,2021-01-03,20,10437
70,2021-01-03,21,10217
71,2021-01-03,22,9987
72,2021-01-03,23,9731
73,2021-01-04,0,9559
74,2021-01-04,1,9514
75,2021-01-04,2,9448
76,2021-01-04,3,9409
77,2021-01-04,4,9455
78,2021-01-04,5,9574
79,2021-01-04,6,9869
80,2021-01-04,7,10292
81,2021-01-04,8,10473
82,2021-01-04,9,10464
83,2021-01-04,10,10506
84,2021-01-04,11,10654
85,2021-01-04,12,10648
86,2021-01-04,13,10655
87,2021-01-04,14,10670
88,2021-01-04,15,10640
89,2021-01-04,16,10811
90,2021-01-04,17,10957
91,2021-01-04,18,10768
92,2021-01-04,19,10687
93,2021-01-04,20,10530
94,2021-01-04,21,10361
95,2021-01-04,22,10111
96,2021-01-04,23,9867
97,2021-01-05,0,9677
98,2021-01-05,1,9615
99,2021-01-05,2,9557
100,2021-01-05,3,9550
101,2021-01-05,4,9552
102,2021-01-05,5,9641
103,2021-01-05,6,9920
104,2021-01-05,7,10353
105,2021-01-05,8,10658
106,2021-01-05,9,10647
107,2021-01-05,10,10655
108,2021-01-05,11,10661
109,2021-01-05,12,10626
110,2021-01-05,13,10537
111,2021-01-05,14,10522
112,2021-01-05,15,10611
113,2021-01-05,16,10876
114,2021-01-05,17,11055
115,2021-01-05,18,10890
116,2021-01-05,19,10692
117,2021-01-05,20,10545
118,2021-01-05,21,10338
119,2021-01-05,22,10026
120,2021-01-05,23,9766
121,2021-01-06,0,9597
122,2021-01-06,1,9492
123,2021-01-06,2,9417
124,2021-01-06,3,9389
125,2021-01-06,4,9392
126,2021-01-06,5,9516
127,2021-01-06,6,9837
128,2021-01-06,7,10247
129,2021-01-06,8,10517
130,2021-01-06,9,10541
131,2021-01-06,10,10564
132,2021-01-06,11,10561
133,2021-01-06,12,10529
134,2021-01-06,13,10415
135,2021-01-06,14,10395
136,2021-01-06,15,10395
137,2021-01-06,16,10645
138,2021-01-06,17,10909
139,2021-01-06,18,10721
140,2021-01-06,19,10530
141,2021-01-06,20,10321
142,2021-01-06,21,10098
143,2021-01-06,22,9843
144,2021-01-06,23,9577
145,2021-01-07,0,9411
