"","Record_Number","Run_ID","Date_Time","Study_Info","Time_Period","LT_Iteration","Risk_Iteration","Run_Status","Memory_Usage","Memory_Avail","Message_Type","Message","Message_Time"
"1",0,"Base Case","11/10/2022 10:55:39 AM","Nominal | 11/9/2022 12:26:36 PM","2020_11_12 Hr 00",0,0,"Initializing"," 3067.4","13443.7","Study Info","x64 version of Aurora 14.2.1023","11/10/2022 10:55:39 AM"
"2",1,"Base Case","11/10/2022 10:55:39 AM","Nominal | 11/9/2022 12:26:36 PM","2020_11_12 Hr 00",0,0,"Initializing"," 3067.4","13443.7","Study Info","Project: C:\Users\pawlench\Documents\Aurora\Current Project\CABREE Project File JVO 2022.apz","11/10/2022 10:55:39 AM"
"3",2,"Base Case","11/10/2022 10:55:39 AM","Nominal | 11/9/2022 12:26:36 PM","2020_11_12 Hr 00",0,0,"Running"," 3067.4","13443.8","Warning","Ramp rates can only be used in studies that sample every day. Ramp rates turned off for this run.","11/10/2022 10:55:39 AM"
"4",3,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Study period = 1/1/2020 through 12/31/2040","11/10/2022 10:57:20 AM"
"5",4,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Sampling 2nd Week; Every Day; Every Hour","11/10/2022 10:57:20 AM"
"6",5,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Using threads in dispatch with 8 processors","11/10/2022 10:57:20 AM"
"7",6,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Running zonal study","11/10/2022 10:57:20 AM"
"8",7,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Input database is 'C:\Users\pawlench\Documents\Aurora\Current Project\CABREE_DB_AJL_WDN_2022.xdb'","11/10/2022 10:57:20 AM"
"9",8,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Running with Economic Base Year = 2012, Demand Base Year = 2012","11/10/2022 10:57:20 AM"
"10",9,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Using commitment optimization logic in run with precision level of 0.01","11/10/2022 10:57:20 AM"
"11",10,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Running long-term capacity expansion study","11/10/2022 10:57:20 AM"
"12",11,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Running in hourly mode","11/10/2022 10:57:20 AM"
"13",12,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Areas table in study: Areas","11/10/2022 10:57:20 AM"
"14",13,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","General Info table in study: General Information","11/10/2022 10:57:20 AM"
"15",14,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Hubs table in study: Hubs","11/10/2022 10:57:20 AM"
"16",15,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Zone Definition table in study: Zone Definition","11/10/2022 10:57:20 AM"
"17",16,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Demand Escalation table in study: Demand Escalation","11/10/2022 10:57:20 AM"
"18",17,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Emission Price table in study: Emission Price","11/10/2022 10:57:20 AM"
"19",18,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Emission Rate table in study: Emission Rate","11/10/2022 10:57:20 AM"
"20",19,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Conditions table in study: Conditions WECC","11/10/2022 10:57:20 AM"
"21",20,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Operating Pools table in study: Operating Pools","11/10/2022 10:57:20 AM"
"22",21,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Link table in study: Link","11/10/2022 10:57:20 AM"
"23",22,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","New Resources table in study: New Resources","11/10/2022 10:57:20 AM"
"24",23,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Demand Hourly table in study: Demand Hourly","11/10/2022 10:57:20 AM"
"25",24,"Base Case","11/10/2022 10:57:20 AM","Nominal | 11/10/2022 10:57:15 AM","2020_01_01 Hr 01",0,0,"Initializing"," 3072.3","13417.9","Study Info","Fuel table in study: Fuels","11/10/2022 10:57:20 AM"
