"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,0
"11",2009,1,1,10,4.99461135011545
"12",2009,1,1,11,29.4419822575694
"13",2009,1,1,12,64.0839079859116
"14",2009,1,1,13,89.1502587338385
"15",2009,1,1,14,99.3993613288593
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,100
"20",2009,1,1,19,100
"21",2009,1,1,20,99.3237499653979
"22",2009,1,1,21,95.8822553549286
"23",2009,1,1,22,78.6191904571491
"24",2009,1,1,23,54.8201501860777
"25",2009,1,2,0,55.7570517422853
"26",2009,1,2,1,76.269983295339
"27",2009,1,2,2,81.1905101533332
"28",2009,1,2,3,81.4584489661575
"29",2009,1,2,4,82.6009150354054
"30",2009,1,2,5,80.7107903539115
"31",2009,1,2,6,84.9975613854468
"32",2009,1,2,7,84.5218530831147
"33",2009,1,2,8,82.4148947357884
"34",2009,1,2,9,79.5108902675748
"35",2009,1,2,10,70.3113049887726
"36",2009,1,2,11,58.4797141136945
"37",2009,1,2,12,75.2377709723329
"38",2009,1,2,13,91.1266407869976
"39",2009,1,2,14,99.3408971775024
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,99.8857864268196
"56",2009,1,3,7,87.1969034592412
"57",2009,1,3,8,30.1762225897011
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,0
"135",2009,1,6,14,2.84138090819038
"136",2009,1,6,15,39.6289193782163
"137",2009,1,6,16,64.1049946148018
"138",2009,1,6,17,70.7531963810369
"139",2009,1,6,18,65.4239766152633
"140",2009,1,6,19,63.5572784478363
"141",2009,1,6,20,67.7968516281997
"142",2009,1,6,21,78.8468097114041
"143",2009,1,6,22,89.0789483800366
"144",2009,1,6,23,94.9022469039189
"145",2009,1,7,0,97.6607313744573
"146",2009,1,7,1,94.4236211228606
"147",2009,1,7,2,87.4734102155167
"148",2009,1,7,3,83.5453826617681
"149",2009,1,7,4,72.8587842342138
"150",2009,1,7,5,34.8414006306708
"151",2009,1,7,6,13.947543647108
"152",2009,1,7,7,23.1261792798999
"153",2009,1,7,8,25.0518077008407
"154",2009,1,7,9,0.771206022960184
"155",2009,1,7,10,0
"156",2009,1,7,11,0.534328452750989
"157",2009,1,7,12,3.3796937359394
"158",2009,1,7,13,6.82133219031703
"159",2009,1,7,14,7.41137992972925
"160",2009,1,7,15,1.44511764992542
"161",2009,1,7,16,6.67667052146997
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,9.70495324411429
"172",2009,1,8,3,28.7658160480564
"173",2009,1,8,4,49.7909389940112
"174",2009,1,8,5,59.443816982008
"175",2009,1,8,6,49.1067658800743
"176",2009,1,8,7,34.5429644957239
"177",2009,1,8,8,20.7572941437775
"178",2009,1,8,9,2.5365026884303
"179",2009,1,8,10,2.05003292818104
"180",2009,1,8,11,77.8267787070333
"181",2009,1,8,12,68.4847187002027
"182",2009,1,8,13,58.4748065142049
"183",2009,1,8,14,67.9636647168066
"184",2009,1,8,15,72.1096557768473
"185",2009,1,8,16,70.9796423341359
"186",2009,1,8,17,61.7091052138596
"187",2009,1,8,18,74.263321536988
"188",2009,1,8,19,89.6400933652785
"189",2009,1,8,20,98.9311526237578
"190",2009,1,8,21,100
"191",2009,1,8,22,100
"192",2009,1,8,23,99.4343875475012
"193",2009,1,9,0,99.3831914783597
"194",2009,1,9,1,95.0867200326499
"195",2009,1,9,2,86.3937821851244
"196",2009,1,9,3,76.0656043323955
"197",2009,1,9,4,83.3708562076359
"198",2009,1,9,5,89.1159107603294
"199",2009,1,9,6,86.5081378869732
"200",2009,1,9,7,81.2527696669988
"201",2009,1,9,8,54.3477571678007
"202",2009,1,9,9,14.9801667042456
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,1.80093007708016
"217",2009,1,10,0,3.53567222515866
