"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,11.5191027987109
"6",2009,1,1,5,35.8477987292272
"7",2009,1,1,6,67.2001594472554
"8",2009,1,1,7,76.2551827772372
"9",2009,1,1,8,82.3008369292035
"10",2009,1,1,9,95.2159331975633
"11",2009,1,1,10,99.7700649236881
"12",2009,1,1,11,100
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,99.3929229860919
"16",2009,1,1,15,89.7267062795924
"17",2009,1,1,16,80.514387120291
"18",2009,1,1,17,57.4771853788959
"19",2009,1,1,18,45.2866226384183
"20",2009,1,1,19,42.3437572727243
"21",2009,1,1,20,65.2888759720118
"22",2009,1,1,21,71.4906017388976
"23",2009,1,1,22,77.1790402044417
"24",2009,1,1,23,87.7609120334859
"25",2009,1,2,0,92.738411381878
"26",2009,1,2,1,91.392310580198
"27",2009,1,2,2,86.2128274315817
"28",2009,1,2,3,82.4651952014196
"29",2009,1,2,4,68.056466195689
"30",2009,1,2,5,60.1117463981883
"31",2009,1,2,6,59.8020814363738
"32",2009,1,2,7,52.1177750562162
"33",2009,1,2,8,33.7324873573146
"34",2009,1,2,9,20.9680018745966
"35",2009,1,2,10,7.62114402291561
"36",2009,1,2,11,0
"37",2009,1,2,12,3.66570594727714
"38",2009,1,2,13,5.16557493134409
"39",2009,1,2,14,2.4709875705084
"40",2009,1,2,15,1.51084637546834
"41",2009,1,2,16,1.48488223041326
"42",2009,1,2,17,0
"43",2009,1,2,18,0.895912746699934
"44",2009,1,2,19,1.20365259055052
"45",2009,1,2,20,0.180532736057646
"46",2009,1,2,21,0
"47",2009,1,2,22,0
"48",2009,1,2,23,0
"49",2009,1,3,0,1.77929154260119
"50",2009,1,3,1,11.2914340040347
"51",2009,1,3,2,24.1804016264302
"52",2009,1,3,3,34.9017260996371
"53",2009,1,3,4,45.5193446767356
"54",2009,1,3,5,51.608240163668
"55",2009,1,3,6,56.248233857997
"56",2009,1,3,7,54.7414014309134
"57",2009,1,3,8,47.9990288925323
"58",2009,1,3,9,44.374712467706
"59",2009,1,3,10,53.6348224637913
"60",2009,1,3,11,64.9987465442011
"61",2009,1,3,12,72.6184016477014
"62",2009,1,3,13,79.169792472954
"63",2009,1,3,14,82.4437777473136
"64",2009,1,3,15,85.6174536370291
"65",2009,1,3,16,88.5186831588596
"66",2009,1,3,17,91.3529180981985
"67",2009,1,3,18,93.6020831750001
"68",2009,1,3,19,93.7265480442349
"69",2009,1,3,20,92.8116553517561
"70",2009,1,3,21,90.6109964470796
"71",2009,1,3,22,92.1556928460364
"72",2009,1,3,23,94.369870566139
"73",2009,1,4,0,96.5027055485555
"74",2009,1,4,1,96.5152739730454
"75",2009,1,4,2,94.0801004036393
"76",2009,1,4,3,87.7737041134657
"77",2009,1,4,4,77.7512190966173
"78",2009,1,4,5,56.8173065773814
"79",2009,1,4,6,16.0430876858074
"80",2009,1,4,7,0.635886229844923
"81",2009,1,4,8,11.8626952464469
"82",2009,1,4,9,15.7410120871313
"83",2009,1,4,10,20.6158315851657
"84",2009,1,4,11,23.2356591492455
"85",2009,1,4,12,32.1610186913958
"86",2009,1,4,13,51.4950757885809
"87",2009,1,4,14,55.1077811909598
"88",2009,1,4,15,33.6012812170843
"89",2009,1,4,16,3.2717014791
"90",2009,1,4,17,0.0919007229841895
"91",2009,1,4,18,3.51548471659454
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,6.42378419762983
"105",2009,1,5,8,21.6235119170374
"106",2009,1,5,9,55.6052469796279
"107",2009,1,5,10,87.1017443024394
"108",2009,1,5,11,94.9677103132826
"109",2009,1,5,12,98.8000465933439
"110",2009,1,5,13,99.2443469555814
"111",2009,1,5,14,99.4954737196923
"112",2009,1,5,15,95.1164214438367
"113",2009,1,5,16,88.4782016765041
"114",2009,1,5,17,88.8289521346859
"115",2009,1,5,18,91.8379886792771
"116",2009,1,5,19,93.8525944578389
"117",2009,1,5,20,85.7335936564317
"118",2009,1,5,21,50.689350169868
"119",2009,1,5,22,42.6534772483152
"120",2009,1,5,23,69.7568818360933
"121",2009,1,6,0,62.6464096073277
"122",2009,1,6,1,41.4826542605551
"123",2009,1,6,2,23.1677161120111
"124",2009,1,6,3,18.5140561320704
"125",2009,1,6,4,28.4929614199456
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,0
"135",2009,1,6,14,11.072507507479
"136",2009,1,6,15,18.5095720137404
"137",2009,1,6,16,27.8044415539663
"138",2009,1,6,17,39.1914691958
"139",2009,1,6,18,51.5820037480565
"140",2009,1,6,19,65.73718882906
"141",2009,1,6,20,85.578160171686
"142",2009,1,6,21,93.1738724582095
"143",2009,1,6,22,97.4556437282104
"144",2009,1,6,23,99.2137792306349
"145",2009,1,7,0,99.0035282328961
"146",2009,1,7,1,98.6614287111925
"147",2009,1,7,2,94.1986272068168
"148",2009,1,7,3,89.7164092601805
"149",2009,1,7,4,87.4765708294563
"150",2009,1,7,5,83.5192500300078
"151",2009,1,7,6,79.469166457978
"152",2009,1,7,7,78.2668336447174
"153",2009,1,7,8,77.1109821461049
"154",2009,1,7,9,71.6534080677367
"155",2009,1,7,10,72.9197960779351
"156",2009,1,7,11,74.5225609989875
"157",2009,1,7,12,78.9135319560222
"158",2009,1,7,13,84.103643115808
"159",2009,1,7,14,84.9257373880054
"160",2009,1,7,15,84.3211132710659
"161",2009,1,7,16,84.1934517767098
"162",2009,1,7,17,84.646068299481
"163",2009,1,7,18,86.6507132227555
"164",2009,1,7,19,86.2137421744805
"165",2009,1,7,20,89.7130291058606
"166",2009,1,7,21,88.7449421866343
"167",2009,1,7,22,88.2745748268729
"168",2009,1,7,23,81.7566242593231
"169",2009,1,8,0,72.688337034918
"170",2009,1,8,1,50.4730928215662
"171",2009,1,8,2,12.4601551374791
"172",2009,1,8,3,3.49497686330195
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,5.11579312348238
"176",2009,1,8,7,23.8852484145261
"177",2009,1,8,8,48.0133657214748
"178",2009,1,8,9,67.1319769219199
"179",2009,1,8,10,77.3872771699042
"180",2009,1,8,11,89.1636100289813
"181",2009,1,8,12,91.2279590417837
"182",2009,1,8,13,90.0556187963402
"183",2009,1,8,14,77.5308588025899
"184",2009,1,8,15,60.1722608329223
"185",2009,1,8,16,43.0243336447641
"186",2009,1,8,17,32.5244756390327
"187",2009,1,8,18,11.2225097536221
"188",2009,1,8,19,0
"189",2009,1,8,20,0
