"","year","month","day","hour","Outage"
"1",2009,1,1,0,8.79983274588525
"2",2009,1,1,1,15.604295965065
"3",2009,1,1,2,48.4071106757965
"4",2009,1,1,3,59.6264673756796
"5",2009,1,1,4,60.2818368956462
"6",2009,1,1,5,61.7875770925804
"7",2009,1,1,6,60.2804182581073
"8",2009,1,1,7,65.2007983522483
"9",2009,1,1,8,70.3799181142289
"10",2009,1,1,9,39.7261859478468
"11",2009,1,1,10,30.3785826441052
"12",2009,1,1,11,57.3960061162974
"13",2009,1,1,12,82.9491013680464
"14",2009,1,1,13,87.4182754387035
"15",2009,1,1,14,88.9344301779508
"16",2009,1,1,15,97.6531870150974
"17",2009,1,1,16,71.7174821298407
"18",2009,1,1,17,10.6849936041329
"19",2009,1,1,18,0
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,0
"23",2009,1,1,22,0
"24",2009,1,1,23,0
"25",2009,1,2,0,0.0686618604158196
"26",2009,1,2,1,45.5362063561402
"27",2009,1,2,2,68.1458447921086
"28",2009,1,2,3,11.2482915026719
"29",2009,1,2,4,18.0545071157223
"30",2009,1,2,5,27.9990177907471
"31",2009,1,2,6,48.3194177108924
"32",2009,1,2,7,54.6671417760532
"33",2009,1,2,8,60.9260147290189
"34",2009,1,2,9,61.0798929060243
"35",2009,1,2,10,59.2828404710761
"36",2009,1,2,11,55.9224174764209
"37",2009,1,2,12,56.2859704908179
"38",2009,1,2,13,53.2857616144675
"39",2009,1,2,14,37.8200015670032
"40",2009,1,2,15,18.6882843869009
"41",2009,1,2,16,12.7164113194329
"42",2009,1,2,17,6.76621821319981
"43",2009,1,2,18,13.6523897219882
"44",2009,1,2,19,22.4310825862906
"45",2009,1,2,20,33.3582341517989
"46",2009,1,2,21,48.6681409611635
"47",2009,1,2,22,63.0816750231304
"48",2009,1,2,23,73.654747728024
"49",2009,1,3,0,81.5987487239596
"50",2009,1,3,1,89.7077053465555
"51",2009,1,3,2,94.9067440175998
"52",2009,1,3,3,97.197638983786
"53",2009,1,3,4,97.5854070872541
"54",2009,1,3,5,97.6384395751697
"55",2009,1,3,6,94.8519492011544
"56",2009,1,3,7,93.7252538611347
"57",2009,1,3,8,92.0282361477947
"58",2009,1,3,9,93.8974187613968
"59",2009,1,3,10,91.1544944804096
"60",2009,1,3,11,91.1697984104157
"61",2009,1,3,12,94.1626361781862
"62",2009,1,3,13,80.3646004214558
"63",2009,1,3,14,65.7751101984684
"64",2009,1,3,15,21.1012339947242
"65",2009,1,3,16,2.97930970694868
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0.557647033413881
"129",2009,1,6,8,11.1519976965262
"130",2009,1,6,9,23.6046565285224
"131",2009,1,6,10,43.4922361214938
"132",2009,1,6,11,58.2830332343454
"133",2009,1,6,12,76.0350266529016
"134",2009,1,6,13,87.7504834393483
"135",2009,1,6,14,95.5994989476917
"136",2009,1,6,15,99.8912998838707
"137",2009,1,6,16,100
"138",2009,1,6,17,99.403346778641
"139",2009,1,6,18,90.7718182386774
"140",2009,1,6,19,96.3839288137169
"141",2009,1,6,20,99.8936092742977
"142",2009,1,6,21,96.5453531543451
"143",2009,1,6,22,93.1491127838222
"144",2009,1,6,23,90.1569994871246
"145",2009,1,7,0,79.2351863821908
"146",2009,1,7,1,69.4609886584858
"147",2009,1,7,2,64.7497385983038
"148",2009,1,7,3,57.7694166802381
"149",2009,1,7,4,44.1302634253956
"150",2009,1,7,5,28.2724911305865
"151",2009,1,7,6,12.0475880590106
"152",2009,1,7,7,10.320383723149
"153",2009,1,7,8,28.9903466585277
"154",2009,1,7,9,37.6176371731582
"155",2009,1,7,10,37.3442568168353
"156",2009,1,7,11,32.1660647713949
"157",2009,1,7,12,26.6316650582615
"158",2009,1,7,13,24.4498006548605
"159",2009,1,7,14,16.9362004486908
"160",2009,1,7,15,21.2807233020697
"161",2009,1,7,16,29.5501849054649
"162",2009,1,7,17,15.0767909921495
"163",2009,1,7,18,0.533742785880896
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,1.21249339887055
"167",2009,1,7,22,2.19224510292212
"168",2009,1,7,23,0.228808592809363
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,24.1468574578497
"182",2009,1,8,13,13.9761092773891
"183",2009,1,8,14,19.4969278389479
"184",2009,1,8,15,8.10535014141325
"185",2009,1,8,16,3.51432998362299
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,1.49153085973358
"190",2009,1,8,21,0.203656126902496
"191",2009,1,8,22,1.31605407873671
"192",2009,1,8,23,7.11277848489792
"193",2009,1,9,0,15.2581513649514
"194",2009,1,9,1,23.2829477367617
"195",2009,1,9,2,37.9882694305998
"196",2009,1,9,3,46.5305432339639
"197",2009,1,9,4,59.3949078174932
"198",2009,1,9,5,64.8803315155164
"199",2009,1,9,6,61.9587235726771
"200",2009,1,9,7,61.1774832165197
"201",2009,1,9,8,48.1133116794366
"202",2009,1,9,9,39.2317408930572
"203",2009,1,9,10,31.3637461925971
"204",2009,1,9,11,8.4833066562001
"205",2009,1,9,12,4.35944326753682
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0
"232",2009,1,10,15,0
"233",2009,1,10,16,0
"234",2009,1,10,17,0.109107390475353
"235",2009,1,10,18,1.95954909852255
"236",2009,1,10,19,7.49202688683691
"237",2009,1,10,20,24.0132458840648
"238",2009,1,10,21,30.107327632551
"239",2009,1,10,22,42.3724717887368
"240",2009,1,10,23,58.1208008740312
"241",2009,1,11,0,68.5483465109345
"242",2009,1,11,1,60.6842220593012
"243",2009,1,11,2,15.8467370092803
"244",2009,1,11,3,0
"245",2009,1,11,4,0
"246",2009,1,11,5,0
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,0.909885072041857
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,0
"260",2009,1,11,19,0
"261",2009,1,11,20,0
"262",2009,1,11,21,0
"263",2009,1,11,22,0
"264",2009,1,11,23,17.6353726018905
"265",2009,1,12,0,55.9548055882697
"266",2009,1,12,1,81.4375066583409
"267",2009,1,12,2,86.2005446210751
"268",2009,1,12,3,80.0594066301316
"269",2009,1,12,4,81.8625446323749
"270",2009,1,12,5,77.8210324569617
"271",2009,1,12,6,79.8829597532882
"272",2009,1,12,7,79.843518632804
"273",2009,1,12,8,68.3488211735347
"274",2009,1,12,9,70.3392581588312
"275",2009,1,12,10,71.0814966226139
"276",2009,1,12,11,82.8948741512556
"277",2009,1,12,12,90.7720589717438
"278",2009,1,12,13,90.5294058663231
"279",2009,1,12,14,80.7127335951825
"280",2009,1,12,15,45.6537249403753
"281",2009,1,12,16,17.1867336120658
"282",2009,1,12,17,0.132934933446445
"283",2009,1,12,18,0
"284",2009,1,12,19,0
"285",2009,1,12,20,0
"286",2009,1,12,21,0
"287",2009,1,12,22,0
"288",2009,1,12,23,0
"289",2009,1,13,0,0
