"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,6.47215281140868
"5",2009,1,1,4,20.7398667798755
"6",2009,1,1,5,33.4108554342417
"7",2009,1,1,6,45.6113575323304
"8",2009,1,1,7,35.3706830011545
"9",2009,1,1,8,38.9470287402844
"10",2009,1,1,9,36.5722920964948
"11",2009,1,1,10,60.1963539615946
"12",2009,1,1,11,94.44500856998
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,94.9944585806761
"20",2009,1,1,19,89.0469279701274
"21",2009,1,1,20,86.955678710278
"22",2009,1,1,21,84.6983903019061
"23",2009,1,1,22,79.0240540515026
"24",2009,1,1,23,71.144321790229
"25",2009,1,2,0,89.0676912259963
"26",2009,1,2,1,77.9693295715475
"27",2009,1,2,2,61.0804717141692
"28",2009,1,2,3,78.9083440264206
"29",2009,1,2,4,81.3210729046907
"30",2009,1,2,5,81.6013321827915
"31",2009,1,2,6,84.6163240504797
"32",2009,1,2,7,87.1289056108254
"33",2009,1,2,8,90.3102545258178
"34",2009,1,2,9,95.8124889468817
"35",2009,1,2,10,99.7404003783768
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,99.4468897199002
"52",2009,1,3,3,99.0902575563343
"53",2009,1,3,4,96.9528881401977
"54",2009,1,3,5,84.9975164543191
"55",2009,1,3,6,69.3582929956743
"56",2009,1,3,7,15.8740616968617
"57",2009,1,3,8,0.292992618252643
"58",2009,1,3,9,0
"59",2009,1,3,10,0.168873320245875
"60",2009,1,3,11,1.29309439713984
"61",2009,1,3,12,0.0435952727218506
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0.271501732689605
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,1.66501114502809
"84",2009,1,4,11,12.2581520835769
"85",2009,1,4,12,23.5991174648842
"86",2009,1,4,13,23.2315912901139
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,25.7300896318776
"97",2009,1,5,0,37.3587084733617
"98",2009,1,5,1,33.9392366530936
"99",2009,1,5,2,35.5981516503279
"100",2009,1,5,3,11.9241423385029
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0.429842121105574
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,7.52903335092878
"120",2009,1,5,23,12.1135818235345
"121",2009,1,6,0,4.42950770958356
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0.0360324690651633
"134",2009,1,6,13,9.65400682086773
"135",2009,1,6,14,33.7544139360433
"136",2009,1,6,15,54.0721011146616
"137",2009,1,6,16,38.6135591745342
"138",2009,1,6,17,37.0255083387741
"139",2009,1,6,18,47.3381099420872
"140",2009,1,6,19,39.3028583202627
"141",2009,1,6,20,35.5121799093078
"142",2009,1,6,21,53.3113252051655
"143",2009,1,6,22,47.7899012306364
"144",2009,1,6,23,23.4973983869306
"145",2009,1,7,0,0.687507004625008
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,0.0726503792250218
"184",2009,1,8,15,70.0742189331742
"185",2009,1,8,16,99.7567438393122
"186",2009,1,8,17,73.9182093476398
"187",2009,1,8,18,47.8004884424569
"188",2009,1,8,19,77.7320767175743
"189",2009,1,8,20,92.9315369484507
"190",2009,1,8,21,99.5574381047937
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
"195",2009,1,9,2,100
"196",2009,1,9,3,100
"197",2009,1,9,4,100
"198",2009,1,9,5,100
"199",2009,1,9,6,100
"200",2009,1,9,7,98.5437524487852
"201",2009,1,9,8,82.6935581970608
"202",2009,1,9,9,7.91653313704441
"203",2009,1,9,10,18.7442368494507
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
