"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,12.3297749688278
"5",2009,1,1,4,25.9398002296036
"6",2009,1,1,5,29.0570923709382
"7",2009,1,1,6,39.6790901611057
"8",2009,1,1,7,32.9547768653307
"9",2009,1,1,8,35.7451323810182
"10",2009,1,1,9,35.0177503114461
"11",2009,1,1,10,47.598873943194
"12",2009,1,1,11,82.1975347602265
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,95.4308029361499
"20",2009,1,1,19,90.7692157520933
"21",2009,1,1,20,89.1777612112403
"22",2009,1,1,21,87.0649101800994
"23",2009,1,1,22,81.8786137442775
"24",2009,1,1,23,72.7798664359491
"25",2009,1,2,0,85.6184308672435
"26",2009,1,2,1,81.6458532101166
"27",2009,1,2,2,59.0288437314515
"28",2009,1,2,3,78.6452067185041
"29",2009,1,2,4,83.4023077418142
"30",2009,1,2,5,83.6444306169035
"31",2009,1,2,6,86.3565214954594
"32",2009,1,2,7,89.0304464688721
"33",2009,1,2,8,91.946272816568
"34",2009,1,2,9,96.6427939660245
"35",2009,1,2,10,99.7405038045209
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,99.8536600397441
"52",2009,1,3,3,99.2826932903436
"53",2009,1,3,4,97.1119918817019
"54",2009,1,3,5,85.6850714196025
"55",2009,1,3,6,59.5060604090894
"56",2009,1,3,7,10.2215107752913
"57",2009,1,3,8,0.461936719677558
"58",2009,1,3,9,0
"59",2009,1,3,10,0.111211129908869
"60",2009,1,3,11,5.57690395191429
"61",2009,1,3,12,5.16760997612515
"62",2009,1,3,13,0.107260808508691
"63",2009,1,3,14,2.74179978472557
"64",2009,1,3,15,8.02610732701721
"65",2009,1,3,16,10.2548181750923
"66",2009,1,3,17,1.16790756593036
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0.323220330095479
"83",2009,1,4,10,9.97163272199913
"84",2009,1,4,11,34.151502247389
"85",2009,1,4,12,56.1722906700508
"86",2009,1,4,13,43.6828007478186
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,27.7960195020748
"97",2009,1,5,0,42.8408524002099
"98",2009,1,5,1,47.2527814888308
"99",2009,1,5,2,38.392812661691
"100",2009,1,5,3,5.920542449836
"101",2009,1,5,4,0
"102",2009,1,5,5,12.2341033053374
"103",2009,1,5,6,18.2904465445088
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,3.2245240742701
"118",2009,1,5,21,33.3119774965714
"119",2009,1,5,22,62.9964578197673
"120",2009,1,5,23,71.9851740183727
"121",2009,1,6,0,56.9677629227707
"122",2009,1,6,1,3.67926495113304
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,2.20961175771937
"126",2009,1,6,5,10.671994494445
"127",2009,1,6,6,13.0409123262988
"128",2009,1,6,7,3.89847297386183
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0.0176628436628079
"134",2009,1,6,13,12.9996356089694
"135",2009,1,6,14,52.4550954523486
"136",2009,1,6,15,60.366500351139
"137",2009,1,6,16,40.8971387148238
"138",2009,1,6,17,41.9936369623389
"139",2009,1,6,18,52.9289585376328
"140",2009,1,6,19,45.8181405213817
"141",2009,1,6,20,47.7173905296232
"142",2009,1,6,21,63.9172875441412
"143",2009,1,6,22,49.4571118074867
"144",2009,1,6,23,28.4154504869788
"145",2009,1,7,0,1.35084146549971
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,2.95397389963195
"169",2009,1,8,0,3.14843474566008
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,1.49255005533042
"184",2009,1,8,15,69.2942743390214
"185",2009,1,8,16,99.892544235274
"186",2009,1,8,17,77.2426244420651
"187",2009,1,8,18,42.9201941537555
"188",2009,1,8,19,79.2800921166697
"189",2009,1,8,20,94.0039660201814
"190",2009,1,8,21,99.7455282734656
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
"195",2009,1,9,2,100
"196",2009,1,9,3,100
"197",2009,1,9,4,100
"198",2009,1,9,5,100
"199",2009,1,9,6,100
"200",2009,1,9,7,98.4377763355861
"201",2009,1,9,8,81.7986645168074
"202",2009,1,9,9,24.5644286208459
"203",2009,1,9,10,34.2492985423759
"204",2009,1,9,11,0.155238636603416
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
