"","year","month","day","hour","Outage"
"1",2009,1,1,0,21.5357461926648
"2",2009,1,1,1,35.8152979291975
"3",2009,1,1,2,61.9426560738476
"4",2009,1,1,3,56.4456070953114
"5",2009,1,1,4,35.3637053371882
"6",2009,1,1,5,0.896118697339219
"7",2009,1,1,6,33.4176379321786
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,2.67266308656437
"11",2009,1,1,10,37.3415894076153
"12",2009,1,1,11,74.4185129435121
"13",2009,1,1,12,93.4166796751978
"14",2009,1,1,13,95.677402496035
"15",2009,1,1,14,99.3152421873959
"16",2009,1,1,15,95.6458939594125
"17",2009,1,1,16,83.4315820249709
"18",2009,1,1,17,80.2901803537532
"19",2009,1,1,18,87.1652531745609
"20",2009,1,1,19,98.8313058069237
"21",2009,1,1,20,93.1983057853684
"22",2009,1,1,21,36.8821347289959
"23",2009,1,1,22,0
"24",2009,1,1,23,0.0997065733759665
"25",2009,1,2,0,0
"26",2009,1,2,1,0
"27",2009,1,2,2,16.2001549312974
"28",2009,1,2,3,21.8772105718012
"29",2009,1,2,4,37.2231214169257
"30",2009,1,2,5,41.7726956815253
"31",2009,1,2,6,45.4330595770274
"32",2009,1,2,7,47.7969174481043
"33",2009,1,2,8,27.5227434769365
"34",2009,1,2,9,11.699961859239
"35",2009,1,2,10,7.41738624540506
"36",2009,1,2,11,0
"37",2009,1,2,12,2.35955513838886
"38",2009,1,2,13,23.8111292213719
"39",2009,1,2,14,45.79602316177
"40",2009,1,2,15,69.0613549831874
"41",2009,1,2,16,81.6395949173166
"42",2009,1,2,17,90.6785186815514
"43",2009,1,2,18,93.3630329093542
"44",2009,1,2,19,93.7054955988549
"45",2009,1,2,20,92.2004640860961
"46",2009,1,2,21,93.1233276333736
"47",2009,1,2,22,92.7774276798806
"48",2009,1,2,23,94.6094428625656
"49",2009,1,3,0,97.8570223875716
"50",2009,1,3,1,97.8461736291914
"51",2009,1,3,2,98.1248967886967
"52",2009,1,3,3,100
"53",2009,1,3,4,100
