"","year","month","day","hour","Outage"
"1",2009,1,1,0,4.18096408702492
"2",2009,1,1,1,26.8412645244461
"3",2009,1,1,2,71.0601993927355
"4",2009,1,1,3,83.1048348916661
"5",2009,1,1,4,80.7727241608756
"6",2009,1,1,5,74.3233337656623
"7",2009,1,1,6,63.3692655258804
"8",2009,1,1,7,57.2846815971556
"9",2009,1,1,8,45.595255424226
"10",2009,1,1,9,44.5640848450951
"11",2009,1,1,10,36.7002425479221
"12",2009,1,1,11,57.6804714621063
"13",2009,1,1,12,94.6278733123649
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,95.0318301962745
"20",2009,1,1,19,91.109371743922
"21",2009,1,1,20,89.3053489328571
"22",2009,1,1,21,85.0913662445801
"23",2009,1,1,22,78.6272277344525
"24",2009,1,1,23,72.2799695117967
"25",2009,1,2,0,93.4859826692459
"26",2009,1,2,1,73.0040471258939
"27",2009,1,2,2,44.7563823692666
"28",2009,1,2,3,67.1215116050647
"29",2009,1,2,4,79.0420488918697
"30",2009,1,2,5,84.5459815583716
"31",2009,1,2,6,88.1588013661383
"32",2009,1,2,7,92.7493704103279
"33",2009,1,2,8,96.316177434021
"34",2009,1,2,9,98.4875347383047
"35",2009,1,2,10,99.8854221092018
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,99.8534272922924
"53",2009,1,3,4,99.7068545845849
"54",2009,1,3,5,99.7091685349681
"55",2009,1,3,6,85.8584411285398
"56",2009,1,3,7,18.9760565495219
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0.401390852486648
"61",2009,1,3,12,19.0616284537436
"62",2009,1,3,13,43.5310661786707
"63",2009,1,3,14,59.9353317555129
"64",2009,1,3,15,61.7529868901259
"65",2009,1,3,16,51.0933683546103
"66",2009,1,3,17,25.2577573025349
"67",2009,1,3,18,2.0270561485224
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,12.6092861627283
"85",2009,1,4,12,55.465036478663
"86",2009,1,4,13,86.5923973459104
"87",2009,1,4,14,66.8536102060429
"88",2009,1,4,15,0.694280751660549
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,8.36118641665796
"93",2009,1,4,20,0.878521921875904
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,7.23428706792046
"97",2009,1,5,0,14.9065861184323
"98",2009,1,5,1,7.77253718836281
"99",2009,1,5,2,0.081085516707922
"100",2009,1,5,3,1.53675338822791
"101",2009,1,5,4,51.3317038026184
"102",2009,1,5,5,36.8034824683622
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,16.3510232715651
"107",2009,1,5,10,38.3382959711995
"108",2009,1,5,11,21.9349050550023
"109",2009,1,5,12,16.7651966372089
"110",2009,1,5,13,26.6494114519128
"111",2009,1,5,14,28.3045461912768
"112",2009,1,5,15,5.94118965146693
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,5.61774135814652
"118",2009,1,5,21,52.2042397774676
"119",2009,1,5,22,78.8849534804265
"120",2009,1,5,23,87.2307850914077
"121",2009,1,6,0,90.834149782755
"122",2009,1,6,1,89.23490023503
"123",2009,1,6,2,65.4373716051882
"124",2009,1,6,3,40.4202007956971
"125",2009,1,6,4,34.797063967829
"126",2009,1,6,5,39.7269330741692
"127",2009,1,6,6,34.0887865548727
"128",2009,1,6,7,25.1614232208737
"129",2009,1,6,8,16.7830222197341
"130",2009,1,6,9,4.60172088422581
"131",2009,1,6,10,0
"132",2009,1,6,11,0.00376515428066604
"133",2009,1,6,12,3.16906294835255
"134",2009,1,6,13,22.7183614095274
"135",2009,1,6,14,60.1832394835916
"136",2009,1,6,15,42.9810847914817
"137",2009,1,6,16,29.0502763955277
"138",2009,1,6,17,31.6291695458866
"139",2009,1,6,18,53.3529694347389
"140",2009,1,6,19,67.5672998130273
"141",2009,1,6,20,73.2617871806205
"142",2009,1,6,21,85.16945486325
"143",2009,1,6,22,84.8445824986768
"144",2009,1,6,23,40.3951907591035
"145",2009,1,7,0,46.5240605146265
"146",2009,1,7,1,22.4155691439423
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,2.74996097769214
"169",2009,1,8,0,17.9487299760594
"170",2009,1,8,1,19.7187432245779
"171",2009,1,8,2,5.31325458105354
"172",2009,1,8,3,3.69730895562458
"173",2009,1,8,4,0.504031269740107
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,3.52228106496832
"178",2009,1,8,9,8.31089982543585
"179",2009,1,8,10,3.14598505515955
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,8.97896130210408
"183",2009,1,8,14,79.4168175225693
"184",2009,1,8,15,99.5443456162405
"185",2009,1,8,16,91.6195276721985
"186",2009,1,8,17,52.0380164641739
"187",2009,1,8,18,50.1664779163192
"188",2009,1,8,19,84.9599169714701
"189",2009,1,8,20,97.1245984877294
"190",2009,1,8,21,100
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
