"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0.132549402168293
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,0
"11",2009,1,1,10,0
"12",2009,1,1,11,2.19509558582209
"13",2009,1,1,12,30.632621595615
"14",2009,1,1,13,88.7702022778363
"15",2009,1,1,14,97.1032754624447
"16",2009,1,1,15,71.4347012694708
"17",2009,1,1,16,23.3081257122752
"18",2009,1,1,17,0
"19",2009,1,1,18,0
"20",2009,1,1,19,1.99694126277674
"21",2009,1,1,20,41.4616530181723
"22",2009,1,1,21,81.9654250063736
"23",2009,1,1,22,71.1086005042409
"24",2009,1,1,23,30.0806844002806
"25",2009,1,2,0,39.867204926905
"26",2009,1,2,1,53.8512206351601
"27",2009,1,2,2,59.0907358573761
"28",2009,1,2,3,67.010193457598
"29",2009,1,2,4,73.3667381215691
"30",2009,1,2,5,68.7996941695741
"31",2009,1,2,6,72.379900538345
"32",2009,1,2,7,75.4128448442407
"33",2009,1,2,8,70.9030052185217
"34",2009,1,2,9,52.9770018061913
"35",2009,1,2,10,24.3057316759387
"36",2009,1,2,11,0.411801147909881
"37",2009,1,2,12,0.839146498389402
"38",2009,1,2,13,17.7570385489422
"39",2009,1,2,14,35.8013578695826
"40",2009,1,2,15,54.7345902388261
"41",2009,1,2,16,69.9754092950171
"42",2009,1,2,17,80.6469527153028
"43",2009,1,2,18,85.2054073134175
"44",2009,1,2,19,88.8130365986328
"45",2009,1,2,20,92.2566295120796
"46",2009,1,2,21,95.4378884327428
"47",2009,1,2,22,97.1368941143467
"48",2009,1,2,23,98.2223483743034
"49",2009,1,3,0,99.2147693189005
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,98.3765897004506
"57",2009,1,3,8,89.9544330623116
"58",2009,1,3,9,86.5587543067631
"59",2009,1,3,10,81.5048164460688
"60",2009,1,3,11,41.7964683925511
"61",2009,1,3,12,16.8629094816861
"62",2009,1,3,13,32.5029923806632
"63",2009,1,3,14,45.3571048031186
"64",2009,1,3,15,49.170859539614
"65",2009,1,3,16,19.1024790752161
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,26.7633725204898
"96",2009,1,4,23,70.8834258855036
"97",2009,1,5,0,25.3331731353643
"98",2009,1,5,1,2.40384234195656
"99",2009,1,5,2,0.846082211475095
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,13.8270880772637
"131",2009,1,6,10,85.2308068824686
"132",2009,1,6,11,85.655061147523
"133",2009,1,6,12,91.89862790982
"134",2009,1,6,13,98.3876720113299
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,100
"138",2009,1,6,17,99.4849703561149
"139",2009,1,6,18,92.1915336296244
"140",2009,1,6,19,84.6901789741136
"141",2009,1,6,20,83.9828237435461
"142",2009,1,6,21,88.7373823729773
"143",2009,1,6,22,89.8113963824859
"144",2009,1,6,23,90.9303884764282
"145",2009,1,7,0,92.1196939737146
"146",2009,1,7,1,92.1135407333057
"147",2009,1,7,2,87.87405881612
"148",2009,1,7,3,82.7499562775087
"149",2009,1,7,4,80.1197002820171
"150",2009,1,7,5,81.7168697537811
"151",2009,1,7,6,75.7065282635013
"152",2009,1,7,7,48.4006042742979
"153",2009,1,7,8,20.4230821293224
"154",2009,1,7,9,4.73645604247426
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0.551761337835499
"164",2009,1,7,19,12.2746336638229
"165",2009,1,7,20,17.755142704369
"166",2009,1,7,21,12.3226674578225
"167",2009,1,7,22,11.7946505600415
"168",2009,1,7,23,16.5499992628432
"169",2009,1,8,0,9.30816001162215
"170",2009,1,8,1,0.23459739688562
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,54.0635760314219
"179",2009,1,8,10,78.2655479268312
"180",2009,1,8,11,33.3099354956271
"181",2009,1,8,12,2.20230722094428
"182",2009,1,8,13,13.3298269615642
"183",2009,1,8,14,32.5337368438969
"184",2009,1,8,15,49.1664045544771
"185",2009,1,8,16,42.6724288422348
"186",2009,1,8,17,9.52596659868048
"187",2009,1,8,18,10.5141437141398
"188",2009,1,8,19,28.0879627501232
"189",2009,1,8,20,50.8610349702899
"190",2009,1,8,21,50.0678311462897
"191",2009,1,8,22,50.4054934164719
"192",2009,1,8,23,37.2109504524206
"193",2009,1,9,0,54.1550155258981
"194",2009,1,9,1,66.5672756444381
"195",2009,1,9,2,77.6092073681404
"196",2009,1,9,3,84.9864234302113
"197",2009,1,9,4,92.1682436857527
"198",2009,1,9,5,99.105726433248
"199",2009,1,9,6,100
"200",2009,1,9,7,100
"201",2009,1,9,8,100
"202",2009,1,9,9,100
"203",2009,1,9,10,100
"204",2009,1,9,11,96.5778357085853
"205",2009,1,9,12,56.3758629569114
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
