"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,1.67725750943325
"4",2009,1,1,3,25.0530457258441
"5",2009,1,1,4,36.0362373519174
"6",2009,1,1,5,38.4671627712256
"7",2009,1,1,6,49.8291413233335
"8",2009,1,1,7,61.01561155668
"9",2009,1,1,8,63.6559982189616
"10",2009,1,1,9,68.334988117584
"11",2009,1,1,10,54.8183871196114
"12",2009,1,1,11,64.9780736598354
"13",2009,1,1,12,89.1606181871861
"14",2009,1,1,13,99.8906462942961
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,99.8617808924317
"19",2009,1,1,18,98.3166860197857
"20",2009,1,1,19,95.4038569987939
"21",2009,1,1,20,95.300983542851
"22",2009,1,1,21,94.7679588454425
"23",2009,1,1,22,92.1771632540473
"24",2009,1,1,23,88.6737535305643
"25",2009,1,2,0,94.7997291013346
"26",2009,1,2,1,94.7613033135371
"27",2009,1,2,2,87.0679178995529
"28",2009,1,2,3,94.923151799842
"29",2009,1,2,4,95.3344083962323
"30",2009,1,2,5,93.1771202242042
"31",2009,1,2,6,92.2344818572461
"32",2009,1,2,7,94.2481777116842
"33",2009,1,2,8,96.8415888820415
"34",2009,1,2,9,99.0173757181385
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,99.7098608982513
"54",2009,1,3,5,94.8458803063838
"55",2009,1,3,6,82.3149933668786
"56",2009,1,3,7,39.7513137801958
"57",2009,1,3,8,11.1946988891031
"58",2009,1,3,9,16.0074327980123
"59",2009,1,3,10,14.278968453739
"60",2009,1,3,11,17.498583938675
"61",2009,1,3,12,29.1478038555492
"62",2009,1,3,13,49.2547845697278
"63",2009,1,3,14,70.8300958263441
"64",2009,1,3,15,85.3985931087091
"65",2009,1,3,16,85.3580528188293
"66",2009,1,3,17,64.6414751442621
"67",2009,1,3,18,38.8192662702744
"68",2009,1,3,19,12.7148764759703
"69",2009,1,3,20,0.238806162947465
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,2.2607836725172
"83",2009,1,4,10,18.3967671276028
"84",2009,1,4,11,54.9880602543353
"85",2009,1,4,12,88.2819872061122
"86",2009,1,4,13,99.6738400732434
"87",2009,1,4,14,88.8384779400238
"88",2009,1,4,15,35.5670103813796
"89",2009,1,4,16,7.39716951286737
"90",2009,1,4,17,3.52113671457532
"91",2009,1,4,18,11.7587121255741
"92",2009,1,4,19,4.50589541130688
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,1.39712996888874
"96",2009,1,4,23,59.0078248468692
"97",2009,1,5,0,53.5199437445875
"98",2009,1,5,1,43.020837063223
"99",2009,1,5,2,36.066822862511
"100",2009,1,5,3,48.4634600602775
"101",2009,1,5,4,82.3988391989928
"102",2009,1,5,5,87.9007744444881
"103",2009,1,5,6,28.2559875527426
"104",2009,1,5,7,0.781116620551198
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,18.8063039615521
"108",2009,1,5,11,44.7401255946439
"109",2009,1,5,12,34.7862480196768
"110",2009,1,5,13,42.762051499571
"111",2009,1,5,14,15.6762734338935
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,40.6936268897596
"117",2009,1,5,20,85.5580529912345
"118",2009,1,5,21,92.3960391231412
"119",2009,1,5,22,94.4326905457542
"120",2009,1,5,23,95.0596130990646
"121",2009,1,6,0,96.3785843489748
"122",2009,1,6,1,88.0483566150665
"123",2009,1,6,2,81.0994918652199
"124",2009,1,6,3,72.1693184937381
"125",2009,1,6,4,67.228292408697
"126",2009,1,6,5,66.6037421082602
"127",2009,1,6,6,56.8475572195707
"128",2009,1,6,7,29.7568719349751
"129",2009,1,6,8,2.29964431019734
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,27.6210681045413
"135",2009,1,6,14,62.9564842055701
"136",2009,1,6,15,18.7067200907385
"137",2009,1,6,16,13.1781375864408
"138",2009,1,6,17,18.8361029300957
"139",2009,1,6,18,36.2335350318489
"140",2009,1,6,19,44.2608272968673
"141",2009,1,6,20,67.9781967327088
"142",2009,1,6,21,88.2520765962257
"143",2009,1,6,22,95.4825612084719
"144",2009,1,6,23,86.9933569912267
"145",2009,1,7,0,2.15239867747394
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,4.36767681329465
"168",2009,1,7,23,14.7774695195269
"169",2009,1,8,0,16.2656482824411
"170",2009,1,8,1,3.39441421517421
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,4.28935113700803
"182",2009,1,8,13,8.19781384237103
"183",2009,1,8,14,16.4613052060235
"184",2009,1,8,15,88.3133565148409
"185",2009,1,8,16,99.4940970171707
"186",2009,1,8,17,80.3252648071073
"187",2009,1,8,18,65.8468934463212
"188",2009,1,8,19,93.7783332947362
"189",2009,1,8,20,99.6036570750519
"190",2009,1,8,21,100
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
"195",2009,1,9,2,100
"196",2009,1,9,3,100
"197",2009,1,9,4,100
"198",2009,1,9,5,100
"199",2009,1,9,6,100
"200",2009,1,9,7,98.8101402739436
"201",2009,1,9,8,85.4379092560908
"202",2009,1,9,9,76.7720285661042
"203",2009,1,9,10,55.9434871536766
"204",2009,1,9,11,0
