"","year","month","day","hour","Outage"
"1",2009,1,1,0,32.8236777933615
"2",2009,1,1,1,33.3723321699501
"3",2009,1,1,2,62.8927305213816
"4",2009,1,1,3,72.2318383880282
"5",2009,1,1,4,72.4478372343028
"6",2009,1,1,5,72.2511161993287
"7",2009,1,1,6,72.1497639276764
"8",2009,1,1,7,75.8045041261783
"9",2009,1,1,8,75.2667563694407
"10",2009,1,1,9,30.1625606984892
"11",2009,1,1,10,32.6460032991942
"12",2009,1,1,11,59.9617332261685
"13",2009,1,1,12,73.3721025335232
"14",2009,1,1,13,73.4499067165082
"15",2009,1,1,14,66.3526911473391
"16",2009,1,1,15,60.3060066120732
"17",2009,1,1,16,46.4371617090384
"18",2009,1,1,17,2.80731623266474
"19",2009,1,1,18,0
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,0
"23",2009,1,1,22,0
"24",2009,1,1,23,0
"25",2009,1,2,0,0
"26",2009,1,2,1,20.6617229825962
"27",2009,1,2,2,55.8186104560251
"28",2009,1,2,3,35.7699086379124
"29",2009,1,2,4,35.234454000322
"30",2009,1,2,5,50.4385028335538
"31",2009,1,2,6,59.1675531531448
"32",2009,1,2,7,59.2955495164272
"33",2009,1,2,8,65.710491593719
"34",2009,1,2,9,72.6990169267166
"35",2009,1,2,10,68.1057315091078
"36",2009,1,2,11,60.902573218553
"37",2009,1,2,12,58.8603123896963
"38",2009,1,2,13,52.9014719534866
"39",2009,1,2,14,44.5291350991608
"40",2009,1,2,15,30.2580676605307
"41",2009,1,2,16,25.9313302247266
"42",2009,1,2,17,24.976405151088
"43",2009,1,2,18,35.0849595322948
"44",2009,1,2,19,43.088238771472
"45",2009,1,2,20,54.5913389473211
"46",2009,1,2,21,69.3010792379224
"47",2009,1,2,22,77.3194662635331
"48",2009,1,2,23,82.8254599793887
"49",2009,1,3,0,89.3554299048656
"50",2009,1,3,1,94.7805777486173
"51",2009,1,3,2,98.3785807131376
"52",2009,1,3,3,99.2652350892221
"53",2009,1,3,4,100
"54",2009,1,3,5,99.6199956100806
"55",2009,1,3,6,96.8597888454469
"56",2009,1,3,7,92.6865153979851
"57",2009,1,3,8,91.5650642037995
"58",2009,1,3,9,87.6464538913132
"59",2009,1,3,10,74.7024394828049
"60",2009,1,3,11,64.7282430849421
"61",2009,1,3,12,81.9748119968684
"62",2009,1,3,13,55.8043451182473
"63",2009,1,3,14,22.1418711986802
"64",2009,1,3,15,0.395086482016033
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,1.58922657027419
"129",2009,1,6,8,12.0426583869989
"130",2009,1,6,9,32.3722310547138
"131",2009,1,6,10,55.4638563387039
"132",2009,1,6,11,74.6033751867084
"133",2009,1,6,12,85.9126337019134
"134",2009,1,6,13,92.1650436221785
"135",2009,1,6,14,98.0217470208876
"136",2009,1,6,15,100
"137",2009,1,6,16,100
"138",2009,1,6,17,98.0535570401467
"139",2009,1,6,18,84.622766429517
"140",2009,1,6,19,96.5390710104312
"141",2009,1,6,20,98.6921317321676
"142",2009,1,6,21,97.6262354988021
