"","year","month","day","hour","Outage"
"1",2009,1,1,0,89.4514271961614
"2",2009,1,1,1,92.118832558608
"3",2009,1,1,2,94.8094136122896
"4",2009,1,1,3,94.4777774931867
"5",2009,1,1,4,95.3320305421771
"6",2009,1,1,5,96.2839743455168
"7",2009,1,1,6,95.2293609684831
"8",2009,1,1,7,97.5902240643015
"9",2009,1,1,8,99.2211563366959
"10",2009,1,1,9,98.8119926769238
"11",2009,1,1,10,97.3896787273558
"12",2009,1,1,11,95.7518628742817
"13",2009,1,1,12,94.6278896351473
"14",2009,1,1,13,91.4777212331036
"15",2009,1,1,14,51.5842244670739
"16",2009,1,1,15,0
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,0
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,0
"23",2009,1,1,22,0.326300568537237
"24",2009,1,1,23,22.0857619648939
"25",2009,1,2,0,60.0095528250626
"26",2009,1,2,1,23.3380997951493
"27",2009,1,2,2,50.715228928627
"28",2009,1,2,3,77.1505667875613
"29",2009,1,2,4,84.5743431369849
"30",2009,1,2,5,80.9393007130028
"31",2009,1,2,6,78.6750155198383
"32",2009,1,2,7,73.4470837858031
"33",2009,1,2,8,72.6230273640481
"34",2009,1,2,9,65.5426790215906
"35",2009,1,2,10,42.3410831649157
"36",2009,1,2,11,8.79602966170208
"37",2009,1,2,12,6.74310559608169
"38",2009,1,2,13,24.403039027253
"39",2009,1,2,14,29.81697545978
"40",2009,1,2,15,40.2988061544353
"41",2009,1,2,16,44.8257072502686
"42",2009,1,2,17,46.0063621334452
"43",2009,1,2,18,53.8952066565621
"44",2009,1,2,19,64.2901423048275
"45",2009,1,2,20,79.010667536759
"46",2009,1,2,21,85.0063858949083
"47",2009,1,2,22,88.23624863266
"48",2009,1,2,23,91.2812977814386
"49",2009,1,3,0,95.0621538588232
"50",2009,1,3,1,98.2387262144228
"51",2009,1,3,2,99.7358068022528
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,98.8287319940621
"57",2009,1,3,8,92.4017589737472
"58",2009,1,3,9,78.7549039950069
"59",2009,1,3,10,67.0762468227136
"60",2009,1,3,11,41.2597696155576
"61",2009,1,3,12,12.1230129826401
"62",2009,1,3,13,9.88311046099256
"63",2009,1,3,14,32.3580370776172
"64",2009,1,3,15,42.4275691134689
"65",2009,1,3,16,43.0804645213154
"66",2009,1,3,17,49.2636771932616
"67",2009,1,3,18,54.3595853467347
"68",2009,1,3,19,52.9940694497386
"69",2009,1,3,20,46.835310876384
"70",2009,1,3,21,42.3236712537685
"71",2009,1,3,22,34.547061763776
"72",2009,1,3,23,30.1471523521741
"73",2009,1,4,0,40.7529777554697
"74",2009,1,4,1,64.5757920246395
"75",2009,1,4,2,85.2179372418251
"76",2009,1,4,3,92.0547475554912
"77",2009,1,4,4,90.6017539436913
"78",2009,1,4,5,90.3829386656549
"79",2009,1,4,6,94.3047441730551
"80",2009,1,4,7,95.188025805657
"81",2009,1,4,8,91.0951479120573
"82",2009,1,4,9,85.842215301125
"83",2009,1,4,10,83.1694494293772
"84",2009,1,4,11,82.1685746664457
"85",2009,1,4,12,76.7702138894123
"86",2009,1,4,13,65.4764379228538
"87",2009,1,4,14,41.552421515073
"88",2009,1,4,15,11.2507617709553
"89",2009,1,4,16,5.42162157005533
"90",2009,1,4,17,29.507107269088
"91",2009,1,4,18,15.2351088558359
"92",2009,1,4,19,8.48952979172819
"93",2009,1,4,20,12.8417606725559
"94",2009,1,4,21,4.21223684124168
"95",2009,1,4,22,2.01187376370722
"96",2009,1,4,23,1.62118805035197
"97",2009,1,5,0,0
"98",2009,1,5,1,0.637033411785709
"99",2009,1,5,2,1.72135715814764
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,3.49531520928946
"130",2009,1,6,9,21.4397840532501
"131",2009,1,6,10,63.5571660489852
"132",2009,1,6,11,98.7850846992866
"133",2009,1,6,12,100
"134",2009,1,6,13,100
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,99.5019866075465
"138",2009,1,6,17,88.5293961397385
"139",2009,1,6,18,69.5652606286106
"140",2009,1,6,19,31.9159007082398
"141",2009,1,6,20,8.60051015004668
"142",2009,1,6,21,33.4089632520043
"143",2009,1,6,22,40.8866547121219
"144",2009,1,6,23,27.7676217669553
"145",2009,1,7,0,23.0749264883766
"146",2009,1,7,1,15.1458747063246
