"","year","month","day","hour","Outage"
"1",2009,1,1,0,68.0862734386815
"2",2009,1,1,1,86.1330865418219
"3",2009,1,1,2,84.0265774011684
"4",2009,1,1,3,94.7231052315225
"5",2009,1,1,4,95.5205394487281
"6",2009,1,1,5,99.6923961926077
"7",2009,1,1,6,99.8552688025581
"8",2009,1,1,7,91.2203928959512
"9",2009,1,1,8,71.0928235424161
"10",2009,1,1,9,55.6903753740997
"11",2009,1,1,10,22.5529851417594
"12",2009,1,1,11,27.5430487465076
"13",2009,1,1,12,59.6163554963622
"14",2009,1,1,13,72.4457771629155
"15",2009,1,1,14,75.6367461466265
"16",2009,1,1,15,90.7944813724966
"17",2009,1,1,16,99.8540655740758
"18",2009,1,1,17,97.437457053137
"19",2009,1,1,18,76.4816127114228
"20",2009,1,1,19,39.559085927986
"21",2009,1,1,20,29.206357273981
"22",2009,1,1,21,19.6491248552165
"23",2009,1,1,22,13.3588597244098
"24",2009,1,1,23,4.8697677381825
"25",2009,1,2,0,0.616238192265556
"26",2009,1,2,1,0
"27",2009,1,2,2,0
"28",2009,1,2,3,0.527759114671537
"29",2009,1,2,4,0
"30",2009,1,2,5,0
"31",2009,1,2,6,1.59705560482508
"32",2009,1,2,7,5.71922660520538
"33",2009,1,2,8,1.47868463177238
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,4.13179569910473
"38",2009,1,2,13,16.4933841254562
"39",2009,1,2,14,23.0362233778249
"40",2009,1,2,15,24.7484272339691
"41",2009,1,2,16,21.0615841291753
"42",2009,1,2,17,17.6665414389306
"43",2009,1,2,18,35.5139970119916
"44",2009,1,2,19,50.4466496020428
"45",2009,1,2,20,50.8237782827594
"46",2009,1,2,21,66.4820835777192
"47",2009,1,2,22,84.7935587651923
"48",2009,1,2,23,90.0043736100194
"49",2009,1,3,0,90.7490655252092
"50",2009,1,3,1,91.5877021856257
"51",2009,1,3,2,95.4786786365561
"52",2009,1,3,3,99.2695806687971
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,99.0138594190205
"57",2009,1,3,8,94.3420636494809
"58",2009,1,3,9,90.9674707088358
"59",2009,1,3,10,94.5976707459666
"60",2009,1,3,11,99.5294373003334
"61",2009,1,3,12,100
"62",2009,1,3,13,100
"63",2009,1,3,14,100
"64",2009,1,3,15,100
"65",2009,1,3,16,100
"66",2009,1,3,17,99.7377590529227
"67",2009,1,3,18,92.4046329304483
"68",2009,1,3,19,69.8932180871368
"69",2009,1,3,20,55.7526038175003
"70",2009,1,3,21,36.9498064923798
"71",2009,1,3,22,0.733794300277267
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,8.45387481070696
"85",2009,1,4,12,28.488140732942
"86",2009,1,4,13,46.1268198194939
"87",2009,1,4,14,81.4301139946526
"88",2009,1,4,15,76.3098342355375
"89",2009,1,4,16,42.7256459746278
"90",2009,1,4,17,6.07027751076324
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,4.66585633232724
"99",2009,1,5,2,48.9022466822393
"100",2009,1,5,3,89.2467623257535
"101",2009,1,5,4,93.5557857228584
"102",2009,1,5,5,83.3242985574569
"103",2009,1,5,6,48.4078774817279
"104",2009,1,5,7,0.694280751660549
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,2.98936830547477
"130",2009,1,6,9,9.30188181340273
"131",2009,1,6,10,27.2502514136036
"132",2009,1,6,11,56.6577279556777
"133",2009,1,6,12,85.7354747102854
"134",2009,1,6,13,99.4704553077141
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,99.3028118182705
"138",2009,1,6,17,96.3418448890351
"139",2009,1,6,18,84.5902859681217
"140",2009,1,6,19,66.0043818267614
"141",2009,1,6,20,41.7982617731231
"142",2009,1,6,21,10.4100523137219
"143",2009,1,6,22,12.8979210683995
"144",2009,1,6,23,13.7362981129794
"145",2009,1,7,0,6.14451106428252
"146",2009,1,7,1,5.54003393076166
"147",2009,1,7,2,8.83402731884174
"148",2009,1,7,3,12.8503913926484
"149",2009,1,7,4,15.9647346020448
"150",2009,1,7,5,15.9755318865621
"151",2009,1,7,6,18.126306209317
"152",2009,1,7,7,24.1722866872934
"153",2009,1,7,8,34.4955522736046
"154",2009,1,7,9,45.3439501425602
"155",2009,1,7,10,52.336257220378
"156",2009,1,7,11,57.7935653703008
"157",2009,1,7,12,68.2657573396774
"158",2009,1,7,13,72.5289800179632
"159",2009,1,7,14,76.6575280417673
"160",2009,1,7,15,78.7072456626293
"161",2009,1,7,16,81.3745443959309
"162",2009,1,7,17,84.5552760083145
"163",2009,1,7,18,86.457370677706
"164",2009,1,7,19,83.95876238426
"165",2009,1,7,20,86.0251640610603
"166",2009,1,7,21,85.4322824352802
"167",2009,1,7,22,78.3279747080481
"168",2009,1,7,23,71.0864047251056
"169",2009,1,8,0,78.1282826700789
"170",2009,1,8,1,80.3616561647855
"171",2009,1,8,2,82.7178966162012
"172",2009,1,8,3,85.7997618921206
"173",2009,1,8,4,85.227084696147
"174",2009,1,8,5,96.664610293298
"175",2009,1,8,6,100
"176",2009,1,8,7,97.3338908211196
"177",2009,1,8,8,75.1145407586298
"178",2009,1,8,9,3.63652539259957
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,0
"184",2009,1,8,15,0
"185",2009,1,8,16,0
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0.942016748605553
"191",2009,1,8,22,7.94602931566694
"192",2009,1,8,23,24.5448420887865
"193",2009,1,9,0,32.8938832905451
"194",2009,1,9,1,23.1323225717921
"195",2009,1,9,2,21.2318849336051
"196",2009,1,9,3,25.1410603360504
"197",2009,1,9,4,42.1337903355167
"198",2009,1,9,5,68.0073585390006
"199",2009,1,9,6,77.6257354833342
"200",2009,1,9,7,82.6368210678539
"201",2009,1,9,8,40.1015437767483
"202",2009,1,9,9,19.5476363546341
"203",2009,1,9,10,0
"204",2009,1,9,11,19.8145465549978
"205",2009,1,9,12,15.3641058316063
"206",2009,1,9,13,20.0917208180904
"207",2009,1,9,14,33.4360513807042
"208",2009,1,9,15,26.3181604454679
"209",2009,1,9,16,13.3193472598476
"210",2009,1,9,17,5.00758742778889
"211",2009,1,9,18,2.89674239827678
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0.760554975444753
"217",2009,1,10,0,0.949544211154763
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0.835486173512084
"232",2009,1,10,15,13.202677329317
"233",2009,1,10,16,30.5860552998281
"234",2009,1,10,17,56.6531180741464
"235",2009,1,10,18,86.1877011353784
"236",2009,1,10,19,96.9621540086037
"237",2009,1,10,20,99.8659038341635
"238",2009,1,10,21,100
"239",2009,1,10,22,93.0942839657144
"240",2009,1,10,23,87.1836839326862
"241",2009,1,11,0,88.9282185891669
"242",2009,1,11,1,78.3925404301805
"243",2009,1,11,2,45.8649786643065
"244",2009,1,11,3,41.8376108126473
"245",2009,1,11,4,31.3289327707098
"246",2009,1,11,5,16.5496687875454
"247",2009,1,11,6,4.28302308222142
"248",2009,1,11,7,1.43484212118486
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,0
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,0
"260",2009,1,11,19,0
"261",2009,1,11,20,0
"262",2009,1,11,21,0
"263",2009,1,11,22,0
"264",2009,1,11,23,0.731014913037618
"265",2009,1,12,0,18.8542644515472
"266",2009,1,12,1,59.9879096919054
"267",2009,1,12,2,93.3157229000988
"268",2009,1,12,3,99.860261425366
"269",2009,1,12,4,97.6436381202557
"270",2009,1,12,5,95.766790230396
"271",2009,1,12,6,97.3503938407281
"272",2009,1,12,7,86.6054633836876
"273",2009,1,12,8,47.8399323799003
"274",2009,1,12,9,19.5146453368741
"275",2009,1,12,10,13.7617669541622
"276",2009,1,12,11,30.3615221642397
"277",2009,1,12,12,42.4736845212761
"278",2009,1,12,13,76.3300128478711
"279",2009,1,12,14,97.4734990869851
"280",2009,1,12,15,100
"281",2009,1,12,16,100
"282",2009,1,12,17,100
"283",2009,1,12,18,99.7087166243926
"284",2009,1,12,19,90.2165428756875
"285",2009,1,12,20,77.4831954841688
"286",2009,1,12,21,53.4360411135589
"287",2009,1,12,22,3.493881217655
"288",2009,1,12,23,0
"289",2009,1,13,0,0
"290",2009,1,13,1,0
"291",2009,1,13,2,0
"292",2009,1,13,3,0
"293",2009,1,13,4,0
"294",2009,1,13,5,0
"295",2009,1,13,6,0
"296",2009,1,13,7,0
"297",2009,1,13,8,0
"298",2009,1,13,9,0
"299",2009,1,13,10,0
"300",2009,1,13,11,0
"301",2009,1,13,12,0
"302",2009,1,13,13,0
"303",2009,1,13,14,0
"304",2009,1,13,15,0
"305",2009,1,13,16,0.0532099658901219
"306",2009,1,13,17,15.1477335099017
"307",2009,1,13,18,53.784479777388
"308",2009,1,13,19,80.4127314010645
"309",2009,1,13,20,87.9903197341661
"310",2009,1,13,21,90.5541457647086
"311",2009,1,13,22,90.699225164519
"312",2009,1,13,23,92.102047992376
"313",2009,1,14,0,97.9048449457948
"314",2009,1,14,1,99.6033125384807
"315",2009,1,14,2,100
"316",2009,1,14,3,99.8881862450888
"317",2009,1,14,4,97.8429602445607
"318",2009,1,14,5,93.6776975563414
"319",2009,1,14,6,90.7523257147098
"320",2009,1,14,7,88.3697144389067
"321",2009,1,14,8,84.4117289428644
"322",2009,1,14,9,81.8487467329102
"323",2009,1,14,10,81.3186566728315
"324",2009,1,14,11,80.5832094771161
"325",2009,1,14,12,82.5350915880509
"326",2009,1,14,13,83.2475675021764
"327",2009,1,14,14,85.3719841367621
"328",2009,1,14,15,87.8339032156515
"329",2009,1,14,16,85.3926855732316
"330",2009,1,14,17,85.4210823266013
"331",2009,1,14,18,87.8478884160234
"332",2009,1,14,19,90.410438143723
"333",2009,1,14,20,91.688581238128
"334",2009,1,14,21,92.8283948004499
"335",2009,1,14,22,91.9782922523088
"336",2009,1,14,23,88.8543117527203
"337",2009,1,15,0,88.4490397515622
"338",2009,1,15,1,87.7565724927329
"339",2009,1,15,2,87.0248536299888
"340",2009,1,15,3,86.6854499154817
"341",2009,1,15,4,75.4686301745044
"342",2009,1,15,5,30.3846935215591
"343",2009,1,15,6,1.62538152778617
"344",2009,1,15,7,0
"345",2009,1,15,8,0
"346",2009,1,15,9,0
"347",2009,1,15,10,0
"348",2009,1,15,11,0
"349",2009,1,15,12,0
"350",2009,1,15,13,0
"351",2009,1,15,14,0
"352",2009,1,15,15,0
"353",2009,1,15,16,0
"354",2009,1,15,17,0
"355",2009,1,15,18,0
"356",2009,1,15,19,0
"357",2009,1,15,20,0
"358",2009,1,15,21,0
"359",2009,1,15,22,0
"360",2009,1,15,23,0
"361",2009,1,16,0,0
"362",2009,1,16,1,4.39960930681927
"363",2009,1,16,2,10.7665786126268
"364",2009,1,16,3,20.0438284603226
"365",2009,1,16,4,0
"366",2009,1,16,5,0
"367",2009,1,16,6,0
"368",2009,1,16,7,0
"369",2009,1,16,8,0
"370",2009,1,16,9,0
"371",2009,1,16,10,0
"372",2009,1,16,11,0
"373",2009,1,16,12,0
"374",2009,1,16,13,0
"375",2009,1,16,14,0
"376",2009,1,16,15,0
"377",2009,1,16,16,0
"378",2009,1,16,17,0
"379",2009,1,16,18,0
"380",2009,1,16,19,0
"381",2009,1,16,20,0
"382",2009,1,16,21,0
"383",2009,1,16,22,0
"384",2009,1,16,23,0
"385",2009,1,17,0,0
"386",2009,1,17,1,0
"387",2009,1,17,2,0
"388",2009,1,17,3,0
"389",2009,1,17,4,0
"390",2009,1,17,5,0
"391",2009,1,17,6,0
"392",2009,1,17,7,0
"393",2009,1,17,8,0
"394",2009,1,17,9,0
"395",2009,1,17,10,0
