"","year","month","day","hour","Outage"
"1",2009,1,1,0,0.170953003284354
"2",2009,1,1,1,7.72560872792944
"3",2009,1,1,2,9.6652338811933
"4",2009,1,1,3,13.6723747058264
"5",2009,1,1,4,37.1764647792435
"6",2009,1,1,5,66.1263202408101
"7",2009,1,1,6,88.8217640475284
"8",2009,1,1,7,98.3109034706742
"9",2009,1,1,8,100
"10",2009,1,1,9,99.8556231255332
"11",2009,1,1,10,97.0263300084424
"12",2009,1,1,11,87.7162923411954
"13",2009,1,1,12,71.4436847610414
"14",2009,1,1,13,71.8515152789065
"15",2009,1,1,14,76.8882387193557
"16",2009,1,1,15,83.7755136889512
"17",2009,1,1,16,89.8683898211578
"18",2009,1,1,17,91.4522786080017
"19",2009,1,1,18,98.7441287486672
"20",2009,1,1,19,100
"21",2009,1,1,20,88.515019978767
"22",2009,1,1,21,59.0015462713455
"23",2009,1,1,22,30.0403405154394
"24",2009,1,1,23,19.1474574591226
"25",2009,1,2,0,8.28032815096996
"26",2009,1,2,1,9.59507574191673
"27",2009,1,2,2,12.3830380694263
"28",2009,1,2,3,17.28244700108
"29",2009,1,2,4,5.52381641295602
"30",2009,1,2,5,0
"31",2009,1,2,6,0
"32",2009,1,2,7,0
"33",2009,1,2,8,0
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0.167118469230467
"39",2009,1,2,14,11.5136098117291
"40",2009,1,2,15,27.8166104908518
"41",2009,1,2,16,33.203301388124
"42",2009,1,2,17,33.4424185996656
"43",2009,1,2,18,38.029085719958
"44",2009,1,2,19,39.1881080174834
"45",2009,1,2,20,36.0905005580446
"46",2009,1,2,21,21.9415370678594
"47",2009,1,2,22,19.7856163961875
"48",2009,1,2,23,24.8775232428775
"49",2009,1,3,0,29.7732023768523
"50",2009,1,3,1,46.3776849315565
"51",2009,1,3,2,67.490558451716
"52",2009,1,3,3,81.9826131747451
"53",2009,1,3,4,91.5727391320895
"54",2009,1,3,5,98.3455271493159
"55",2009,1,3,6,100
"56",2009,1,3,7,100
"57",2009,1,3,8,100
"58",2009,1,3,9,100
"59",2009,1,3,10,100
"60",2009,1,3,11,100
"61",2009,1,3,12,100
"62",2009,1,3,13,100
"63",2009,1,3,14,100
"64",2009,1,3,15,99.5885865509925
"65",2009,1,3,16,94.6749526340239
"66",2009,1,3,17,84.6662602539006
"67",2009,1,3,18,76.1358989170345
"68",2009,1,3,19,62.8300800993943
"69",2009,1,3,20,52.8951848026056
"70",2009,1,3,21,74.0666209627462
"71",2009,1,3,22,85.1516474364158
"72",2009,1,3,23,77.6568722372552
"73",2009,1,4,0,69.3192204159753
"74",2009,1,4,1,73.1500335933995
"75",2009,1,4,2,51.7320536193409
"76",2009,1,4,3,45.0688109299137
"77",2009,1,4,4,27.484177360785
"78",2009,1,4,5,25.7789668846517
"79",2009,1,4,6,16.7251236148399
"80",2009,1,4,7,14.9234192425424
"81",2009,1,4,8,12.6220434366167
"82",2009,1,4,9,9.66174094452921
"83",2009,1,4,10,3.31656566738115
"84",2009,1,4,11,34.7480286865182
"85",2009,1,4,12,46.4336978139485
"86",2009,1,4,13,19.9576655803788
"87",2009,1,4,14,0.281003878168283
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
