"","year","month","day","hour","Outage"
"1",2009,1,1,0,46.3696872204894
"2",2009,1,1,1,51.4289455724923
"3",2009,1,1,2,54.8685444953046
"4",2009,1,1,3,69.8420799441464
"5",2009,1,1,4,85.7960570599374
"6",2009,1,1,5,91.183587974433
"7",2009,1,1,6,99.8857069085318
"8",2009,1,1,7,100
"9",2009,1,1,8,99.7469467803892
"10",2009,1,1,9,90.1761553607667
"11",2009,1,1,10,56.4474499940102
"12",2009,1,1,11,32.2897884990238
"13",2009,1,1,12,22.6833741130945
"14",2009,1,1,13,61.7490097744211
"15",2009,1,1,14,14.5096628023412
"16",2009,1,1,15,0
"17",2009,1,1,16,0
"18",2009,1,1,17,47.5844625826969
"19",2009,1,1,18,99.8872567954754
"20",2009,1,1,19,98.3645475354382
"21",2009,1,1,20,95.3885342787754
"22",2009,1,1,21,80.9543900422839
"23",2009,1,1,22,54.8877120308324
"24",2009,1,1,23,43.4524234378346
"25",2009,1,2,0,50.2591429256946
"26",2009,1,2,1,47.8550141360087
"27",2009,1,2,2,46.2760663885398
"28",2009,1,2,3,42.1534091997437
"29",2009,1,2,4,25.3441769272104
"30",2009,1,2,5,24.9513957046657
"31",2009,1,2,6,17.9846555384136
"32",2009,1,2,7,11.3006741267518
"33",2009,1,2,8,6.12188785367547
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,2.32094248098904
"38",2009,1,2,13,7.75763080948838
"39",2009,1,2,14,19.6711994278112
"40",2009,1,2,15,34.3206800919688
"41",2009,1,2,16,50.7791967159102
"42",2009,1,2,17,67.5891393371673
"43",2009,1,2,18,77.7507179318769
"44",2009,1,2,19,82.5990577748967
"45",2009,1,2,20,84.6846919740029
"46",2009,1,2,21,82.0155986934988
"47",2009,1,2,22,76.8165636180483
"48",2009,1,2,23,64.6857271065439
"49",2009,1,3,0,61.4363680426096
"50",2009,1,3,1,65.4471781078974
"51",2009,1,3,2,77.8211011239249
"52",2009,1,3,3,89.8968819869514
"53",2009,1,3,4,97.0023734346096
"54",2009,1,3,5,99.2030395585409
"55",2009,1,3,6,98.9207009919438
"56",2009,1,3,7,95.6186520491669
"57",2009,1,3,8,86.7523113986927
"58",2009,1,3,9,72.087597849704
"59",2009,1,3,10,57.3919158641818
"60",2009,1,3,11,71.1458813678838
"61",2009,1,3,12,91.9810127529901
