"","year","month","day","hour","Outage"
"1",2009,1,1,0,2.98114067815476
"2",2009,1,1,1,15.6476721526036
"3",2009,1,1,2,25.0122668584157
"4",2009,1,1,3,37.9959314668801
"5",2009,1,1,4,47.2033222592085
"6",2009,1,1,5,64.0203515753874
"7",2009,1,1,6,81.4045617831963
"8",2009,1,1,7,94.6045275590571
"9",2009,1,1,8,100
"10",2009,1,1,9,100
"11",2009,1,1,10,100
"12",2009,1,1,11,99.4786192927011
"13",2009,1,1,12,92.0906672299982
"14",2009,1,1,13,77.8781485515954
"15",2009,1,1,14,43.1999325675901
"16",2009,1,1,15,9.40543482192088
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,3.90551948035988
"20",2009,1,1,19,40.9028910327128
"21",2009,1,1,20,41.4832498530546
"22",2009,1,1,21,62.487320948577
"23",2009,1,1,22,84.2892366424227
"24",2009,1,1,23,89.4997793913379
"25",2009,1,2,0,90.2637112658925
"26",2009,1,2,1,99.3278911276192
"27",2009,1,2,2,99.2619123179676
"28",2009,1,2,3,76.7015488832704
"29",2009,1,2,4,39.3315154254061
"30",2009,1,2,5,26.5360456578598
"31",2009,1,2,6,27.0821468213068
"32",2009,1,2,7,42.3763036019547
"33",2009,1,2,8,48.6491155108299
"34",2009,1,2,9,48.1398253956264
"35",2009,1,2,10,54.0254579547397
"36",2009,1,2,11,52.5259372602372
"37",2009,1,2,12,46.2960956060704
"38",2009,1,2,13,42.305903941529
"39",2009,1,2,14,38.2174172964804
"40",2009,1,2,15,33.5743537415062
"41",2009,1,2,16,27.9851355353183
"42",2009,1,2,17,26.1342512964475
"43",2009,1,2,18,34.4404165633367
"44",2009,1,2,19,36.464718616381
"45",2009,1,2,20,38.9307701524069
"46",2009,1,2,21,43.8990804927281
"47",2009,1,2,22,49.9462929515989
"48",2009,1,2,23,60.7281225705629
"49",2009,1,3,0,67.0254949750688
"50",2009,1,3,1,73.5054291199041
"51",2009,1,3,2,80.0054558017284
"52",2009,1,3,3,84.1042756733034
"53",2009,1,3,4,89.2028737835319
"54",2009,1,3,5,89.1871717139934
"55",2009,1,3,6,87.8057022003538
"56",2009,1,3,7,90.1816513084687
"57",2009,1,3,8,93.1425488690221
"58",2009,1,3,9,95.5610609863372
"59",2009,1,3,10,92.4842030753212
"60",2009,1,3,11,97.5184352606107
"61",2009,1,3,12,94.6601962494656
"62",2009,1,3,13,91.6252624347313
"63",2009,1,3,14,96.0980582243788
"64",2009,1,3,15,99.5920143739001
"65",2009,1,3,16,100
"66",2009,1,3,17,100
"67",2009,1,3,18,100
"68",2009,1,3,19,100
"69",2009,1,3,20,100
"70",2009,1,3,21,100
"71",2009,1,3,22,100
"72",2009,1,3,23,100
"73",2009,1,4,0,100
"74",2009,1,4,1,100
"75",2009,1,4,2,100
"76",2009,1,4,3,100
"77",2009,1,4,4,98.9795697778117
"78",2009,1,4,5,89.6779713688745
"79",2009,1,4,6,76.2751407044634
"80",2009,1,4,7,65.9980133499469
"81",2009,1,4,8,43.971032655582
"82",2009,1,4,9,31.4297573851716
"83",2009,1,4,10,14.7690191078928
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,10.7006247300263
"89",2009,1,4,16,24.6488121311755
"90",2009,1,4,17,1.72586873273623
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0.700262918669914
"109",2009,1,5,12,13.6542510977454
"110",2009,1,5,13,43.2620720707433
"111",2009,1,5,14,59.2975417780425
"112",2009,1,5,15,56.8312263563007
"113",2009,1,5,16,49.7825667648971
"114",2009,1,5,17,30.719075018587
"115",2009,1,5,18,29.555237562615
"116",2009,1,5,19,41.2892838528366
"117",2009,1,5,20,28.7249197165226
"118",2009,1,5,21,22.2772920006123
"119",2009,1,5,22,14.8251203480184
"120",2009,1,5,23,0.377067995744026
"121",2009,1,6,0,3.23996380660048
"122",2009,1,6,1,5.74354781570848
"123",2009,1,6,2,6.04005428867492
"124",2009,1,6,3,8.67204519354882
"125",2009,1,6,4,25.1867766897133
"126",2009,1,6,5,42.0077925982135
"127",2009,1,6,6,39.3062239671976
"128",2009,1,6,7,29.920798930015
"129",2009,1,6,8,24.9673369799834
"130",2009,1,6,9,23.7513373477871
"131",2009,1,6,10,30.0578695151012
"132",2009,1,6,11,43.5533982264439
"133",2009,1,6,12,60.5183219275264
"134",2009,1,6,13,77.7834818929975
"135",2009,1,6,14,85.6321716068125
"136",2009,1,6,15,93.6386192465028
"137",2009,1,6,16,97.7464532125021
"138",2009,1,6,17,100
"139",2009,1,6,18,100
"140",2009,1,6,19,100
"141",2009,1,6,20,99.8630646724865
"142",2009,1,6,21,91.1622279785406
"143",2009,1,6,22,65.9451288035893
"144",2009,1,6,23,25.6295436021246
"145",2009,1,7,0,0.871587928546863
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,3.98947626112445
"162",2009,1,7,17,15.8210900580379
"163",2009,1,7,18,33.0137843948101
"164",2009,1,7,19,46.484917607148
"165",2009,1,7,20,62.2920925114171
"166",2009,1,7,21,71.8596168718507
"167",2009,1,7,22,75.5160405945404
"168",2009,1,7,23,84.2079491915686
"169",2009,1,8,0,84.9180318803822
"170",2009,1,8,1,74.5814207756565
"171",2009,1,8,2,70.0603470988729
"172",2009,1,8,3,70.0526526791448
"173",2009,1,8,4,72.3063951814302
"174",2009,1,8,5,76.3423592236265
"175",2009,1,8,6,86.420144019379
"176",2009,1,8,7,92.1697512696196
"177",2009,1,8,8,97.9934390575199
"178",2009,1,8,9,100
"179",2009,1,8,10,100
"180",2009,1,8,11,99.7208062269759
"181",2009,1,8,12,93.4318428998395
"182",2009,1,8,13,85.327756372667
"183",2009,1,8,14,69.3203654868091
"184",2009,1,8,15,46.3582508766372
"185",2009,1,8,16,11.7007462202504
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,1.57756075188037
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,2.25410171347432
"192",2009,1,8,23,7.33409020974411
"193",2009,1,9,0,17.8040398958878
