"","year","month","day","hour","Outage"
"1",2009,1,1,0,16.7063875208797
"2",2009,1,1,1,37.8565158040174
"3",2009,1,1,2,53.2663632230895
"4",2009,1,1,3,56.9027834279282
"5",2009,1,1,4,66.4838843009204
"6",2009,1,1,5,81.3214021592437
"7",2009,1,1,6,89.7962155604887
"8",2009,1,1,7,97.9546573874188
"9",2009,1,1,8,100
"10",2009,1,1,9,100
"11",2009,1,1,10,99.693255529776
"12",2009,1,1,11,93.4572500306073
"13",2009,1,1,12,81.3835081046531
"14",2009,1,1,13,67.0291965181085
"15",2009,1,1,14,45.378634209804
"16",2009,1,1,15,42.9754290280655
"17",2009,1,1,16,39.5571654205252
"18",2009,1,1,17,35.7825945984792
"19",2009,1,1,18,67.2700731492934
"20",2009,1,1,19,75.5469556718065
"21",2009,1,1,20,95.6783101915715
"22",2009,1,1,21,98.7767332625039
"23",2009,1,1,22,96.9705672698076
"24",2009,1,1,23,77.4124434667933
"25",2009,1,2,0,64.8874833663579
"26",2009,1,2,1,50.8079575046374
"27",2009,1,2,2,37.3802312769008
"28",2009,1,2,3,27.44909301584
"29",2009,1,2,4,29.4356663320301
"30",2009,1,2,5,26.9287555975719
"31",2009,1,2,6,7.43430464629125
"32",2009,1,2,7,5.71341401932411
"33",2009,1,2,8,11.9097899759394
"34",2009,1,2,9,0.840170486403295
"35",2009,1,2,10,2.52543912480856
"36",2009,1,2,11,0.364746634759307
"37",2009,1,2,12,0
"38",2009,1,2,13,0
"39",2009,1,2,14,0
"40",2009,1,2,15,1.05526086262164
"41",2009,1,2,16,6.77555185880405
"42",2009,1,2,17,11.6768402170078
"43",2009,1,2,18,28.3864780857112
"44",2009,1,2,19,37.6411126462663
"45",2009,1,2,20,48.8023482856495
"46",2009,1,2,21,56.4971707846535
"47",2009,1,2,22,62.8721518907857
"48",2009,1,2,23,68.5449291361055
"49",2009,1,3,0,72.9358210717588
"50",2009,1,3,1,79.3754724396113
"51",2009,1,3,2,83.4533373824529
"52",2009,1,3,3,88.9259037864926
"53",2009,1,3,4,93.2353309073062
"54",2009,1,3,5,98.9577310900073
"55",2009,1,3,6,100
"56",2009,1,3,7,100
"57",2009,1,3,8,99.5292594834024
"58",2009,1,3,9,97.9381584361017
"59",2009,1,3,10,93.2913281573503
"60",2009,1,3,11,90.1446175188171
"61",2009,1,3,12,74.8719429724693
"62",2009,1,3,13,77.7799722258609
"63",2009,1,3,14,88.5883939950901
"64",2009,1,3,15,89.8378521076251
"65",2009,1,3,16,91.4961553161828
"66",2009,1,3,17,93.4796396846427
"67",2009,1,3,18,98.6404289021892
"68",2009,1,3,19,100
"69",2009,1,3,20,99.8518366720721
"70",2009,1,3,21,98.766908304316
"71",2009,1,3,22,98.9550017783334
"72",2009,1,3,23,99.7356404950167
"73",2009,1,4,0,100
"74",2009,1,4,1,100
"75",2009,1,4,2,100
