"","year","month","day","hour","Outage"
"1",2009,1,1,0,25.8965838264702
"2",2009,1,1,1,48.7937328709965
"3",2009,1,1,2,57.7021621652298
"4",2009,1,1,3,61.4663823315395
"5",2009,1,1,4,72.3771729422254
"6",2009,1,1,5,86.7955681771384
"7",2009,1,1,6,93.004647929413
"8",2009,1,1,7,98.1437024195643
"9",2009,1,1,8,100
"10",2009,1,1,9,100
"11",2009,1,1,10,99.8869990758467
"12",2009,1,1,11,92.3042222110691
"13",2009,1,1,12,80.7904515621686
"14",2009,1,1,13,68.4228356774507
"15",2009,1,1,14,49.6608234325148
"16",2009,1,1,15,53.8628047594565
"17",2009,1,1,16,50.9233644674527
"18",2009,1,1,17,48.9422929998152
"19",2009,1,1,18,73.2299469580361
"20",2009,1,1,19,77.8249448529889
"21",2009,1,1,20,92.5406629797292
"22",2009,1,1,21,94.0196153624871
"23",2009,1,1,22,91.9748446810145
"24",2009,1,1,23,71.346193876568
"25",2009,1,2,0,64.1151110482574
"26",2009,1,2,1,64.1540099560904
"27",2009,1,2,2,55.3256066814841
"28",2009,1,2,3,46.0117168125765
"29",2009,1,2,4,54.2419609941662
"30",2009,1,2,5,42.6105169756399
"31",2009,1,2,6,18.8072058201832
"32",2009,1,2,7,15.6714669667051
"33",2009,1,2,8,32.5822807014773
"34",2009,1,2,9,18.9583321817178
"35",2009,1,2,10,13.6704942476589
"36",2009,1,2,11,2.70466485291086
"37",2009,1,2,12,0
"38",2009,1,2,13,0.0981388579002411
"39",2009,1,2,14,2.91500081788158
"40",2009,1,2,15,9.17171431545552
"41",2009,1,2,16,16.3664499093416
"42",2009,1,2,17,17.0101492061707
"43",2009,1,2,18,32.6449505444601
"44",2009,1,2,19,44.7693393158527
"45",2009,1,2,20,53.9068437498363
"46",2009,1,2,21,63.1484497485355
"47",2009,1,2,22,72.444738116254
"48",2009,1,2,23,78.4483748563717
"49",2009,1,3,0,79.4306687397826
"50",2009,1,3,1,84.1544911226384
"51",2009,1,3,2,87.8062533513082
"52",2009,1,3,3,91.9595255896599
"53",2009,1,3,4,96.040526637936
"54",2009,1,3,5,99.4626738229088
"55",2009,1,3,6,100
"56",2009,1,3,7,100
