"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,3.75616682515513
"3",2009,1,1,2,16.6489015982103
"4",2009,1,1,3,19.3764953177116
"5",2009,1,1,4,21.2053449522626
"6",2009,1,1,5,26.0778108484871
"7",2009,1,1,6,32.2481825475417
"8",2009,1,1,7,14.0631475947342
"9",2009,1,1,8,6.765068742501
"10",2009,1,1,9,27.7809821791294
"11",2009,1,1,10,71.0838254873072
"12",2009,1,1,11,92.0238566055016
"13",2009,1,1,12,99.4723372584917
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,97.8675328686906
"20",2009,1,1,19,88.8691220975056
"21",2009,1,1,20,85.4789320913238
"22",2009,1,1,21,82.1197122404983
"23",2009,1,1,22,66.2726206782834
"24",2009,1,1,23,89.8463571113996
"25",2009,1,2,0,68.0091769707231
"26",2009,1,2,1,18.8246672745606
"27",2009,1,2,2,21.3497004032957
"28",2009,1,2,3,54.5267224062655
"29",2009,1,2,4,81.2363185572781
"30",2009,1,2,5,87.5881636975301
"31",2009,1,2,6,91.1547414587345
"32",2009,1,2,7,96.0688433736366
"33",2009,1,2,8,99.2795067871536
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,97.2911858073894
"53",2009,1,3,4,94.8004340852597
"54",2009,1,3,5,98.2283907646637
"55",2009,1,3,6,91.9360673452672
"56",2009,1,3,7,69.5208148200137
"57",2009,1,3,8,2.42662651813144
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,2.18557451667064
"63",2009,1,3,14,5.23569598185262
"64",2009,1,3,15,0.176732000133306
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0.770177839336267
"84",2009,1,4,11,15.1649169451866
"85",2009,1,4,12,18.1951685591471
"86",2009,1,4,13,1.07350563436264
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,34.0578356140622
"98",2009,1,5,1,12.8240223313272
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,45.7489352541085
"122",2009,1,6,1,78.026860788298
"123",2009,1,6,2,60.1692112209748
"124",2009,1,6,3,17.5709112907457
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,1.12000061107235
"131",2009,1,6,10,4.23466938837239
"132",2009,1,6,11,24.1495544251244
"133",2009,1,6,12,62.9278725109281
"134",2009,1,6,13,80.0454959756829
"135",2009,1,6,14,61.5108971884532
"136",2009,1,6,15,44.3688246793348
"137",2009,1,6,16,57.2840547195724
"138",2009,1,6,17,55.832161540278
"139",2009,1,6,18,57.188951085671
"140",2009,1,6,19,69.456203799025
"141",2009,1,6,20,82.0553079702338
"142",2009,1,6,21,91.1089905168279
"143",2009,1,6,22,96.6177999022833
"144",2009,1,6,23,84.2857208417987
"145",2009,1,7,0,28.6173238684207
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0.485351903193556
"182",2009,1,8,13,60.3855165134186
"183",2009,1,8,14,95.5507327465547
"184",2009,1,8,15,91.4971409060578
"185",2009,1,8,16,59.9567818415911
"186",2009,1,8,17,33.7391076797547
"187",2009,1,8,18,64.9933093944553
"188",2009,1,8,19,89.5552689791362
"189",2009,1,8,20,98.0677422400388
"190",2009,1,8,21,100
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,99.8883383688112
"195",2009,1,9,2,97.0818527800335
"196",2009,1,9,3,92.0667543634355
"197",2009,1,9,4,95.2537937229875
"198",2009,1,9,5,98.9598325502277
"199",2009,1,9,6,96.2821926451171
"200",2009,1,9,7,94.0185262076188
"201",2009,1,9,8,86.535318005534
"202",2009,1,9,9,39.9695242720799
"203",2009,1,9,10,0
"204",2009,1,9,11,6.9347539876323
"205",2009,1,9,12,34.3225277140556
"206",2009,1,9,13,3.67947893156602
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
