"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0.00766790619101491
"3",2009,1,1,2,7.83368628294722
"4",2009,1,1,3,16.9766158085134
"5",2009,1,1,4,36.3305498309244
"6",2009,1,1,5,64.2859575059046
"7",2009,1,1,6,77.0835531558907
"8",2009,1,1,7,88.5835187822934
"9",2009,1,1,8,98.7502417941603
"10",2009,1,1,9,100
"11",2009,1,1,10,100
"12",2009,1,1,11,99.5074942091783
"13",2009,1,1,12,90.3281245406217
"14",2009,1,1,13,75.4877838287888
"15",2009,1,1,14,43.3443647861342
"16",2009,1,1,15,20.9635574493417
"17",2009,1,1,16,12.1193939999177
"18",2009,1,1,17,17.9664402559158
"19",2009,1,1,18,26.3334830853784
"20",2009,1,1,19,41.0759590315001
"21",2009,1,1,20,54.8546237364288
"22",2009,1,1,21,82.1067951274072
"23",2009,1,1,22,84.2830020469731
"24",2009,1,1,23,74.8534548596153
"25",2009,1,2,0,78.5460298323011
"26",2009,1,2,1,66.26847751708
"27",2009,1,2,2,37.7973751352392
"28",2009,1,2,3,21.8274502246968
"29",2009,1,2,4,35.1585316803666
"30",2009,1,2,5,33.1640380399633
"31",2009,1,2,6,42.2951600780758
"32",2009,1,2,7,40.1622014142113
"33",2009,1,2,8,29.1451768207307
"34",2009,1,2,9,29.5596276240551
"35",2009,1,2,10,13.1870330326297
"36",2009,1,2,11,0.302850744920456
"37",2009,1,2,12,0
"38",2009,1,2,13,0
"39",2009,1,2,14,0
"40",2009,1,2,15,0
"41",2009,1,2,16,0
"42",2009,1,2,17,0
"43",2009,1,2,18,0.794046971374858
"44",2009,1,2,19,10.6427514706626
"45",2009,1,2,20,23.0396228076782
"46",2009,1,2,21,32.5679113145094
"47",2009,1,2,22,43.8681640256929
"48",2009,1,2,23,49.8275675179744
"49",2009,1,3,0,56.3098502550331
"50",2009,1,3,1,43.2128780742503
"51",2009,1,3,2,29.0588199633067
"52",2009,1,3,3,43.9206564278509
"53",2009,1,3,4,55.6227225741279
"54",2009,1,3,5,66.2896331373347
"55",2009,1,3,6,81.3210301236369
"56",2009,1,3,7,90.4301824004273
"57",2009,1,3,8,96.6131943902765
"58",2009,1,3,9,98.2512013927208
"59",2009,1,3,10,98.7577680309729
"60",2009,1,3,11,98.1196330772165
"61",2009,1,3,12,96.5583542673575
"62",2009,1,3,13,94.1108849503019
"63",2009,1,3,14,91.2893742453042
"64",2009,1,3,15,92.5968358645645
"65",2009,1,3,16,93.4426742659984
"66",2009,1,3,17,95.1827662160522
"67",2009,1,3,18,94.5115628203343
"68",2009,1,3,19,95.2938822946998
"69",2009,1,3,20,97.2302063616551
"70",2009,1,3,21,98.4472236111398
"71",2009,1,3,22,98.3376784963458
"72",2009,1,3,23,97.1349641361923
"73",2009,1,4,0,93.9533481844338
"74",2009,1,4,1,92.3631042400556
"75",2009,1,4,2,92.1430046724288
"76",2009,1,4,3,85.8004296897677
"77",2009,1,4,4,84.3682402703884
"78",2009,1,4,5,73.3085753914919
"79",2009,1,4,6,40.8622084119507
"80",2009,1,4,7,5.16753414078138
"81",2009,1,4,8,3.44418833124569
"82",2009,1,4,9,8.98458820064848
"83",2009,1,4,10,7.58122729146133
"84",2009,1,4,11,0.0596164106669276
"85",2009,1,4,12,6.52956578750423
"86",2009,1,4,13,1.00800896834166
"87",2009,1,4,14,1.43501388377553
"88",2009,1,4,15,8.39747718967253
"89",2009,1,4,16,8.42174960985665
"90",2009,1,4,17,1.79277957793775
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0.0131014067213479
"98",2009,1,5,1,0.0320762247159712
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,2.58108403197933
"113",2009,1,5,16,4.92769687862866
"114",2009,1,5,17,1.64854145522113
"115",2009,1,5,18,5.98385402511238
"116",2009,1,5,19,3.61751060034047
"117",2009,1,5,20,0.539254460195928
"118",2009,1,5,21,0
"119",2009,1,5,22,1.188867878939
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,1.60373584225235
"127",2009,1,6,6,11.0325867071413
"128",2009,1,6,7,4.70557050540497
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0.553902314974604
"132",2009,1,6,11,5.33242780030065
"133",2009,1,6,12,32.0618238165738
"134",2009,1,6,13,65.1897053279414
"135",2009,1,6,14,88.2227520864639
"136",2009,1,6,15,95.6428213776203
"137",2009,1,6,16,98.7727326750211
"138",2009,1,6,17,100
"139",2009,1,6,18,100
"140",2009,1,6,19,100
"141",2009,1,6,20,100
"142",2009,1,6,21,99.3817870029475
"143",2009,1,6,22,91.4282473794151
"144",2009,1,6,23,78.6989617498243
"145",2009,1,7,0,62.6332109221069
"146",2009,1,7,1,44.3725144557296
"147",2009,1,7,2,22.4473934320661
"148",2009,1,7,3,14.5773820490944
"149",2009,1,7,4,9.75758190327486
"150",2009,1,7,5,8.46991549238514
"151",2009,1,7,6,6.86630848604617
"152",2009,1,7,7,6.86630848604617
"153",2009,1,7,8,3.62258748814162
"154",2009,1,7,9,0.838710542382008
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0.538381828081408
"160",2009,1,7,15,0.5447837542033
"161",2009,1,7,16,3.19164623374381
"162",2009,1,7,17,7.90434262690349
"163",2009,1,7,18,13.6579265179444
"164",2009,1,7,19,22.5888986732565
"165",2009,1,7,20,27.6646766446079
"166",2009,1,7,21,39.0173152278737
"167",2009,1,7,22,45.4783037935609
"168",2009,1,7,23,54.7497903425136
"169",2009,1,8,0,52.5678241002362
"170",2009,1,8,1,45.5770270914502
"171",2009,1,8,2,32.3133061855123
"172",2009,1,8,3,39.5422646835019
"173",2009,1,8,4,20.1785104426892
"174",2009,1,8,5,21.3032473629686
"175",2009,1,8,6,32.7892234842291
"176",2009,1,8,7,49.1213717321083
"177",2009,1,8,8,61.6208452234048
"178",2009,1,8,9,56.7041717964049
"179",2009,1,8,10,63.8484588042957
"180",2009,1,8,11,56.2228974441182
"181",2009,1,8,12,39.833632679326
"182",2009,1,8,13,34.8759604476554
"183",2009,1,8,14,24.2202288030621
"184",2009,1,8,15,8.73397004630244
"185",2009,1,8,16,0
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,9.25516336699329
"193",2009,1,9,0,16.4365409337808
"194",2009,1,9,1,17.0270019235678
"195",2009,1,9,2,22.2366805941323
"196",2009,1,9,3,17.9486760984811
"197",2009,1,9,4,20.522464800378
"198",2009,1,9,5,24.532363274302
"199",2009,1,9,6,26.6330549311196
"200",2009,1,9,7,22.4219512268936
"201",2009,1,9,8,20.1490016749473
"202",2009,1,9,9,1.33994644041414
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,2.06606320057283
"219",2009,1,10,2,2.19415166519266
"220",2009,1,10,3,4.2870416898052
"221",2009,1,10,4,1.64643454828921
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,2.38097177198002
"232",2009,1,10,15,7.94443859639346
"233",2009,1,10,16,9.06848269085425
"234",2009,1,10,17,1.74147778819634
"235",2009,1,10,18,4.6854104371543
"236",2009,1,10,19,9.91548908764616
"237",2009,1,10,20,12.543041918091
"238",2009,1,10,21,8.58101907180148
"239",2009,1,10,22,15.0468447413765
"240",2009,1,10,23,38.3344779220022
"241",2009,1,11,0,68.5532295414089
"242",2009,1,11,1,88.9155732903666
"243",2009,1,11,2,97.1442570926586
"244",2009,1,11,3,94.0513533775384
"245",2009,1,11,4,82.4397217953895
"246",2009,1,11,5,82.5375292684674
"247",2009,1,11,6,58.4095579161333
"248",2009,1,11,7,12.7332879733944
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,0
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,0
"260",2009,1,11,19,0
"261",2009,1,11,20,0
"262",2009,1,11,21,0
"263",2009,1,11,22,0
"264",2009,1,11,23,0.667486768921799
"265",2009,1,12,0,15.1496737827886
"266",2009,1,12,1,28.7094265901778
"267",2009,1,12,2,49.9462005598743
"268",2009,1,12,3,72.6995279010284
"269",2009,1,12,4,86.0251244548026
"270",2009,1,12,5,95.9227125861481
"271",2009,1,12,6,99.8874416959962
"272",2009,1,12,7,100
"273",2009,1,12,8,100
"274",2009,1,12,9,99.0963724505629
"275",2009,1,12,10,98.9426863721922
"276",2009,1,12,11,95.8217668164644
"277",2009,1,12,12,90.483598190788
"278",2009,1,12,13,91.633364526531
"279",2009,1,12,14,89.9284976950075
"280",2009,1,12,15,86.7005072745614
"281",2009,1,12,16,78.7098594234892
"282",2009,1,12,17,66.1758824815127
"283",2009,1,12,18,59.075047846978
"284",2009,1,12,19,62.2283906717153
"285",2009,1,12,20,76.0486673359376
"286",2009,1,12,21,86.6768674526247
"287",2009,1,12,22,86.6110049768818
"288",2009,1,12,23,81.2143116640419
"289",2009,1,13,0,64.5078809833869
"290",2009,1,13,1,45.8336415671584
"291",2009,1,13,2,20.1452681002177
"292",2009,1,13,3,3.48539163814635
"293",2009,1,13,4,0
"294",2009,1,13,5,0
"295",2009,1,13,6,0
"296",2009,1,13,7,0
"297",2009,1,13,8,0
"298",2009,1,13,9,0
"299",2009,1,13,10,0
"300",2009,1,13,11,0
"301",2009,1,13,12,0
"302",2009,1,13,13,0
"303",2009,1,13,14,0
"304",2009,1,13,15,0
"305",2009,1,13,16,0
"306",2009,1,13,17,10.3054072429296
"307",2009,1,13,18,65.9809146933473
"308",2009,1,13,19,78.7318021162201
"309",2009,1,13,20,76.6571381398855
"310",2009,1,13,21,81.3330915393181
"311",2009,1,13,22,77.0651498480588
"312",2009,1,13,23,86.9422708199657
"313",2009,1,14,0,94.4523685286117
"314",2009,1,14,1,98.2114214570333
"315",2009,1,14,2,98.3829545904575
"316",2009,1,14,3,98.4498629069949
"317",2009,1,14,4,99.2775525805072
"318",2009,1,14,5,97.4461071487587
"319",2009,1,14,6,92.7099119192613
"320",2009,1,14,7,89.6611499283507
"321",2009,1,14,8,86.3128583580519
"322",2009,1,14,9,84.4228368663957
"323",2009,1,14,10,87.2432406146558
"324",2009,1,14,11,90.7231915540172
"325",2009,1,14,12,93.1770161357201
"326",2009,1,14,13,94.6719789731789
"327",2009,1,14,14,95.4663968427113
"328",2009,1,14,15,96.0166028335632
"329",2009,1,14,16,96.9676438417276
"330",2009,1,14,17,97.5563955180183
"331",2009,1,14,18,98.2429265265366
"332",2009,1,14,19,99.0645146359644
"333",2009,1,14,20,99.3155590824442
"334",2009,1,14,21,99.3137810180567
"335",2009,1,14,22,99.3166880797027
"336",2009,1,14,23,98.9140062051723
"337",2009,1,15,0,96.3529094988605
"338",2009,1,15,1,91.871244455939
"339",2009,1,15,2,88.5000257918623
"340",2009,1,15,3,84.250803379318
"341",2009,1,15,4,77.8870906419084
"342",2009,1,15,5,68.1185225448294
"343",2009,1,15,6,48.0409234169825
"344",2009,1,15,7,30.4655655546125
"345",2009,1,15,8,14.3016957062072
"346",2009,1,15,9,2.74684304182128
"347",2009,1,15,10,0
"348",2009,1,15,11,0
"349",2009,1,15,12,0
"350",2009,1,15,13,0
"351",2009,1,15,14,0
"352",2009,1,15,15,0
"353",2009,1,15,16,0
"354",2009,1,15,17,0
"355",2009,1,15,18,0
"356",2009,1,15,19,0
"357",2009,1,15,20,0
"358",2009,1,15,21,0
"359",2009,1,15,22,0
"360",2009,1,15,23,0
"361",2009,1,16,0,0
"362",2009,1,16,1,0
"363",2009,1,16,2,0
"364",2009,1,16,3,0
"365",2009,1,16,4,0
"366",2009,1,16,5,0
"367",2009,1,16,6,0
"368",2009,1,16,7,0
"369",2009,1,16,8,0
"370",2009,1,16,9,0
"371",2009,1,16,10,0
"372",2009,1,16,11,0
"373",2009,1,16,12,0
"374",2009,1,16,13,0
"375",2009,1,16,14,0
"376",2009,1,16,15,0
"377",2009,1,16,16,0
"378",2009,1,16,17,0
"379",2009,1,16,18,0
"380",2009,1,16,19,0
"381",2009,1,16,20,0
"382",2009,1,16,21,0
"383",2009,1,16,22,0
"384",2009,1,16,23,1.38956194704707
"385",2009,1,17,0,4.31425679622011
"386",2009,1,17,1,1.18995404023916
"387",2009,1,17,2,0
"388",2009,1,17,3,0
"389",2009,1,17,4,0
"390",2009,1,17,5,0
"391",2009,1,17,6,0
"392",2009,1,17,7,0
"393",2009,1,17,8,0
"394",2009,1,17,9,0
"395",2009,1,17,10,0
"396",2009,1,17,11,0
"397",2009,1,17,12,1.6347354848812
"398",2009,1,17,13,6.86251688989281
"399",2009,1,17,14,2.34056077262036
"400",2009,1,17,15,0
"401",2009,1,17,16,0
"402",2009,1,17,17,0
"403",2009,1,17,18,0
"404",2009,1,17,19,0
"405",2009,1,17,20,0
"406",2009,1,17,21,0
"407",2009,1,17,22,0
"408",2009,1,17,23,0
"409",2009,1,18,0,0
"410",2009,1,18,1,0
"411",2009,1,18,2,0
"412",2009,1,18,3,0
"413",2009,1,18,4,0
"414",2009,1,18,5,0
"415",2009,1,18,6,0
"416",2009,1,18,7,0
"417",2009,1,18,8,0
"418",2009,1,18,9,0
"419",2009,1,18,10,0
"420",2009,1,18,11,0
"421",2009,1,18,12,0
"422",2009,1,18,13,0
"423",2009,1,18,14,0
"424",2009,1,18,15,0
"425",2009,1,18,16,0
"426",2009,1,18,17,0
"427",2009,1,18,18,0
"428",2009,1,18,19,0
"429",2009,1,18,20,0
"430",2009,1,18,21,0
"431",2009,1,18,22,0
"432",2009,1,18,23,0
"433",2009,1,19,0,0
"434",2009,1,19,1,0
"435",2009,1,19,2,0
"436",2009,1,19,3,0
"437",2009,1,19,4,0
"438",2009,1,19,5,0
"439",2009,1,19,6,3.45120263538464
"440",2009,1,19,7,29.593082241009
"441",2009,1,19,8,68.4329403708713
"442",2009,1,19,9,85.6639706340567
"443",2009,1,19,10,88.579177078503
"444",2009,1,19,11,79.6349272737917
"445",2009,1,19,12,70.6830841702024
"446",2009,1,19,13,64.6502004367783
"447",2009,1,19,14,20.387989345449
"448",2009,1,19,15,20.5381339211469
"449",2009,1,19,16,9.82087074334544
