"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,4.35804914794418
"11",2009,1,1,10,25.8998378930469
"12",2009,1,1,11,38.7156688873323
"13",2009,1,1,12,75.7010114234137
"14",2009,1,1,13,91.4895460532628
"15",2009,1,1,14,90.0915897471617
"16",2009,1,1,15,59.0993605993167
"17",2009,1,1,16,25.0234054098169
"18",2009,1,1,17,17.0352463741541
"19",2009,1,1,18,12.3841607784827
"20",2009,1,1,19,43.9526638163552
"21",2009,1,1,20,83.4596478824267
"22",2009,1,1,21,70.2129507863802
"23",2009,1,1,22,78.2557758494732
"24",2009,1,1,23,74.7110804211415
"25",2009,1,2,0,43.3554001132696
"26",2009,1,2,1,50.7984841956584
"27",2009,1,2,2,77.6483074862737
"28",2009,1,2,3,87.5909169616477
"29",2009,1,2,4,87.4352110280575
"30",2009,1,2,5,83.6616224496797
"31",2009,1,2,6,89.1685768820519
"32",2009,1,2,7,90.9928507193013
"33",2009,1,2,8,91.566940403283
"34",2009,1,2,9,88.3920659018416
"35",2009,1,2,10,75.5165745682954
"36",2009,1,2,11,53.0725169093135
"37",2009,1,2,12,56.3860777137531
"38",2009,1,2,13,74.3353828995887
"39",2009,1,2,14,82.739171419855
"40",2009,1,2,15,88.1444901615522
"41",2009,1,2,16,94.0593097198711
"42",2009,1,2,17,98.9309280526376
"43",2009,1,2,18,99.7058017878016
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,97.6809744212515
"55",2009,1,3,6,91.6222800106012
"56",2009,1,3,7,87.4193544716212
"57",2009,1,3,8,82.4596418933251
"58",2009,1,3,9,64.7640309889329
"59",2009,1,3,10,8.70252942999504
"60",2009,1,3,11,0
"61",2009,1,3,12,3.64820536538882
"62",2009,1,3,13,4.04143127390723
"63",2009,1,3,14,6.45800349280618
"64",2009,1,3,15,13.0401111896614
"65",2009,1,3,16,0.4697449314268
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,0
"135",2009,1,6,14,0
"136",2009,1,6,15,0
"137",2009,1,6,16,0
"138",2009,1,6,17,0
"139",2009,1,6,18,0
"140",2009,1,6,19,0
"141",2009,1,6,20,0
"142",2009,1,6,21,0
"143",2009,1,6,22,0
"144",2009,1,6,23,0
"145",2009,1,7,0,1.35434754050434
"146",2009,1,7,1,8.15858723680042
"147",2009,1,7,2,3.02332232597921
"148",2009,1,7,3,4.5289280233053
"149",2009,1,7,4,11.9096095109436
"150",2009,1,7,5,0.396974086744784
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,3.74703201797679
"172",2009,1,8,3,7.30798312920493
"173",2009,1,8,4,4.94162161605614
"174",2009,1,8,5,1.21847229270302
"175",2009,1,8,6,0
"176",2009,1,8,7,12.9569342393811
"177",2009,1,8,8,20.9078915788958
"178",2009,1,8,9,1.99961754973586
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,22.0624702668683
"182",2009,1,8,13,73.42944771187
"183",2009,1,8,14,40.4123236746037
"184",2009,1,8,15,55.690347049366
"185",2009,1,8,16,68.391543998077
"186",2009,1,8,17,61.065623300267
"187",2009,1,8,18,67.9345986902688
"188",2009,1,8,19,83.6147674736526
"189",2009,1,8,20,83.5978744287038
"190",2009,1,8,21,83.3975675048415
"191",2009,1,8,22,83.7259267281405
"192",2009,1,8,23,88.7666748424335
"193",2009,1,9,0,93.8347431279572
"194",2009,1,9,1,97.0573647596385
"195",2009,1,9,2,99.0403540399998
"196",2009,1,9,3,97.0594107552896
"197",2009,1,9,4,80.0372052178749
"198",2009,1,9,5,56.761161401378
"199",2009,1,9,6,61.8979895857682
"200",2009,1,9,7,77.2926892668303
"201",2009,1,9,8,84.599488388247
"202",2009,1,9,9,89.5733985383272
"203",2009,1,9,10,42.507830226951
"204",2009,1,9,11,1.61737841018441
"205",2009,1,9,12,1.28608120267028
"206",2009,1,9,13,0.562239312792708
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
