"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,6.58346412125559
"11",2009,1,1,10,27.5931854849867
"12",2009,1,1,11,59.9373771765416
"13",2009,1,1,12,92.5649842622289
"14",2009,1,1,13,100
"15",2009,1,1,14,99.8620395359713
"16",2009,1,1,15,97.6497320143763
"17",2009,1,1,16,94.2558674859551
"18",2009,1,1,17,97.6069150183067
"19",2009,1,1,18,100
"20",2009,1,1,19,100
"21",2009,1,1,20,98.3746576287157
"22",2009,1,1,21,93.4860955555589
"23",2009,1,1,22,82.183279854346
"24",2009,1,1,23,19.6190710693115
"25",2009,1,2,0,16.3920369425973
"26",2009,1,2,1,43.5426142671421
"27",2009,1,2,2,65.2475288383859
"28",2009,1,2,3,85.4745761417527
"29",2009,1,2,4,89.3460039075258
"30",2009,1,2,5,89.7692313840365
"31",2009,1,2,6,91.484451956264
"32",2009,1,2,7,90.4078038211365
"33",2009,1,2,8,89.9258884985275
"34",2009,1,2,9,87.2891169070399
"35",2009,1,2,10,82.1637797173148
"36",2009,1,2,11,74.067781206876
"37",2009,1,2,12,82.5341696760318
"38",2009,1,2,13,94.8528727116823
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,99.8867764577928
"55",2009,1,3,6,93.9069435574411
"56",2009,1,3,7,64.6789910463932
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0.404082750297942
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0.245122379756159
"121",2009,1,6,0,4.82557990640699
"122",2009,1,6,1,0.394518238994535
"123",2009,1,6,2,0.00376515428066604
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0.143347846957318
"134",2009,1,6,13,5.20006716747823
"135",2009,1,6,14,17.1965089853513
"136",2009,1,6,15,10.5205423330365
"137",2009,1,6,16,18.1290104655771
"138",2009,1,6,17,22.0526273546616
"139",2009,1,6,18,19.0276332877832
"140",2009,1,6,19,25.4109249996949
"141",2009,1,6,20,45.740248835927
"142",2009,1,6,21,71.1061136454049
"143",2009,1,6,22,86.2609495852323
"144",2009,1,6,23,92.7234397156296
"145",2009,1,7,0,87.9650053108016
"146",2009,1,7,1,53.0134447807226
"147",2009,1,7,2,21.0522252985886
"148",2009,1,7,3,1.0927298589316
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0.115678168228408
"171",2009,1,8,2,2.52209031920704
"172",2009,1,8,3,0.437038809880974
"173",2009,1,8,4,4.87266625401971
"174",2009,1,8,5,0.796150201374237
"175",2009,1,8,6,0
"176",2009,1,8,7,2.87150151649455
"177",2009,1,8,8,7.67443329801689
"178",2009,1,8,9,4.56757644951308
"179",2009,1,8,10,0.133545374236071
"180",2009,1,8,11,0
"181",2009,1,8,12,65.1007372902526
"182",2009,1,8,13,88.9842144025397
"183",2009,1,8,14,64.5991838809256
"184",2009,1,8,15,16.8888241292594
"185",2009,1,8,16,2.39397028681
"186",2009,1,8,17,1.46078924741823
"187",2009,1,8,18,39.3618965992276
"188",2009,1,8,19,87.0665586698681
"189",2009,1,8,20,98.5157078998072
"190",2009,1,8,21,99.3813100852569
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
"195",2009,1,9,2,96.8959530179665
"196",2009,1,9,3,90.4433682313586
"197",2009,1,9,4,92.157923208408
"198",2009,1,9,5,98.0681708060191
"199",2009,1,9,6,99.1358733087222
"200",2009,1,9,7,96.0860855224402
"201",2009,1,9,8,81.0130371869344
"202",2009,1,9,9,29.4865213649837
"203",2009,1,9,10,0.912676272301801
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
