"","year","month","day","hour","Outage"
"1",2009,1,1,0,91.3124770706874
"2",2009,1,1,1,83.6143264975176
"3",2009,1,1,2,70.6614884290404
"4",2009,1,1,3,75.5093890685132
"5",2009,1,1,4,88.513092399026
"6",2009,1,1,5,97.5503069465668
"7",2009,1,1,6,100
"8",2009,1,1,7,100
"9",2009,1,1,8,99.1071604282798
"10",2009,1,1,9,94.4691994269921
"11",2009,1,1,10,89.0114314783084
"12",2009,1,1,11,86.7287182456648
"13",2009,1,1,12,93.7458528295973
"14",2009,1,1,13,94.6649451498282
"15",2009,1,1,14,96.8013555664478
"16",2009,1,1,15,97.3075170017263
"17",2009,1,1,16,98.7412096446382
"18",2009,1,1,17,91.2690686045458
"19",2009,1,1,18,95.1127592338985
"20",2009,1,1,19,100
"21",2009,1,1,20,95.9648053578364
"22",2009,1,1,21,69.2811698323413
"23",2009,1,1,22,30.0694215715947
"24",2009,1,1,23,7.70442965066825
"25",2009,1,2,0,12.6347197177388
"26",2009,1,2,1,12.4732964213754
"27",2009,1,2,2,11.8612911937506
"28",2009,1,2,3,24.1523104882214
"29",2009,1,2,4,44.3253125882883
"30",2009,1,2,5,38.4526867655101
"31",2009,1,2,6,29.1545950004281
"32",2009,1,2,7,22.543091057664
"33",2009,1,2,8,13.0571165743867
"34",2009,1,2,9,16.9447562924943
"35",2009,1,2,10,4.79497338404108
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,2.1874690167412
"39",2009,1,2,14,15.6022950895747
"40",2009,1,2,15,34.282209876881
"41",2009,1,2,16,30.0505721878672
"42",2009,1,2,17,34.674641411358
"43",2009,1,2,18,59.4351245221389
"44",2009,1,2,19,75.6748950775034
"45",2009,1,2,20,83.1094585915561
"46",2009,1,2,21,84.2243776427418
"47",2009,1,2,22,85.12336747266
"48",2009,1,2,23,86.3672387736877
"49",2009,1,3,0,88.7002258716365
"50",2009,1,3,1,92.2666887039883
"51",2009,1,3,2,96.3476675099
"52",2009,1,3,3,99.0870471030875
"53",2009,1,3,4,99.8827096530115
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,100
"57",2009,1,3,8,98.8631998983619
"58",2009,1,3,9,97.0883518743713
"59",2009,1,3,10,97.4396061573416
"60",2009,1,3,11,97.4290704835676
"61",2009,1,3,12,99.8819991034558
"62",2009,1,3,13,100
"63",2009,1,3,14,100
"64",2009,1,3,15,100
"65",2009,1,3,16,100
"66",2009,1,3,17,100
"67",2009,1,3,18,100
"68",2009,1,3,19,100
"69",2009,1,3,20,100
"70",2009,1,3,21,99.2957079553304
"71",2009,1,3,22,97.9417853218023
"72",2009,1,3,23,99.7374238927188
"73",2009,1,4,0,99.6175998384834
"74",2009,1,4,1,91.9736958211597
"75",2009,1,4,2,84.5885040537754
"76",2009,1,4,3,87.7548238441139
"77",2009,1,4,4,92.4480219599241
"78",2009,1,4,5,97.5689010682078
"79",2009,1,4,6,98.4588586083111
"80",2009,1,4,7,99.4883528453093
"81",2009,1,4,8,100
"82",2009,1,4,9,100
"83",2009,1,4,10,99.7440354789435
"84",2009,1,4,11,94.8311196053393
"85",2009,1,4,12,83.2518243639406
"86",2009,1,4,13,71.6391723158864
"87",2009,1,4,14,59.5690294208218
"88",2009,1,4,15,45.4613552899767
"89",2009,1,4,16,73.569335458161
"90",2009,1,4,17,73.1708301033878
"91",2009,1,4,18,40.5926517417624
"92",2009,1,4,19,1.38562315901852
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0.310477273206833
"106",2009,1,5,9,0
"107",2009,1,5,10,5.38134482783343
"108",2009,1,5,11,24.7600031740998
"109",2009,1,5,12,17.3384162868633
"110",2009,1,5,13,30.8993314133331
"111",2009,1,5,14,38.334969232553
"112",2009,1,5,15,40.2792721821033
"113",2009,1,5,16,37.8559056038766
"114",2009,1,5,17,33.5668105340602
"115",2009,1,5,18,34.2724651335528
"116",2009,1,5,19,35.3752059112667
"117",2009,1,5,20,16.9271975938931
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,9.35194727843383
"124",2009,1,6,3,54.5264185617571
"125",2009,1,6,4,27.5453280091896
"126",2009,1,6,5,5.09660303241168
"127",2009,1,6,6,1.63398483835837
"128",2009,1,6,7,29.7931431224702
"129",2009,1,6,8,57.7425589647666
"130",2009,1,6,9,45.6521256116981
