"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,8.34941634270075
"3",2009,1,1,2,46.15886577086
"4",2009,1,1,3,64.0457867393766
"5",2009,1,1,4,61.7154716126651
"6",2009,1,1,5,51.6550191532887
"7",2009,1,1,6,38.5119236138813
"8",2009,1,1,7,24.8946098095211
"9",2009,1,1,8,15.8492555657977
"10",2009,1,1,9,15.3912644886836
"11",2009,1,1,10,19.6126814880363
"12",2009,1,1,11,63.1412503538836
"13",2009,1,1,12,98.230492862845
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,93.9391710365688
"20",2009,1,1,19,86.839386150763
"21",2009,1,1,20,84.1079694383808
"22",2009,1,1,21,77.4624570111949
"23",2009,1,1,22,62.6965247275743
"24",2009,1,1,23,47.0560477041129
"25",2009,1,2,0,94.4614156308562
"26",2009,1,2,1,65.0768803846973
"27",2009,1,2,2,33.855144074127
"28",2009,1,2,3,59.7556074180095
"29",2009,1,2,4,78.1763025990565
"30",2009,1,2,5,83.9177562595883
"31",2009,1,2,6,87.6341617323614
"32",2009,1,2,7,92.7481839273035
"33",2009,1,2,8,96.6186483961847
"34",2009,1,2,9,99.1296478513857
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,99.3983588035351
"53",2009,1,3,4,99.0380800902824
"54",2009,1,3,5,98.9383461013681
"55",2009,1,3,6,80.5316760275069
"56",2009,1,3,7,6.51105609307308
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,3.86792937548951
"62",2009,1,3,13,22.0861861054573
"63",2009,1,3,14,35.5705354674697
"64",2009,1,3,15,24.3192339624493
"65",2009,1,3,16,8.07148414359236
"66",2009,1,3,17,0.345725622581167
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,2.90893250365491
"85",2009,1,4,12,34.5121216930292
"86",2009,1,4,13,61.916431009755
"87",2009,1,4,14,14.481650237307
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0.634211605684593
"93",2009,1,4,20,0.194731114332636
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,5.04632373551875
"97",2009,1,5,0,15.884052147054
"98",2009,1,5,1,7.97519492974009
"99",2009,1,5,2,0.560328486013874
"100",2009,1,5,3,0
"101",2009,1,5,4,9.5387157168651
"102",2009,1,5,5,42.0836930994909
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0.0562195779523637
"106",2009,1,5,9,11.7083164644308
"107",2009,1,5,10,19.3209530459299
"108",2009,1,5,11,1.32628593772225
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,21.3096304734391
"119",2009,1,5,22,64.7899439687516
"120",2009,1,5,23,79.7957446679375
"121",2009,1,6,0,85.8029998570336
"122",2009,1,6,1,75.2919545969813
"123",2009,1,6,2,20.6428258873098
"124",2009,1,6,3,0.467987414286693
"125",2009,1,6,4,0.44954674663895
"126",2009,1,6,5,5.30501925813738
"127",2009,1,6,6,4.32231871111113
"128",2009,1,6,7,0.219711219296646
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,1.07130424088126
"134",2009,1,6,13,10.4001346638938
"135",2009,1,6,14,45.5429683904169
"136",2009,1,6,15,54.5555366807416
"137",2009,1,6,16,41.642270333913
"138",2009,1,6,17,42.7443846936356
"139",2009,1,6,18,53.9368666688552
"140",2009,1,6,19,59.6209808529873
"141",2009,1,6,20,63.5011061092072
"142",2009,1,6,21,80.3962789026779
"143",2009,1,6,22,82.7888424169759
"144",2009,1,6,23,25.426084085493
"145",2009,1,7,0,9.80601508421725
"146",2009,1,7,1,4.4811361327593
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0.665387973514029
"169",2009,1,8,0,9.57046061095005
"170",2009,1,8,1,7.46701417172972
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
