"","year","month","day","hour","Outage"
"1",2009,1,1,0,0.0312789667080445
"2",2009,1,1,1,0.718221246045079
"3",2009,1,1,2,0.244140744785831
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,14.208200211231
"11",2009,1,1,10,60.7558320774818
"12",2009,1,1,11,72.3126467890969
"13",2009,1,1,12,80.3816623659947
"14",2009,1,1,13,81.6788157092094
"15",2009,1,1,14,95.9231052125943
"16",2009,1,1,15,96.9171220152424
"17",2009,1,1,16,69.1881371471948
"18",2009,1,1,17,50.1270821387873
"19",2009,1,1,18,64.7052810855012
"20",2009,1,1,19,85.5271126938787
"21",2009,1,1,20,96.4636622070896
"22",2009,1,1,21,62.0631472422273
"23",2009,1,1,22,1.2705333236414
"24",2009,1,1,23,0
"25",2009,1,2,0,0
"26",2009,1,2,1,0
"27",2009,1,2,2,10.9183189759777
"28",2009,1,2,3,3.22704011840153
"29",2009,1,2,4,7.68303597087079
"30",2009,1,2,5,1.74296997248149
"31",2009,1,2,6,0.982571351886426
"32",2009,1,2,7,10.1383661133744
"33",2009,1,2,8,1.23294603888361
"34",2009,1,2,9,9.91806258159187
"35",2009,1,2,10,4.88780989213297
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,2.38958793781529
"39",2009,1,2,14,18.3566151751109
"40",2009,1,2,15,54.1282370405462
"41",2009,1,2,16,73.9152362833288
"42",2009,1,2,17,79.7925886815942
"43",2009,1,2,18,84.2295380644315
"44",2009,1,2,19,82.9312078833843
"45",2009,1,2,20,81.8875854436022
"46",2009,1,2,21,83.7440657047776
"47",2009,1,2,22,87.1085927110533
"48",2009,1,2,23,95.0309498642502
"49",2009,1,3,0,98.1747434508126
"50",2009,1,3,1,97.8903083354298
"51",2009,1,3,2,99.1207138011133
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,96.1905762528277
"55",2009,1,3,6,77.8871833197182
"56",2009,1,3,7,30.4084693870828
"57",2009,1,3,8,0.483151315789498
"58",2009,1,3,9,0.230053888224813
"59",2009,1,3,10,9.73317839679524
"60",2009,1,3,11,22.5040795307657
"61",2009,1,3,12,70.0245168829902
"62",2009,1,3,13,86.9000218407713
"63",2009,1,3,14,88.0651882216691
"64",2009,1,3,15,80.9309444358211
"65",2009,1,3,16,49.9639402909937
"66",2009,1,3,17,0.488185449531435
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,4.90505625863637
"86",2009,1,4,13,44.8458051194123
"87",2009,1,4,14,38.960984806743
"88",2009,1,4,15,20.9423672060524
"89",2009,1,4,16,20.2912284064348
"90",2009,1,4,17,25.5184880279788
"91",2009,1,4,18,19.5108706134277
"92",2009,1,4,19,11.4028790026373
"93",2009,1,4,20,8.14543664753568
"94",2009,1,4,21,1.08318115128775
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,6.92390715042321
"103",2009,1,5,6,0.706731578317686
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0.0901014315469129
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,3.20818834125746
"128",2009,1,6,7,29.1164629371778
"129",2009,1,6,8,26.746428143263
"130",2009,1,6,9,64.4171214840907
"131",2009,1,6,10,89.4883198139546
"132",2009,1,6,11,97.8997708596942
"133",2009,1,6,12,100
"134",2009,1,6,13,100
"135",2009,1,6,14,98.2771918695894
"136",2009,1,6,15,85.0699407367132
"137",2009,1,6,16,68.3503563337734
"138",2009,1,6,17,45.3372175583771
"139",2009,1,6,18,16.9234066374015
"140",2009,1,6,19,18.3618087047347
"141",2009,1,6,20,34.1929566310715
"142",2009,1,6,21,40.1409195620192
"143",2009,1,6,22,40.9712013557589
"144",2009,1,6,23,44.9222806920948
"145",2009,1,7,0,45.3250126848267
"146",2009,1,7,1,48.4644808503132
"147",2009,1,7,2,53.4698269589457
"148",2009,1,7,3,57.1681194847552
"149",2009,1,7,4,62.3498018445231
"150",2009,1,7,5,67.7303277386598
"151",2009,1,7,6,73.2229334835067
"152",2009,1,7,7,81.7253828501543
"153",2009,1,7,8,88.7595517370712
"154",2009,1,7,9,93.6180708160516
"155",2009,1,7,10,98.6527302490242
"156",2009,1,7,11,100
"157",2009,1,7,12,100
"158",2009,1,7,13,100
"159",2009,1,7,14,100
"160",2009,1,7,15,100
"161",2009,1,7,16,100
"162",2009,1,7,17,100
"163",2009,1,7,18,100
"164",2009,1,7,19,100
"165",2009,1,7,20,100
"166",2009,1,7,21,100
"167",2009,1,7,22,100
"168",2009,1,7,23,100
"169",2009,1,8,0,100
"170",2009,1,8,1,99.3299633172677
"171",2009,1,8,2,99.5170257122118
"172",2009,1,8,3,97.0283813883885
"173",2009,1,8,4,96.9607014475765
"174",2009,1,8,5,99.3549074115436
"175",2009,1,8,6,98.4020226799497
"176",2009,1,8,7,91.642202201676
"177",2009,1,8,8,75.8502283472017
"178",2009,1,8,9,8.92498497552767
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,4.49031882925589
"182",2009,1,8,13,31.2763006615608
"183",2009,1,8,14,11.477119069184
"184",2009,1,8,15,8.13012155874507
"185",2009,1,8,16,5.94389417395424
"186",2009,1,8,17,0.0738836520923584
"187",2009,1,8,18,0.519317703254096
"188",2009,1,8,19,5.18404396831683
"189",2009,1,8,20,1.10376322930271
"190",2009,1,8,21,6.34532579747033
"191",2009,1,8,22,14.3793837073248
"192",2009,1,8,23,19.6956405712234
"193",2009,1,9,0,30.0504111377603
"194",2009,1,9,1,48.228129836183
"195",2009,1,9,2,60.838874227211
"196",2009,1,9,3,82.0164558868756
"197",2009,1,9,4,90.3368928246904
"198",2009,1,9,5,96.5751739895631
"199",2009,1,9,6,99.067024302764
"200",2009,1,9,7,96.7302018632034
"201",2009,1,9,8,92.953095155781
"202",2009,1,9,9,87.8523433219039
"203",2009,1,9,10,69.2366179609424
"204",2009,1,9,11,66.078907732362
"205",2009,1,9,12,54.7632755655815
"206",2009,1,9,13,28.2377518610661
"207",2009,1,9,14,33.8723728556421
"208",2009,1,9,15,17.5880383327564
"209",2009,1,9,16,5.83018302038559
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0
"232",2009,1,10,15,0
"233",2009,1,10,16,0
"234",2009,1,10,17,0
"235",2009,1,10,18,0
"236",2009,1,10,19,0
"237",2009,1,10,20,2.63634482988466
"238",2009,1,10,21,33.4717466947664
"239",2009,1,10,22,44.4874264832443
"240",2009,1,10,23,64.7104299100219
"241",2009,1,11,0,30.8051985790372
"242",2009,1,11,1,0
"243",2009,1,11,2,6.49870373864442
"244",2009,1,11,3,66.696364948897
"245",2009,1,11,4,48.1462491656039
"246",2009,1,11,5,6.54985211310338
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,0
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,6.33037797830992
