"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,1.25119316892379
"5",2009,1,1,4,3.21056844873657
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0.0250321068883119
"9",2009,1,1,8,1.97740005614671
"10",2009,1,1,9,20.3557837472988
"11",2009,1,1,10,66.6522511730518
"12",2009,1,1,11,82.0002286735953
"13",2009,1,1,12,89.9195676218524
"14",2009,1,1,13,97.2196989863913
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,100
"20",2009,1,1,19,99.7840765713094
"21",2009,1,1,20,98.4462450256224
"22",2009,1,1,21,96.9485307311198
"23",2009,1,1,22,98.6883045141882
"24",2009,1,1,23,95.4204537923455
"25",2009,1,2,0,70.2576863387446
"26",2009,1,2,1,16.0031685600015
"27",2009,1,2,2,10.6855667982184
"28",2009,1,2,3,32.9307916640015
"29",2009,1,2,4,60.8472469289593
"30",2009,1,2,5,71.2580562950451
"31",2009,1,2,6,80.6310989178724
"32",2009,1,2,7,90.1592856832968
"33",2009,1,2,8,96.1742478757917
"34",2009,1,2,9,99.2813709898094
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,99.7089366603184
"56",2009,1,3,7,91.1821588712872
"57",2009,1,3,8,27.1995764637027
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0.667933100965965
"85",2009,1,4,12,34.963944467306
"86",2009,1,4,13,50.6327369018953
"87",2009,1,4,14,30.916323098425
"88",2009,1,4,15,51.8275508702117
"89",2009,1,4,16,15.0090470031588
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,9.69977296804221
"98",2009,1,5,1,7.1392603913531
"99",2009,1,5,2,12.255150016817
"100",2009,1,5,3,32.8030867393694
"101",2009,1,5,4,1.83310642864382
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,9.8569001654863
"135",2009,1,6,14,68.3191022684325
"136",2009,1,6,15,82.2543951712248
"137",2009,1,6,16,48.9333662635142
"138",2009,1,6,17,46.1724610060894
"139",2009,1,6,18,70.3200991741944
"140",2009,1,6,19,89.4311846499574
"141",2009,1,6,20,97.6954722577201
"142",2009,1,6,21,100
"143",2009,1,6,22,100
"144",2009,1,6,23,100
"145",2009,1,7,0,100
"146",2009,1,7,1,99.4580964940247
"147",2009,1,7,2,72.2574771560479
"148",2009,1,7,3,1.18725562558049
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,28.7885423336384
"181",2009,1,8,12,98.7683866321245
"182",2009,1,8,13,99.1992442480089
"183",2009,1,8,14,64.5729080595356
"184",2009,1,8,15,32.755372585601
"185",2009,1,8,16,47.8107557695309
"186",2009,1,8,17,47.0371390881715
"187",2009,1,8,18,67.5332685859876
"188",2009,1,8,19,90.924640590308
"189",2009,1,8,20,99.6986619759424
"190",2009,1,8,21,100
"191",2009,1,8,22,100
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,99.7016160321447
"195",2009,1,9,2,96.2510041213338
"196",2009,1,9,3,92.9440963087752
"197",2009,1,9,4,96.7137951443462
"198",2009,1,9,5,98.8486820909213
"199",2009,1,9,6,94.6939579353961
"200",2009,1,9,7,87.5939803512285
"201",2009,1,9,8,63.4759328120431
"202",2009,1,9,9,26.8226855453916
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0.0665585964469584
"206",2009,1,9,13,0.248089223377235
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,29.0868060746525
"212",2009,1,9,19,90.8761970743639
"213",2009,1,9,20,82.385524809619
"214",2009,1,9,21,40.6569613261109
"215",2009,1,9,22,0.272128136178534
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
