"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0.755431094054212
"6",2009,1,1,5,6.20618824645688
"7",2009,1,1,6,3.78380590484871
"8",2009,1,1,7,3.10018617082197
"9",2009,1,1,8,0
"10",2009,1,1,9,0
"11",2009,1,1,10,5.80008382336875
"12",2009,1,1,11,40.4727855291383
"13",2009,1,1,12,96.1890891788475
"14",2009,1,1,13,96.4426137830572
"15",2009,1,1,14,61.2383916478764
"16",2009,1,1,15,7.27331730271686
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,0.920283717016644
"20",2009,1,1,19,21.1751895422747
"21",2009,1,1,20,33.6549169224468
"22",2009,1,1,21,49.2852144078724
"23",2009,1,1,22,59.5699884747694
"24",2009,1,1,23,7.96917044851732
"25",2009,1,2,0,31.2022017638464
"26",2009,1,2,1,49.6743139088278
"27",2009,1,2,2,42.1513031983269
"28",2009,1,2,3,49.3629586221119
"29",2009,1,2,4,54.057888041331
"30",2009,1,2,5,57.482122294679
"31",2009,1,2,6,63.3647147502812
"32",2009,1,2,7,67.1434954492225
"33",2009,1,2,8,56.4852470290748
"34",2009,1,2,9,40.6930928082579
"35",2009,1,2,10,14.5988630123279
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0.673346551913245
"39",2009,1,2,14,9.36970100289263
"40",2009,1,2,15,26.8979207781713
"41",2009,1,2,16,44.7561431507232
"42",2009,1,2,17,62.5161316183618
"43",2009,1,2,18,72.2148010484286
"44",2009,1,2,19,78.42125352753
"45",2009,1,2,20,84.6789995844943
"46",2009,1,2,21,89.1436506701521
"47",2009,1,2,22,93.4966225717676
"48",2009,1,2,23,95.2004450361196
"49",2009,1,3,0,98.2536414538227
"50",2009,1,3,1,99.7679167090691
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,99.0720544629375
"57",2009,1,3,8,91.0293163611116
"58",2009,1,3,9,87.4777658826621
"59",2009,1,3,10,90.2119071523989
"60",2009,1,3,11,93.7561629130598
"61",2009,1,3,12,90.4040530723657
"62",2009,1,3,13,83.7880834635656
"63",2009,1,3,14,83.7293046746554
"64",2009,1,3,15,73.2003537848434
"65",2009,1,3,16,63.9840527995496
"66",2009,1,3,17,33.3782007807549
"67",2009,1,3,18,0.151537294760449
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,12.5519822089122
"94",2009,1,4,21,25.1467538335276
"95",2009,1,4,22,44.7686004135494
"96",2009,1,4,23,45.1844566362159
"97",2009,1,5,0,36.4162376886452
"98",2009,1,5,1,19.3569793510026
"99",2009,1,5,2,22.6179423293148
"100",2009,1,5,3,23.0611370672287
"101",2009,1,5,4,5.97603261864703
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0.906852246278006
"111",2009,1,5,14,24.360065637372
"112",2009,1,5,15,24.1612705909514
"113",2009,1,5,16,20.2432434053502
"114",2009,1,5,17,7.0662672745637
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0.617442948904797
"129",2009,1,6,8,31.8975493122811
"130",2009,1,6,9,58.3561053822001
"131",2009,1,6,10,62.8443527035563
"132",2009,1,6,11,80.2266920621257
"133",2009,1,6,12,82.1663888355042
"134",2009,1,6,13,90.5193501894019
"135",2009,1,6,14,99.4492177140231
"136",2009,1,6,15,100
"137",2009,1,6,16,100
"138",2009,1,6,17,98.2313031804911
"139",2009,1,6,18,93.8972777536159
"140",2009,1,6,19,93.274771685928
"141",2009,1,6,20,98.6268283872312
"142",2009,1,6,21,94.8469610429927
"143",2009,1,6,22,93.1729003219732
"144",2009,1,6,23,95.1778948311732
"145",2009,1,7,0,97.783070963865
"146",2009,1,7,1,98.849318077676
"147",2009,1,7,2,97.2571516085036
"148",2009,1,7,3,95.8110140824702
"149",2009,1,7,4,94.4569844539648
"150",2009,1,7,5,87.6491902098648
"151",2009,1,7,6,80.0384145155151
"152",2009,1,7,7,63.9025736037388
"153",2009,1,7,8,43.6058988488164
"154",2009,1,7,9,29.6894106304113
"155",2009,1,7,10,14.6577574888913
"156",2009,1,7,11,7.89219173632533
"157",2009,1,7,12,19.0490289444603
"158",2009,1,7,13,33.2223395364843
"159",2009,1,7,14,39.8663960927846
"160",2009,1,7,15,38.8661531684659
"161",2009,1,7,16,32.4509186613946
"162",2009,1,7,17,30.8063579868306
"163",2009,1,7,18,31.8371013506407
"164",2009,1,7,19,26.2614787969849
"165",2009,1,7,20,31.9427177947054
"166",2009,1,7,21,49.8330142646542
"167",2009,1,7,22,61.6059152792958
"168",2009,1,7,23,67.0616322042405
"169",2009,1,8,0,76.5786146402601
"170",2009,1,8,1,85.1387119652744
"171",2009,1,8,2,75.6589607797055
"172",2009,1,8,3,36.9550189181284
"173",2009,1,8,4,15.1121042408726
"174",2009,1,8,5,3.79676106805486
"175",2009,1,8,6,0
"176",2009,1,8,7,1.17161391096851
"177",2009,1,8,8,22.3748220338576
"178",2009,1,8,9,59.9174818572181
"179",2009,1,8,10,55.4754221674771
"180",2009,1,8,11,20.7057664027122
"181",2009,1,8,12,11.0696791450888
"182",2009,1,8,13,24.2034958742682
"183",2009,1,8,14,38.0218208540931
"184",2009,1,8,15,48.6827944094188
"185",2009,1,8,16,29.6885300448793
"186",2009,1,8,17,1.27555965498992
"187",2009,1,8,18,2.31023811444729
"188",2009,1,8,19,6.68734302637289
"189",2009,1,8,20,19.190741400329
"190",2009,1,8,21,21.8037873500603
"191",2009,1,8,22,26.0818085353615
"192",2009,1,8,23,24.0877615092946
"193",2009,1,9,0,39.9151677528969
"194",2009,1,9,1,56.7362253129512
"195",2009,1,9,2,62.7005529722416
"196",2009,1,9,3,76.5501182561185
"197",2009,1,9,4,86.4996180519114
