"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,9.99042901915438
"4",2009,1,1,3,35.2361759473233
"5",2009,1,1,4,64.6064501199146
"6",2009,1,1,5,90.1517576729939
"7",2009,1,1,6,99.1070482479501
"8",2009,1,1,7,98.7897430999942
"9",2009,1,1,8,90.8674625018933
"10",2009,1,1,9,74.0020070504289
"11",2009,1,1,10,65.790763905625
"12",2009,1,1,11,56.8375761948091
"13",2009,1,1,12,24.6607804783156
"14",2009,1,1,13,0
"15",2009,1,1,14,0
"16",2009,1,1,15,0
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,18.8640504357572
"20",2009,1,1,19,89.4917817608063
"21",2009,1,1,20,40.2002897113827
"22",2009,1,1,21,0
"23",2009,1,1,22,0
"24",2009,1,1,23,0
"25",2009,1,2,0,0
"26",2009,1,2,1,0
"27",2009,1,2,2,0
"28",2009,1,2,3,0
"29",2009,1,2,4,0
"30",2009,1,2,5,0
"31",2009,1,2,6,0
"32",2009,1,2,7,0
"33",2009,1,2,8,0
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0
"39",2009,1,2,14,0
"40",2009,1,2,15,0
"41",2009,1,2,16,0
"42",2009,1,2,17,0
"43",2009,1,2,18,0
"44",2009,1,2,19,0
"45",2009,1,2,20,0
"46",2009,1,2,21,1.47989304924575
"47",2009,1,2,22,0.0430471218061242
"48",2009,1,2,23,0.432365183378145
"49",2009,1,3,0,14.6709410465985
"50",2009,1,3,1,35.6923834467155
"51",2009,1,3,2,60.972966854315
"52",2009,1,3,3,81.8080913713312
"53",2009,1,3,4,97.0054610954345
"54",2009,1,3,5,99.8844081455665
"55",2009,1,3,6,99.7367609510408
"56",2009,1,3,7,98.5025435148579
"57",2009,1,3,8,84.0565035443497
"58",2009,1,3,9,44.8800738400197
"59",2009,1,3,10,22.1050867376285
"60",2009,1,3,11,54.5450962038329
"61",2009,1,3,12,62.6543259116927
"62",2009,1,3,13,60.9229981366554
"63",2009,1,3,14,74.4619249526141
"64",2009,1,3,15,93.571663297236
"65",2009,1,3,16,99.4289811439828
"66",2009,1,3,17,100
"67",2009,1,3,18,99.603155056735
"68",2009,1,3,19,95.7393846977105
"69",2009,1,3,20,85.3885079403553
"70",2009,1,3,21,86.3924475718427
"71",2009,1,3,22,66.6691636326233
"72",2009,1,3,23,25.5254225634843
"73",2009,1,4,0,14.6211237241179
"74",2009,1,4,1,10.1397687137784
"75",2009,1,4,2,6.14593139559941
"76",2009,1,4,3,7.43192918668086
"77",2009,1,4,4,2.94292842793277
"78",2009,1,4,5,0.101282160745262
"79",2009,1,4,6,0
"80",2009,1,4,7,1.55503890842128
"81",2009,1,4,8,7.12870882246488
"82",2009,1,4,9,14.4464909678087
"83",2009,1,4,10,23.3140419692608
"84",2009,1,4,11,19.1068176363636
"85",2009,1,4,12,13.5416463920466
"86",2009,1,4,13,5.26441668424111
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,9.50479575554455
"93",2009,1,4,20,4.64788231490219
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,1.09891874104364
"97",2009,1,5,0,4.19092253604217
"98",2009,1,5,1,0.403667462009873
"99",2009,1,5,2,8.61767189096164
"100",2009,1,5,3,1.26656509792176
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0.0686618604158196
"108",2009,1,5,11,5.15277650711003
"109",2009,1,5,12,11.8590349324114
"110",2009,1,5,13,12.9578285456761
"111",2009,1,5,14,3.90224281052748
"112",2009,1,5,15,7.30904659999745
"113",2009,1,5,16,9.6247515730868
"114",2009,1,5,17,7.71659228658936
"115",2009,1,5,18,1.20868601472644
"116",2009,1,5,19,1.14881100011352
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,33.8599404762988
"134",2009,1,6,13,69.8803252192716
"135",2009,1,6,14,79.5836053469259
"136",2009,1,6,15,91.1617079823453
"137",2009,1,6,16,99.8910271709815
"138",2009,1,6,17,96.6417429685924
"139",2009,1,6,18,80.2492357549275
"140",2009,1,6,19,53.8422193015896
"141",2009,1,6,20,21.9423831183534
"142",2009,1,6,21,0.164144263746639
"143",2009,1,6,22,0
"144",2009,1,6,23,0
"145",2009,1,7,0,0
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0.213444741868777
"158",2009,1,7,13,10.6520542321646
"159",2009,1,7,14,28.1160583617042
"160",2009,1,7,15,39.84355010176
"161",2009,1,7,16,52.4514677482642
"162",2009,1,7,17,66.0456578942093
"163",2009,1,7,18,75.240194021822
"164",2009,1,7,19,73.0365510945656
"165",2009,1,7,20,62.3651296779974
"166",2009,1,7,21,54.3920357111674
"167",2009,1,7,22,37.0326902771453
"168",2009,1,7,23,22.3281942493115
"169",2009,1,8,0,11.9663378281332
"170",2009,1,8,1,10.977052961871
"171",2009,1,8,2,15.7060216571064
"172",2009,1,8,3,29.1452865417009
"173",2009,1,8,4,37.898228416669
"174",2009,1,8,5,60.046105535268
"175",2009,1,8,6,80.7506351413383
"176",2009,1,8,7,99.4657651956218
"177",2009,1,8,8,88.4545229445289
"178",2009,1,8,9,13.2857952475386
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,0
"184",2009,1,8,15,0
"185",2009,1,8,16,0
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,0
"193",2009,1,9,0,0
"194",2009,1,9,1,0
"195",2009,1,9,2,0
"196",2009,1,9,3,0
"197",2009,1,9,4,0.812581623270259
"198",2009,1,9,5,7.49867932579521
"199",2009,1,9,6,15.541284885206
"200",2009,1,9,7,51.6466471186345
"201",2009,1,9,8,83.3033543850288
"202",2009,1,9,9,64.7024255425377
"203",2009,1,9,10,15.8582521550526
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
