"","year","month","day","hour","Outage"
"1",2009,1,1,0,56.0388677211971
"2",2009,1,1,1,65.9259640557557
"3",2009,1,1,2,67.1278208512225
"4",2009,1,1,3,59.5546621606098
"5",2009,1,1,4,48.9828729136962
"6",2009,1,1,5,48.5588147021332
"7",2009,1,1,6,51.4352734728664
"8",2009,1,1,7,75.8344762479362
"9",2009,1,1,8,71.4869895960297
"10",2009,1,1,9,87.256039625029
"11",2009,1,1,10,95.6157645919965
"12",2009,1,1,11,97.0059499651745
"13",2009,1,1,12,98.5430500112183
"14",2009,1,1,13,96.5535390081251
"15",2009,1,1,14,69.1931812424916
"16",2009,1,1,15,0.0187805537103329
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,0
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,5.66401518224994
"23",2009,1,1,22,38.7456665502115
"24",2009,1,1,23,57.1921368457697
"25",2009,1,2,0,11.070424972645
"26",2009,1,2,1,20.5164085704972
"27",2009,1,2,2,57.8622526587881
"28",2009,1,2,3,62.4568923413623
"29",2009,1,2,4,67.0209349667485
"30",2009,1,2,5,70.1872325734105
"31",2009,1,2,6,73.5296302316869
"32",2009,1,2,7,67.7721549163984
"33",2009,1,2,8,63.3227420079761
"34",2009,1,2,9,45.1869456285941
"35",2009,1,2,10,14.4985164405796
"36",2009,1,2,11,1.08783614435045
"37",2009,1,2,12,3.11942755067669
"38",2009,1,2,13,18.2729479734347
"39",2009,1,2,14,23.0670936325513
"40",2009,1,2,15,35.6061561639102
"41",2009,1,2,16,42.6968437255773
"42",2009,1,2,17,46.7770782728027
"43",2009,1,2,18,52.7285673624549
"44",2009,1,2,19,65.1992891719156
"45",2009,1,2,20,79.1333535907896
"46",2009,1,2,21,83.588589694231
"47",2009,1,2,22,88.378500715141
"48",2009,1,2,23,92.3193437237495
"49",2009,1,3,0,96.1354297112156
"50",2009,1,3,1,98.9250927885141
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,98.5320611365396
"57",2009,1,3,8,91.0651459474927
"58",2009,1,3,9,68.5796304458437
"59",2009,1,3,10,40.5666890711648
"60",2009,1,3,11,8.81389567697432
"61",2009,1,3,12,34.7682298911191
"62",2009,1,3,13,46.6358703699159
"63",2009,1,3,14,57.1111262569817
"64",2009,1,3,15,65.5146898586511
"65",2009,1,3,16,68.7607109788996
"66",2009,1,3,17,66.4276933041382
"67",2009,1,3,18,54.6495162542379
"68",2009,1,3,19,41.581793229792
"69",2009,1,3,20,28.6408983996657
"70",2009,1,3,21,4.9258594706394
"71",2009,1,3,22,0
"72",2009,1,3,23,1.26885328524845
"73",2009,1,4,0,7.18168808659937
"74",2009,1,4,1,4.46450862214609
"75",2009,1,4,2,0.810523771890496
"76",2009,1,4,3,14.1133972771416
"77",2009,1,4,4,18.8087709198865
"78",2009,1,4,5,4.36605340669161
"79",2009,1,4,6,0
"80",2009,1,4,7,8.62820894138417
"81",2009,1,4,8,31.970220534339
"82",2009,1,4,9,35.5991176921798
"83",2009,1,4,10,31.7524745849498
"84",2009,1,4,11,28.0046817220741
"85",2009,1,4,12,23.3207534108976
"86",2009,1,4,13,12.0649715406701
"87",2009,1,4,14,1.78147087226969
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,13.4769640462821
"91",2009,1,4,18,7.50877580732002
"92",2009,1,4,19,3.29939013654501
"93",2009,1,4,20,8.29023777504584
"94",2009,1,4,21,8.23426789968006
"95",2009,1,4,22,3.2114290092646
"96",2009,1,4,23,1.53400931874576
"97",2009,1,5,0,0
"98",2009,1,5,1,1.73727685066115
"99",2009,1,5,2,0.400710322571339
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,7.116165467562
"121",2009,1,6,0,20.7150601820047
"122",2009,1,6,1,1.61012567428939
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0.39190926753543
"127",2009,1,6,6,0
"128",2009,1,6,7,0.0532099658901219
"129",2009,1,6,8,4.25750021545797
"130",2009,1,6,9,27.9708173506094
"131",2009,1,6,10,63.4292011047526
"132",2009,1,6,11,71.8464924709765
"133",2009,1,6,12,95.2692008607312
"134",2009,1,6,13,100
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,99.5062141945937
"138",2009,1,6,17,95.0697808600717
"139",2009,1,6,18,90.3105007400307
"140",2009,1,6,19,65.5162518528169
"141",2009,1,6,20,55.2547015415534
"142",2009,1,6,21,77.7192063770784
"143",2009,1,6,22,73.1988535237416
"144",2009,1,6,23,77.4382018972264
"145",2009,1,7,0,78.7659497199157
"146",2009,1,7,1,65.6825834791619
"147",2009,1,7,2,52.0564014387193
"148",2009,1,7,3,47.3109775594705
"149",2009,1,7,4,48.9746032206474
"150",2009,1,7,5,63.5752040351712
"151",2009,1,7,6,81.5363742861861
"152",2009,1,7,7,87.1793998903012
"153",2009,1,7,8,86.8005648359585
"154",2009,1,7,9,83.4216220901617
"155",2009,1,7,10,78.9183859278894
"156",2009,1,7,11,67.477959614994
"157",2009,1,7,12,60.8395002622905
"158",2009,1,7,13,68.5108474908713
"159",2009,1,7,14,77.5984999861523
"160",2009,1,7,15,84.5009327446051
"161",2009,1,7,16,83.8944192381111
"162",2009,1,7,17,77.782113698572
"163",2009,1,7,18,73.6492195925408
"164",2009,1,7,19,73.6004958368105
"165",2009,1,7,20,78.9380936639725
"166",2009,1,7,21,86.4806718703346
"167",2009,1,7,22,87.2293669407665
"168",2009,1,7,23,88.1453096273435
"169",2009,1,8,0,90.5849322169177
"170",2009,1,8,1,92.017786908215
"171",2009,1,8,2,82.0740014950704
"172",2009,1,8,3,69.6210588972891
"173",2009,1,8,4,68.5113045988625
"174",2009,1,8,5,37.6995689350656
"175",2009,1,8,6,6.34917627318309
"176",2009,1,8,7,0.184377788230572
"177",2009,1,8,8,0.278052592594663
"178",2009,1,8,9,3.96944858906431
"179",2009,1,8,10,39.4300661022124
"180",2009,1,8,11,24.8686200293842
"181",2009,1,8,12,43.8593108587858
"182",2009,1,8,13,64.904643328383
"183",2009,1,8,14,73.2207408188169
"184",2009,1,8,15,65.956677562417
"185",2009,1,8,16,37.8752645104436
"186",2009,1,8,17,3.07902078653438
"187",2009,1,8,18,0.344128765577406
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0.333733144741301
"191",2009,1,8,22,3.58825475569658
"192",2009,1,8,23,0.794836078301905
"193",2009,1,9,0,8.99303934452197
"194",2009,1,9,1,32.8597989927614
"195",2009,1,9,2,53.5940170173983
"196",2009,1,9,3,67.0532297150996
"197",2009,1,9,4,79.9323412956839
"198",2009,1,9,5,91.6017870577703
"199",2009,1,9,6,99.194648984837
"200",2009,1,9,7,100
"201",2009,1,9,8,99.6961541710614
"202",2009,1,9,9,93.5264066023952
"203",2009,1,9,10,81.454205149089
"204",2009,1,9,11,24.4332620401982
"205",2009,1,9,12,0.00676684405115184
