"","year","month","day","hour","Outage"
"1",2009,1,1,0,16.635679724758
"2",2009,1,1,1,27.3469551545077
"3",2009,1,1,2,35.5717399364438
"4",2009,1,1,3,47.0812236728906
"5",2009,1,1,4,46.6454298286634
"6",2009,1,1,5,63.3312115555151
"7",2009,1,1,6,73.638580045494
"8",2009,1,1,7,78.4806222821575
"9",2009,1,1,8,89.8912070038901
"10",2009,1,1,9,97.4302538397335
"11",2009,1,1,10,99.8846401645436
"12",2009,1,1,11,100
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,99.2745880481623
"17",2009,1,1,16,94.7781037566626
"18",2009,1,1,17,83.8795715013428
"19",2009,1,1,18,72.6653313364866
"20",2009,1,1,19,85.4420629741648
"21",2009,1,1,20,96.3506725501278
"22",2009,1,1,21,97.9614423950042
"23",2009,1,1,22,92.7831054440292
"24",2009,1,1,23,82.2471627446578
"25",2009,1,2,0,75.3371105123307
"26",2009,1,2,1,71.4848514187536
"27",2009,1,2,2,70.0985707390307
"28",2009,1,2,3,58.6432588504385
"29",2009,1,2,4,30.719561147386
"30",2009,1,2,5,22.5990752369186
"31",2009,1,2,6,16.2730480070763
"32",2009,1,2,7,19.8055709120889
"33",2009,1,2,8,10.8021670118215
"34",2009,1,2,9,7.11406526180999
"35",2009,1,2,10,14.4139885463249
"36",2009,1,2,11,10.283869825501
"37",2009,1,2,12,17.3174225833369
"38",2009,1,2,13,23.2562340190363
"39",2009,1,2,14,26.4175700272859
"40",2009,1,2,15,30.9060642979311
"41",2009,1,2,16,27.3461822990834
"42",2009,1,2,17,23.3918649505373
"43",2009,1,2,18,18.2393944632632
"44",2009,1,2,19,18.3706820447289
"45",2009,1,2,20,16.043023473472
"46",2009,1,2,21,20.761910542172
"47",2009,1,2,22,28.7182255615311
"48",2009,1,2,23,38.9607026365336
"49",2009,1,3,0,45.2951121070869
"50",2009,1,3,1,45.6598775040712
"51",2009,1,3,2,49.7205958458399
"52",2009,1,3,3,54.0282346520584
"53",2009,1,3,4,62.3425382298715
"54",2009,1,3,5,72.9750801593391
"55",2009,1,3,6,81.4758594820302
"56",2009,1,3,7,85.1267937701886
"57",2009,1,3,8,85.601370732885
"58",2009,1,3,9,86.0353796553277
"59",2009,1,3,10,88.6975528091934
"60",2009,1,3,11,88.7178786040994
"61",2009,1,3,12,88.3622853762814
"62",2009,1,3,13,90.822290223684
"63",2009,1,3,14,94.7147139229988
"64",2009,1,3,15,97.71161986278
"65",2009,1,3,16,99.6108512967578
"66",2009,1,3,17,99.7317967927532
"67",2009,1,3,18,97.8463167843796
"68",2009,1,3,19,87.1752102071039
"69",2009,1,3,20,79.4312760547484
"70",2009,1,3,21,72.741958360967
"71",2009,1,3,22,67.9513444485531
"72",2009,1,3,23,68.6646778888692
"73",2009,1,4,0,58.2386578874439
"74",2009,1,4,1,50.2978349373755
"75",2009,1,4,2,37.2439242236977
"76",2009,1,4,3,23.1619552561054
"77",2009,1,4,4,29.6369380914666
"78",2009,1,4,5,11.4574102172043
"79",2009,1,4,6,26.5974369119937
"80",2009,1,4,7,29.7065324996009
"81",2009,1,4,8,32.4230479343664
"82",2009,1,4,9,45.7944979053772
"83",2009,1,4,10,46.6294250981329
"84",2009,1,4,11,43.1128954581256
"85",2009,1,4,12,30.1407291074129
"86",2009,1,4,13,14.6534262559865
"87",2009,1,4,14,7.8458355688514
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,5.10919370916136
"102",2009,1,5,5,34.8638684877889
"103",2009,1,5,6,10.7640847566771
"104",2009,1,5,7,12.7917961188545
"105",2009,1,5,8,46.7640491132044
"106",2009,1,5,9,63.193843294818
"107",2009,1,5,10,88.1635876857855
"108",2009,1,5,11,99.1422860476505
"109",2009,1,5,12,100
"110",2009,1,5,13,100
"111",2009,1,5,14,100
"112",2009,1,5,15,100
"113",2009,1,5,16,100
"114",2009,1,5,17,100
"115",2009,1,5,18,100
"116",2009,1,5,19,99.7421220534838
"117",2009,1,5,20,87.5457769079109
"118",2009,1,5,21,78.3272408095209
"119",2009,1,5,22,77.9503890050461
"120",2009,1,5,23,71.2635313682854
"121",2009,1,6,0,67.3507002949106
"122",2009,1,6,1,49.1761223930291
"123",2009,1,6,2,7.26382178786915
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,7.38936107776263
"134",2009,1,6,13,24.390616361435
"135",2009,1,6,14,41.4919644836601
"136",2009,1,6,15,53.4144127015194
"137",2009,1,6,16,57.0610374060333
"138",2009,1,6,17,59.8847124772728
"139",2009,1,6,18,68.1459960146563
"140",2009,1,6,19,79.2146231449971
"141",2009,1,6,20,81.9597743516531
"142",2009,1,6,21,85.6949127631803
"143",2009,1,6,22,90.2221377646463
"144",2009,1,6,23,92.1983893462592
"145",2009,1,7,0,92.307670651373
"146",2009,1,7,1,85.5787302179426
"147",2009,1,7,2,83.3197141792113
"148",2009,1,7,3,82.3396655801104
"149",2009,1,7,4,84.6187806989779
"150",2009,1,7,5,87.9229963097418
"151",2009,1,7,6,88.4453065622304
"152",2009,1,7,7,87.1535015015302
"153",2009,1,7,8,86.7416096017173
"154",2009,1,7,9,87.662167003562
"155",2009,1,7,10,87.2834143931587
"156",2009,1,7,11,88.3288922136571
"157",2009,1,7,12,90.162762614763
"158",2009,1,7,13,92.8569277214601
"159",2009,1,7,14,93.0967667417538
"160",2009,1,7,15,91.9677257896891
"161",2009,1,7,16,93.3445568952218
"162",2009,1,7,17,94.2481098737795
"163",2009,1,7,18,93.0139331485073
"164",2009,1,7,19,93.5820225259791
"165",2009,1,7,20,91.8947637962779
"166",2009,1,7,21,91.3155541303712
"167",2009,1,7,22,87.0830137136705
"168",2009,1,7,23,82.5085896149008
"169",2009,1,8,0,66.6024596858747
"170",2009,1,8,1,70.2588392148723
"171",2009,1,8,2,78.2882815112408
"172",2009,1,8,3,71.8079042959057
"173",2009,1,8,4,83.1824867183711
"174",2009,1,8,5,81.6008476806522
"175",2009,1,8,6,79.2771571733685
"176",2009,1,8,7,94.7210846191282
"177",2009,1,8,8,97.7740556013029
"178",2009,1,8,9,96.032485121605
"179",2009,1,8,10,97.3370201703218
"180",2009,1,8,11,86.3732380488814
"181",2009,1,8,12,81.7335607601949
"182",2009,1,8,13,84.5676418936129
"183",2009,1,8,14,77.1801406784412
"184",2009,1,8,15,57.6151722030373
"185",2009,1,8,16,27.6589597826263
"186",2009,1,8,17,9.19172813705088
"187",2009,1,8,18,1.81591417781094
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,1.76901620369024
"191",2009,1,8,22,14.8883739396851
"192",2009,1,8,23,15.7088050620196
"193",2009,1,9,0,16.2215791547214
"194",2009,1,9,1,15.6044904567617
"195",2009,1,9,2,13.131629358501
"196",2009,1,9,3,12.2500149151417
"197",2009,1,9,4,18.7399215181692
"198",2009,1,9,5,29.0985847058737
"199",2009,1,9,6,43.4309682048313
"200",2009,1,9,7,52.3916818024535
"201",2009,1,9,8,30.3005458355379
"202",2009,1,9,9,1.50626398449398
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,1.05970965120197
"224",2009,1,10,7,0.676796586914273
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0
"232",2009,1,10,15,0
"233",2009,1,10,16,0
"234",2009,1,10,17,0
"235",2009,1,10,18,0
"236",2009,1,10,19,0
"237",2009,1,10,20,0
"238",2009,1,10,21,0
"239",2009,1,10,22,0
"240",2009,1,10,23,0
"241",2009,1,11,0,2.32187586306676
"242",2009,1,11,1,19.4351140274792
"243",2009,1,11,2,67.1075981342186
"244",2009,1,11,3,94.8248030065357
"245",2009,1,11,4,100
"246",2009,1,11,5,99.7114664701154
"247",2009,1,11,6,88.6257341033427
"248",2009,1,11,7,12.6369203781605
"249",2009,1,11,8,14.2119808586289
"250",2009,1,11,9,16.6642225653398
"251",2009,1,11,10,13.4991286531744
