"","year","month","day","hour","Outage"
"1",2009,1,1,0,81.3291394845368
"2",2009,1,1,1,78.7782237673518
"3",2009,1,1,2,65.217064428903
"4",2009,1,1,3,77.7080566029366
"5",2009,1,1,4,76.1252376348495
"6",2009,1,1,5,96.7256412050551
"7",2009,1,1,6,98.1924646878654
"8",2009,1,1,7,83.8085796355949
"9",2009,1,1,8,64.6303799119835
"10",2009,1,1,9,75.8491077102326
"11",2009,1,1,10,85.3938208256513
"12",2009,1,1,11,84.9322005309199
"13",2009,1,1,12,93.5511058212513
"14",2009,1,1,13,94.3978363268702
"15",2009,1,1,14,97.6099793080064
"16",2009,1,1,15,88.3324578712094
"17",2009,1,1,16,69.4962471678406
"18",2009,1,1,17,71.4964639809012
"19",2009,1,1,18,76.6009034597155
"20",2009,1,1,19,93.8529914515006
"21",2009,1,1,20,92.8658576429681
"22",2009,1,1,21,61.9867669611184
"23",2009,1,1,22,0.76802542698783
"24",2009,1,1,23,0
"25",2009,1,2,0,0
"26",2009,1,2,1,0
"27",2009,1,2,2,0
"28",2009,1,2,3,0
"29",2009,1,2,4,5.705659812869
"30",2009,1,2,5,7.00439012275705
"31",2009,1,2,6,9.65368098521691
"32",2009,1,2,7,0.10478487787969
"33",2009,1,2,8,0
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0.111425568252096
"39",2009,1,2,14,13.6122395986516
"40",2009,1,2,15,34.0657885092819
"41",2009,1,2,16,58.0882778307744
"42",2009,1,2,17,77.4315021161717
"43",2009,1,2,18,82.1496190552312
"44",2009,1,2,19,82.3256788428454
"45",2009,1,2,20,83.3219204793049
"46",2009,1,2,21,85.9077534892622
"47",2009,1,2,22,86.3269816364111
"48",2009,1,2,23,90.2387261048348
"49",2009,1,3,0,91.7696450929642
"50",2009,1,3,1,94.2808318185999
"51",2009,1,3,2,98.6396074936684
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,98.6992122727073
"55",2009,1,3,6,84.7151938058597
"56",2009,1,3,7,52.979643328181
"57",2009,1,3,8,28.3248094794101
"58",2009,1,3,9,36.4288330896739
"59",2009,1,3,10,56.5226278123459
"60",2009,1,3,11,73.2672096628034
"61",2009,1,3,12,91.2881678311276
"62",2009,1,3,13,95.2095250035039
"63",2009,1,3,14,93.5046295983205
"64",2009,1,3,15,95.9835833411243
"65",2009,1,3,16,97.9290731338351
"66",2009,1,3,17,97.265700953398
"67",2009,1,3,18,77.2595051864999
"68",2009,1,3,19,12.4934092389198
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,1.84476295950006
"101",2009,1,5,4,9.38791832859408
"102",2009,1,5,5,0
"103",2009,1,5,6,8.26198424753319
"104",2009,1,5,7,18.2563993235337
"105",2009,1,5,8,1.83105716409893
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,23.0332812918963
"109",2009,1,5,12,49.830152680466
"110",2009,1,5,13,58.9205940856817
"111",2009,1,5,14,51.685523832437
"112",2009,1,5,15,13.7264711660972
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0.0375211384528747
"125",2009,1,6,4,0.780133047348005
"126",2009,1,6,5,29.5223489389356
"127",2009,1,6,6,40.1094152263128
"128",2009,1,6,7,29.3181723356993
"129",2009,1,6,8,25.7189164861852
"130",2009,1,6,9,45.1200726937061
"131",2009,1,6,10,74.3060994562431
"132",2009,1,6,11,97.8515677577437
"133",2009,1,6,12,100
"134",2009,1,6,13,100
"135",2009,1,6,14,97.6944763199552
"136",2009,1,6,15,86.8277198108745
"137",2009,1,6,16,71.2837354512462
"138",2009,1,6,17,41.1812131195406
"139",2009,1,6,18,28.7431891362516
"140",2009,1,6,19,35.3276998439922
"141",2009,1,6,20,57.0598379384603
"142",2009,1,6,21,65.7810867061993
"143",2009,1,6,22,72.4079080696791
"144",2009,1,6,23,80.2274066818536
"145",2009,1,7,0,84.9013505857477
"146",2009,1,7,1,85.0642752887722
"147",2009,1,7,2,85.0964399038282
"148",2009,1,7,3,84.3629502792421
"149",2009,1,7,4,82.258277943325
"150",2009,1,7,5,78.1875118837826
"151",2009,1,7,6,76.4498379848815
"152",2009,1,7,7,83.5198401722817
"153",2009,1,7,8,90.2783808885607
"154",2009,1,7,9,95.8561633859278
"155",2009,1,7,10,99.3131422813846
"156",2009,1,7,11,100
"157",2009,1,7,12,100
"158",2009,1,7,13,100
"159",2009,1,7,14,100
"160",2009,1,7,15,100
"161",2009,1,7,16,100
"162",2009,1,7,17,99.860261425366
"163",2009,1,7,18,99.4228465822737
"164",2009,1,7,19,100
"165",2009,1,7,20,100
"166",2009,1,7,21,100
"167",2009,1,7,22,100
"168",2009,1,7,23,100
"169",2009,1,8,0,100
"170",2009,1,8,1,100
"171",2009,1,8,2,100
"172",2009,1,8,3,99.3216434571311
"173",2009,1,8,4,98.720791800881
"174",2009,1,8,5,98.7494535129596
"175",2009,1,8,6,99.0391464693437
"176",2009,1,8,7,93.9667336047873
"177",2009,1,8,8,55.0400873149527
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,0
"184",2009,1,8,15,0
"185",2009,1,8,16,0
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,5.99897352437757
"189",2009,1,8,20,25.6561904201913
"190",2009,1,8,21,35.4415668296615
"191",2009,1,8,22,44.4357643241583
"192",2009,1,8,23,46.9001556117129
"193",2009,1,9,0,59.2225951177824
"194",2009,1,9,1,73.6750091420278
"195",2009,1,9,2,85.9322121836446
"196",2009,1,9,3,89.0575220667712
"197",2009,1,9,4,90.1119110111705
"198",2009,1,9,5,95.4445306888527
"199",2009,1,9,6,99.462776347194
"200",2009,1,9,7,100
"201",2009,1,9,8,97.3474907152452
"202",2009,1,9,9,91.6448510532988
"203",2009,1,9,10,83.731042796901
"204",2009,1,9,11,65.0487961727155
"205",2009,1,9,12,31.0241479255732
"206",2009,1,9,13,0.956595612910884
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0
"232",2009,1,10,15,0
"233",2009,1,10,16,0
"234",2009,1,10,17,0
"235",2009,1,10,18,0
"236",2009,1,10,19,0.242479307431492
"237",2009,1,10,20,3.37507675900933
"238",2009,1,10,21,0.145435429102982
"239",2009,1,10,22,0.0714569210363003
"240",2009,1,10,23,21.0204745213615
"241",2009,1,11,0,70.2669093064902
"242",2009,1,11,1,66.8742656132512
"243",2009,1,11,2,47.7449778452024
"244",2009,1,11,3,42.4503074210606
"245",2009,1,11,4,1.29305662498952
"246",2009,1,11,5,0
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,0
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,5.39562239374358
"260",2009,1,11,19,45.2987159584583
"261",2009,1,11,20,29.5056882149068
"262",2009,1,11,21,0.260117485240448
"263",2009,1,11,22,0
"264",2009,1,11,23,0
"265",2009,1,12,0,9.73364033142091
"266",2009,1,12,1,51.810571904162
"267",2009,1,12,2,83.3390322246526
"268",2009,1,12,3,97.6960824200281
"269",2009,1,12,4,100
"270",2009,1,12,5,98.6004500616595
"271",2009,1,12,6,89.3243174078005
"272",2009,1,12,7,74.9473204238992
"273",2009,1,12,8,79.0586084105195
"274",2009,1,12,9,97.8266608559097
"275",2009,1,12,10,92.7920419099438
"276",2009,1,12,11,82.0634404795938
"277",2009,1,12,12,88.2082892243285
"278",2009,1,12,13,91.729626854795
"279",2009,1,12,14,91.7742736404194
"280",2009,1,12,15,86.6121591395225
"281",2009,1,12,16,73.8494582492339
"282",2009,1,12,17,9.89148851301442
"283",2009,1,12,18,0
"284",2009,1,12,19,0
"285",2009,1,12,20,0
"286",2009,1,12,21,0
"287",2009,1,12,22,0
"288",2009,1,12,23,0
"289",2009,1,13,0,0
"290",2009,1,13,1,0
"291",2009,1,13,2,0
"292",2009,1,13,3,0
"293",2009,1,13,4,0
"294",2009,1,13,5,0
"295",2009,1,13,6,0
"296",2009,1,13,7,0
"297",2009,1,13,8,0
"298",2009,1,13,9,0
"299",2009,1,13,10,0
"300",2009,1,13,11,0
"301",2009,1,13,12,9.30610397159348
"302",2009,1,13,13,28.5102690571562
"303",2009,1,13,14,56.2207363343279
"304",2009,1,13,15,49.5686681844655
"305",2009,1,13,16,24.6797717135044
"306",2009,1,13,17,18.5301826604699
"307",2009,1,13,18,50.2540995868827
"308",2009,1,13,19,82.4829322024381
"309",2009,1,13,20,82.3855088568036
"310",2009,1,13,21,79.2263512319537
"311",2009,1,13,22,89.1591586019221
"312",2009,1,13,23,84.0328865429433
"313",2009,1,14,0,90.3738203417143
"314",2009,1,14,1,88.2015259354816
"315",2009,1,14,2,88.6529093725749
"316",2009,1,14,3,90.3975419448454
"317",2009,1,14,4,91.9671067631253
"318",2009,1,14,5,92.6270828495599
"319",2009,1,14,6,93.0636460118616
"320",2009,1,14,7,91.4854649246976
"321",2009,1,14,8,91.0215977372768
"322",2009,1,14,9,91.1308761102781
"323",2009,1,14,10,93.4809897988601
"324",2009,1,14,11,95.5715117794242
"325",2009,1,14,12,96.5274108885153
"326",2009,1,14,13,96.2193625959351
"327",2009,1,14,14,96.6320536767663
"328",2009,1,14,15,96.7342878499992
"329",2009,1,14,16,94.7045341012699
"330",2009,1,14,17,97.2167417664943
"331",2009,1,14,18,96.3266877910644
"332",2009,1,14,19,95.1528808149043
"333",2009,1,14,20,95.2672684537924
"334",2009,1,14,21,97.8751637105735
"335",2009,1,14,22,99.0642857312765
"336",2009,1,14,23,97.3151136952581
"337",2009,1,15,0,97.3981315276972
"338",2009,1,15,1,99.3273246014086
"339",2009,1,15,2,100
"340",2009,1,15,3,100
"341",2009,1,15,4,100
"342",2009,1,15,5,100
"343",2009,1,15,6,99.7610268142483
"344",2009,1,15,7,95.5251377972798
"345",2009,1,15,8,81.2627146681255
"346",2009,1,15,9,61.5092701424003
"347",2009,1,15,10,32.2963509727001
"348",2009,1,15,11,36.251244960849
"349",2009,1,15,12,56.8212561127941
"350",2009,1,15,13,69.1377416865173
"351",2009,1,15,14,64.4368884568744
"352",2009,1,15,15,57.4313466681254
"353",2009,1,15,16,65.4370553148092
"354",2009,1,15,17,76.4172313240341
"355",2009,1,15,18,81.1064189185705
"356",2009,1,15,19,77.4195384736195
"357",2009,1,15,20,83.0878259117868
"358",2009,1,15,21,91.6583476226427
"359",2009,1,15,22,87.9775262043495
"360",2009,1,15,23,87.2136837867299
"361",2009,1,16,0,77.3504048561307
"362",2009,1,16,1,28.3870738157653
"363",2009,1,16,2,0.17348895202209
"364",2009,1,16,3,5.09850837779759
"365",2009,1,16,4,11.540175322697
"366",2009,1,16,5,0
"367",2009,1,16,6,0
"368",2009,1,16,7,0
"369",2009,1,16,8,0
"370",2009,1,16,9,0
"371",2009,1,16,10,0
"372",2009,1,16,11,0
"373",2009,1,16,12,0
"374",2009,1,16,13,0
"375",2009,1,16,14,0
"376",2009,1,16,15,0
"377",2009,1,16,16,0
"378",2009,1,16,17,0
"379",2009,1,16,18,0
"380",2009,1,16,19,0.20920135414691
"381",2009,1,16,20,4.45229721462636
"382",2009,1,16,21,5.52918887894062
"383",2009,1,16,22,10.138610747009
"384",2009,1,16,23,21.8920944403821
"385",2009,1,17,0,35.4130859807421
"386",2009,1,17,1,24.5394596992937
"387",2009,1,17,2,15.1973904009438
"388",2009,1,17,3,10.6877037485757
"389",2009,1,17,4,1.01346616844834
"390",2009,1,17,5,0
"391",2009,1,17,6,0
"392",2009,1,17,7,0
"393",2009,1,17,8,0
"394",2009,1,17,9,0
"395",2009,1,17,10,0
"396",2009,1,17,11,0
"397",2009,1,17,12,0
"398",2009,1,17,13,7.30289584730936
"399",2009,1,17,14,36.1775484500957
"400",2009,1,17,15,40.0224611097075
"401",2009,1,17,16,44.3156803096268
"402",2009,1,17,17,57.1988832866953
"403",2009,1,17,18,51.2109989422417
"404",2009,1,17,19,4.89075531074524
"405",2009,1,17,20,0
"406",2009,1,17,21,0
"407",2009,1,17,22,0
"408",2009,1,17,23,0
"409",2009,1,18,0,0
"410",2009,1,18,1,0
"411",2009,1,18,2,0.0533200797842452
"412",2009,1,18,3,0.822185589887314
"413",2009,1,18,4,0
"414",2009,1,18,5,0
"415",2009,1,18,6,0
"416",2009,1,18,7,0
"417",2009,1,18,8,0
"418",2009,1,18,9,0
"419",2009,1,18,10,0
"420",2009,1,18,11,0
"421",2009,1,18,12,0
"422",2009,1,18,13,0
"423",2009,1,18,14,1.89559844235021
"424",2009,1,18,15,28.7865235346582
"425",2009,1,18,16,23.1137961776257
"426",2009,1,18,17,1.92567375061324
"427",2009,1,18,18,1.61022106528621
"428",2009,1,18,19,0.055857734494071
"429",2009,1,18,20,0
"430",2009,1,18,21,0
"431",2009,1,18,22,0
"432",2009,1,18,23,0
"433",2009,1,19,0,0
"434",2009,1,19,1,0
"435",2009,1,19,2,3.47083879148868
"436",2009,1,19,3,15.9154709223642
"437",2009,1,19,4,33.3333208381939
"438",2009,1,19,5,53.7032378530385
"439",2009,1,19,6,72.5062492018185
"440",2009,1,19,7,86.1514329991312
"441",2009,1,19,8,90.087065235813
"442",2009,1,19,9,91.237090339227
"443",2009,1,19,10,95.5414203707229
"444",2009,1,19,11,100
"445",2009,1,19,12,98.7176894934651
"446",2009,1,19,13,92.795085357785
"447",2009,1,19,14,60.4427342343353
"448",2009,1,19,15,52.2688773290812
"449",2009,1,19,16,11.8887578970636
"450",2009,1,19,17,0
"451",2009,1,19,18,0
"452",2009,1,19,19,9.33812522867976
"453",2009,1,19,20,20.6127809480546
"454",2009,1,19,21,1.21024796843402
"455",2009,1,19,22,22.1207507837968
"456",2009,1,19,23,49.6345924343161
"457",2009,1,20,0,63.5824327494098
"458",2009,1,20,1,80.6192603462848
"459",2009,1,20,2,85.3816640267311
"460",2009,1,20,3,88.5834207504863
"461",2009,1,20,4,86.4211023589639
"462",2009,1,20,5,98.430169295923
"463",2009,1,20,6,99.8666797975101
"464",2009,1,20,7,98.9218928988236
"465",2009,1,20,8,98.1773746297625
"466",2009,1,20,9,98.8033433391286
"467",2009,1,20,10,99.3438753017782
"468",2009,1,20,11,100
"469",2009,1,20,12,100
"470",2009,1,20,13,100
"471",2009,1,20,14,100
"472",2009,1,20,15,100
"473",2009,1,20,16,100
"474",2009,1,20,17,98.5572829231273
"475",2009,1,20,18,96.404253667595
"476",2009,1,20,19,97.7205030192633
"477",2009,1,20,20,93.5922368035294
"478",2009,1,20,21,88.0250399964506
"479",2009,1,20,22,88.1524922808539
"480",2009,1,20,23,82.2720444924656
"481",2009,1,21,0,80.1497021463709
"482",2009,1,21,1,80.7973412453495
"483",2009,1,21,2,77.7680880519787
"484",2009,1,21,3,73.6140068143062
"485",2009,1,21,4,83.9389814139795
"486",2009,1,21,5,84.3206543689625
"487",2009,1,21,6,76.8032261693798
"488",2009,1,21,7,65.3247256632788
"489",2009,1,21,8,60.9398676200611
"490",2009,1,21,9,58.833432038777
"491",2009,1,21,10,69.9600704210641
"492",2009,1,21,11,72.5843261683465
"493",2009,1,21,12,80.0270604878586
"494",2009,1,21,13,89.2597926943465
"495",2009,1,21,14,96.004599989133
"496",2009,1,21,15,98.0567280988361
"497",2009,1,21,16,97.7967245604403
"498",2009,1,21,17,96.1962995455555
"499",2009,1,21,18,99.2524773452824
"500",2009,1,21,19,100
"501",2009,1,21,20,100
"502",2009,1,21,21,100
"503",2009,1,21,22,100
"504",2009,1,21,23,97.9460621144971
"505",2009,1,22,0,81.2615873603172
"506",2009,1,22,1,28.1267390535363
"507",2009,1,22,2,1.2059001810887
"508",2009,1,22,3,0
"509",2009,1,22,4,0
"510",2009,1,22,5,0
"511",2009,1,22,6,0
"512",2009,1,22,7,0
"513",2009,1,22,8,0
"514",2009,1,22,9,0
"515",2009,1,22,10,0
"516",2009,1,22,11,0
"517",2009,1,22,12,0
"518",2009,1,22,13,0
"519",2009,1,22,14,0
"520",2009,1,22,15,0
"521",2009,1,22,16,0
"522",2009,1,22,17,0
"523",2009,1,22,18,0.805237181296718
"524",2009,1,22,19,3.14028635671271
"525",2009,1,22,20,2.94851993365452
"526",2009,1,22,21,2.71940829822693
"527",2009,1,22,22,9.12483738692958
"528",2009,1,22,23,19.2061468359702
"529",2009,1,23,0,34.143530327983
"530",2009,1,23,1,48.8027793788996
"531",2009,1,23,2,60.0005614695619
"532",2009,1,23,3,70.6832444167422
"533",2009,1,23,4,76.315673951412
"534",2009,1,23,5,80.5028985591694
"535",2009,1,23,6,82.6627333126311
"536",2009,1,23,7,85.591829618509
"537",2009,1,23,8,88.539503753643
"538",2009,1,23,9,89.2772013861426
"539",2009,1,23,10,94.3686681787495
"540",2009,1,23,11,99.4388261162439
"541",2009,1,23,12,100
"542",2009,1,23,13,100
"543",2009,1,23,14,100
"544",2009,1,23,15,100
"545",2009,1,23,16,100
"546",2009,1,23,17,100
"547",2009,1,23,18,100
"548",2009,1,23,19,100
"549",2009,1,23,20,100
"550",2009,1,23,21,100
"551",2009,1,23,22,100
"552",2009,1,23,23,100
"553",2009,1,24,0,100
"554",2009,1,24,1,100
"555",2009,1,24,2,100
"556",2009,1,24,3,100
"557",2009,1,24,4,100
"558",2009,1,24,5,100
"559",2009,1,24,6,100
"560",2009,1,24,7,100
"561",2009,1,24,8,100
"562",2009,1,24,9,100
"563",2009,1,24,10,100
"564",2009,1,24,11,99.178759873171
"565",2009,1,24,12,99.2108044486315
"566",2009,1,24,13,99.8519556787612
"567",2009,1,24,14,100
"568",2009,1,24,15,100
"569",2009,1,24,16,100
"570",2009,1,24,17,100
"571",2009,1,24,18,100
"572",2009,1,24,19,100
"573",2009,1,24,20,97.0750942183496
"574",2009,1,24,21,85.7104307144044
"575",2009,1,24,22,57.7055848826508
"576",2009,1,24,23,19.3997070905119
"577",2009,1,25,0,11.4270082665307
"578",2009,1,25,1,15.3625759079725
"579",2009,1,25,2,14.0593270674504
"580",2009,1,25,3,18.6161470479296
"581",2009,1,25,4,22.6564723675327
"582",2009,1,25,5,20.09584570816
"583",2009,1,25,6,5.21588199032277
"584",2009,1,25,7,0
"585",2009,1,25,8,0
"586",2009,1,25,9,0
"587",2009,1,25,10,0
"588",2009,1,25,11,0
"589",2009,1,25,12,6.07298723311026
"590",2009,1,25,13,44.3734933557404
"591",2009,1,25,14,64.2681480971625
"592",2009,1,25,15,54.2389404417423
"593",2009,1,25,16,42.6972572843017
"594",2009,1,25,17,28.1306555459578
"595",2009,1,25,18,14.9660943488154
"596",2009,1,25,19,13.1898826266784
"597",2009,1,25,20,23.3806236987202
"598",2009,1,25,21,31.2968630572884
"599",2009,1,25,22,47.362171999773
"600",2009,1,25,23,58.687530588508
"601",2009,1,26,0,63.395826603369
"602",2009,1,26,1,70.4107213363281
"603",2009,1,26,2,73.8422780491862
"604",2009,1,26,3,78.3361562037788
"605",2009,1,26,4,84.827730501032
"606",2009,1,26,5,86.5362870004758
"607",2009,1,26,6,85.1188839730319
"608",2009,1,26,7,81.9882962321006
"609",2009,1,26,8,78.523083528813
"610",2009,1,26,9,82.6089665695063
"611",2009,1,26,10,86.070342652441
"612",2009,1,26,11,87.9427113518947
"613",2009,1,26,12,80.3253417719597
"614",2009,1,26,13,50.5631889070831
"615",2009,1,26,14,21.7348872595198
"616",2009,1,26,15,8.23742494750048
"617",2009,1,26,16,11.0437709150755
"618",2009,1,26,17,15.0888204595661
"619",2009,1,26,18,1.24814277076335
"620",2009,1,26,19,6.16210940114081
"621",2009,1,26,20,0.38934783995749
"622",2009,1,26,21,0
"623",2009,1,26,22,0
"624",2009,1,26,23,0
"625",2009,1,27,0,0
"626",2009,1,27,1,0
"627",2009,1,27,2,0
"628",2009,1,27,3,0
"629",2009,1,27,4,0
"630",2009,1,27,5,0
"631",2009,1,27,6,0
"632",2009,1,27,7,0
"633",2009,1,27,8,0
"634",2009,1,27,9,0
"635",2009,1,27,10,0
"636",2009,1,27,11,0
"637",2009,1,27,12,0
"638",2009,1,27,13,0
"639",2009,1,27,14,0
"640",2009,1,27,15,0
"641",2009,1,27,16,0
"642",2009,1,27,17,0
"643",2009,1,27,18,0
"644",2009,1,27,19,0
"645",2009,1,27,20,0
"646",2009,1,27,21,0
"647",2009,1,27,22,0
"648",2009,1,27,23,0
