,year,month,day,hour,Outage
1,2009,1,1,0,0
2,2009,1,1,1,0
3,2009,1,1,2,0
4,2009,1,1,3,0
5,2009,1,1,4,0
6,2009,1,1,5,0
7,2009,1,1,6,0
8,2009,1,1,7,0
9,2009,1,1,8,0
10,2009,1,1,9,0
11,2009,1,1,10,42.09767458
12,2009,1,1,11,90.64943086
13,2009,1,1,12,98.63850689
14,2009,1,1,13,99.16173726
15,2009,1,1,14,88.0696034
16,2009,1,1,15,69.58530399
17,2009,1,1,16,57.72280345
18,2009,1,1,17,57.28661695
19,2009,1,1,18,74.20030061
20,2009,1,1,19,96.18986919
21,2009,1,1,20,99.8925752
22,2009,1,1,21,100
23,2009,1,1,22,100
24,2009,1,1,23,97.5385591
25,2009,1,2,0,96.55034712
26,2009,1,2,1,70.96053514
27,2009,1,2,2,47.29459164
28,2009,1,2,3,70.61483868
29,2009,1,2,4,87.6858306
30,2009,1,2,5,95.03440292
31,2009,1,2,6,98.79450937
32,2009,1,2,7,99.88614843
33,2009,1,2,8,100
34,2009,1,2,9,100
35,2009,1,2,10,100
36,2009,1,2,11,100
37,2009,1,2,12,100
38,2009,1,2,13,100
39,2009,1,2,14,100
40,2009,1,2,15,100
41,2009,1,2,16,100
42,2009,1,2,17,100
43,2009,1,2,18,100
44,2009,1,2,19,100
45,2009,1,2,20,100
46,2009,1,2,21,100
47,2009,1,2,22,100
48,2009,1,2,23,100
49,2009,1,3,0,100
50,2009,1,3,1,100
51,2009,1,3,2,100
52,2009,1,3,3,100
53,2009,1,3,4,100
54,2009,1,3,5,100
55,2009,1,3,6,97.94333622
56,2009,1,3,7,54.19879373
57,2009,1,3,8,28.95773134
58,2009,1,3,9,0
59,2009,1,3,10,0
60,2009,1,3,11,0
61,2009,1,3,12,0
62,2009,1,3,13,8.974320087
63,2009,1,3,14,17.78053077
64,2009,1,3,15,15.35182235
65,2009,1,3,16,0.838565698
66,2009,1,3,17,0
67,2009,1,3,18,0.629625987
68,2009,1,3,19,0
69,2009,1,3,20,0
70,2009,1,3,21,0
71,2009,1,3,22,0
72,2009,1,3,23,0
73,2009,1,4,0,0
74,2009,1,4,1,0
75,2009,1,4,2,0
76,2009,1,4,3,0
77,2009,1,4,4,0
78,2009,1,4,5,0
79,2009,1,4,6,0
80,2009,1,4,7,0
81,2009,1,4,8,0
82,2009,1,4,9,0
83,2009,1,4,10,0
84,2009,1,4,11,2.759130676
85,2009,1,4,12,23.38678914
86,2009,1,4,13,41.10847409
87,2009,1,4,14,63.43969383
88,2009,1,4,15,45.22995815
89,2009,1,4,16,7.178698573
90,2009,1,4,17,0
91,2009,1,4,18,0
92,2009,1,4,19,0
93,2009,1,4,20,0.866637733
94,2009,1,4,21,39.75262264
95,2009,1,4,22,17.73743348
96,2009,1,4,23,0
97,2009,1,5,0,9.263573663
98,2009,1,5,1,35.8243979
99,2009,1,5,2,61.33502437
100,2009,1,5,3,69.79876753
101,2009,1,5,4,69.27076607
102,2009,1,5,5,72.67452392
103,2009,1,5,6,57.28239759
104,2009,1,5,7,0
105,2009,1,5,8,0
106,2009,1,5,9,0
107,2009,1,5,10,0
108,2009,1,5,11,0
109,2009,1,5,12,11.10335745
110,2009,1,5,13,21.23093989
111,2009,1,5,14,6.917875342
112,2009,1,5,15,0
113,2009,1,5,16,0
114,2009,1,5,17,0
115,2009,1,5,18,0
116,2009,1,5,19,0
117,2009,1,5,20,0
118,2009,1,5,21,0
119,2009,1,5,22,0
120,2009,1,5,23,0
121,2009,1,6,0,2.989481172
122,2009,1,6,1,28.94846764
123,2009,1,6,2,43.73901606
124,2009,1,6,3,3.520574583
125,2009,1,6,4,0
126,2009,1,6,5,0
127,2009,1,6,6,0
128,2009,1,6,7,0
129,2009,1,6,8,0
130,2009,1,6,9,0
131,2009,1,6,10,0
132,2009,1,6,11,0
133,2009,1,6,12,0
134,2009,1,6,13,0
135,2009,1,6,14,0
136,2009,1,6,15,0
137,2009,1,6,16,0
138,2009,1,6,17,0.035325687
139,2009,1,6,18,1.872172318
140,2009,1,6,19,8.979636596
141,2009,1,6,20,22.61077197
142,2009,1,6,21,49.06770273
143,2009,1,6,22,63.73351043
144,2009,1,6,23,75.4523921
145,2009,1,7,0,92.60756565
146,2009,1,7,1,87.74352017
147,2009,1,7,2,1.113839958
148,2009,1,7,3,0
149,2009,1,7,4,0
150,2009,1,7,5,0
151,2009,1,7,6,0
152,2009,1,7,7,0
153,2009,1,7,8,0
154,2009,1,7,9,0
155,2009,1,7,10,0
156,2009,1,7,11,0
157,2009,1,7,12,0
158,2009,1,7,13,0
159,2009,1,7,14,0
160,2009,1,7,15,0
161,2009,1,7,16,0
162,2009,1,7,17,0
163,2009,1,7,18,0
164,2009,1,7,19,0
165,2009,1,7,20,0
166,2009,1,7,21,0
167,2009,1,7,22,0
168,2009,1,7,23,0
169,2009,1,8,0,0
170,2009,1,8,1,0
171,2009,1,8,2,0
172,2009,1,8,3,0
173,2009,1,8,4,0
174,2009,1,8,5,0
175,2009,1,8,6,0
176,2009,1,8,7,0
177,2009,1,8,8,0
178,2009,1,8,9,0
179,2009,1,8,10,0
180,2009,1,8,11,0
181,2009,1,8,12,0
182,2009,1,8,13,0
183,2009,1,8,14,0
184,2009,1,8,15,33.24375596
185,2009,1,8,16,82.85278827
186,2009,1,8,17,64.97031655
187,2009,1,8,18,87.60999231
188,2009,1,8,19,97.51534369
189,2009,1,8,20,100
190,2009,1,8,21,100
191,2009,1,8,22,100
192,2009,1,8,23,100
193,2009,1,9,0,100
194,2009,1,9,1,100
195,2009,1,9,2,100
196,2009,1,9,3,100
197,2009,1,9,4,100
198,2009,1,9,5,100
199,2009,1,9,6,100
200,2009,1,9,7,95.16225163
201,2009,1,9,8,81.02736612
202,2009,1,9,9,75.82211672
203,2009,1,9,10,27.02420023
204,2009,1,9,11,0
205,2009,1,9,12,0
206,2009,1,9,13,0
207,2009,1,9,14,0
208,2009,1,9,15,0
209,2009,1,9,16,0
210,2009,1,9,17,0
211,2009,1,9,18,0
212,2009,1,9,19,0
213,2009,1,9,20,0
214,2009,1,9,21,0
215,2009,1,9,22,0
216,2009,1,9,23,25.46873684
217,2009,1,10,0,55.19037313
218,2009,1,10,1,20.33415542
219,2009,1,10,2,23.70083837
220,2009,1,10,3,17.27390651
221,2009,1,10,4,0.10910739
222,2009,1,10,5,0
223,2009,1,10,6,0
224,2009,1,10,7,0
225,2009,1,10,8,0
226,2009,1,10,9,0
227,2009,1,10,10,0
228,2009,1,10,11,0
229,2009,1,10,12,0
230,2009,1,10,13,0
231,2009,1,10,14,0
232,2009,1,10,15,0
233,2009,1,10,16,0
234,2009,1,10,17,0
235,2009,1,10,18,0
236,2009,1,10,19,0
237,2009,1,10,20,0
238,2009,1,10,21,0
239,2009,1,10,22,0
240,2009,1,10,23,0
241,2009,1,11,0,0
242,2009,1,11,1,0
243,2009,1,11,2,0
244,2009,1,11,3,0
245,2009,1,11,4,0
246,2009,1,11,5,0
247,2009,1,11,6,0
248,2009,1,11,7,0
249,2009,1,11,8,0
