"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,0
"10",2009,1,1,9,0.461041218521815
"11",2009,1,1,10,19.401593437592
"12",2009,1,1,11,52.299756870568
"13",2009,1,1,12,85.4597127180061
"14",2009,1,1,13,92.3621536740443
"15",2009,1,1,14,83.6973943152276
"16",2009,1,1,15,60.043978762168
"17",2009,1,1,16,35.1180324119777
"18",2009,1,1,17,15.0242993565924
"19",2009,1,1,18,9.19641236547541
"20",2009,1,1,19,30.0539955637825
"21",2009,1,1,20,70.7256458859722
"22",2009,1,1,21,85.5718745052388
"23",2009,1,1,22,73.8003585551128
"24",2009,1,1,23,77.7061046322703
"25",2009,1,2,0,72.4858005730148
"26",2009,1,2,1,70.0644594039614
"27",2009,1,2,2,83.5694780050619
"28",2009,1,2,3,85.8911417460345
"29",2009,1,2,4,86.996827694062
"30",2009,1,2,5,86.7441695183541
"31",2009,1,2,6,90.9028059159601
"32",2009,1,2,7,90.8834201066336
"33",2009,1,2,8,88.8065301929959
"34",2009,1,2,9,83.5717084178062
"35",2009,1,2,10,66.5558540827716
"36",2009,1,2,11,41.7893753455368
"37",2009,1,2,12,47.3851412191155
"38",2009,1,2,13,67.2303326867556
"39",2009,1,2,14,76.8168696214301
"40",2009,1,2,15,83.8716618107092
"41",2009,1,2,16,91.1614160038187
"42",2009,1,2,17,96.7009571457403
"43",2009,1,2,18,98.7295481477679
"44",2009,1,2,19,99.2469871246665
"45",2009,1,2,20,99.6237123812812
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,98.5235689583206
"56",2009,1,3,7,92.148799789459
"57",2009,1,3,8,83.0185980067705
"58",2009,1,3,9,61.9021156199575
"59",2009,1,3,10,9.28664396354469
"60",2009,1,3,11,1.76445138943544
"61",2009,1,3,12,22.4109800976966
"62",2009,1,3,13,50.8123578293566
"63",2009,1,3,14,61.4767931860079
"64",2009,1,3,15,34.2244474150087
"65",2009,1,3,16,0.27674676687498
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0.759839052057961
"96",2009,1,4,23,3.29826486449427
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,0
"132",2009,1,6,11,0
"133",2009,1,6,12,0
"134",2009,1,6,13,0
"135",2009,1,6,14,0
"136",2009,1,6,15,0
"137",2009,1,6,16,0
"138",2009,1,6,17,0.23001372527453
"139",2009,1,6,18,2.96241358302746
"140",2009,1,6,19,1.56417326440293
"141",2009,1,6,20,0.169641083037416
"142",2009,1,6,21,0
"143",2009,1,6,22,0
"144",2009,1,6,23,0
"145",2009,1,7,0,0
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,0
"172",2009,1,8,3,0
"173",2009,1,8,4,0
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,45.1717506041616
"183",2009,1,8,14,68.6528130561116
"184",2009,1,8,15,69.3423802790445
"185",2009,1,8,16,82.3575976610732
"186",2009,1,8,17,70.5874808644976
"187",2009,1,8,18,72.3995581753272
"188",2009,1,8,19,83.3511153022465
"189",2009,1,8,20,83.3153284379025
"190",2009,1,8,21,79.887042654267
"191",2009,1,8,22,74.4611932086539
"192",2009,1,8,23,80.1880717517745
"193",2009,1,9,0,87.7690534345823
"194",2009,1,9,1,92.9789113557479
"195",2009,1,9,2,98.1150394607688
"196",2009,1,9,3,99.4145665394759
"197",2009,1,9,4,88.2140529249357
"198",2009,1,9,5,66.2952243343609
"199",2009,1,9,6,66.5386928517731
"200",2009,1,9,7,80.7277260427887
"201",2009,1,9,8,85.8384114050421
"202",2009,1,9,9,89.8696586594517
"203",2009,1,9,10,31.7834797282086
"204",2009,1,9,11,0.40963334579735
"205",2009,1,9,12,40.6837002250232
"206",2009,1,9,13,17.2826457534962
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
