"","year","month","day","hour","Outage"
"1",2009,1,1,0,4.19554127134844
"2",2009,1,1,1,18.5716382132186
"3",2009,1,1,2,28.3299499807408
"4",2009,1,1,3,17.3016208192466
"5",2009,1,1,4,9.57410211752735
"6",2009,1,1,5,17.0950182677382
"7",2009,1,1,6,32.9962445648073
"8",2009,1,1,7,40.5028340191415
"9",2009,1,1,8,78.3460956407851
"10",2009,1,1,9,95.1342643636724
"11",2009,1,1,10,97.7409331674286
"12",2009,1,1,11,98.0722395184494
"13",2009,1,1,12,99.7522195725971
"14",2009,1,1,13,96.6052125630048
"15",2009,1,1,14,58.996230036636
"16",2009,1,1,15,0
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,0
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,1.91830964487441
"23",2009,1,1,22,37.2791254671974
"24",2009,1,1,23,63.6018713525897
"25",2009,1,2,0,10.5513489205286
"26",2009,1,2,1,23.6681407254353
"27",2009,1,2,2,60.4003661993919
"28",2009,1,2,3,72.5260186841952
"29",2009,1,2,4,70.7092943524205
"30",2009,1,2,5,66.7562933966252
"31",2009,1,2,6,64.0134912512603
"32",2009,1,2,7,59.0780957176254
"33",2009,1,2,8,57.839111998537
"34",2009,1,2,9,40.4819725001859
"35",2009,1,2,10,12.0288719115887
"36",2009,1,2,11,0
"37",2009,1,2,12,2.21297308210934
"38",2009,1,2,13,9.96679215741552
"39",2009,1,2,14,12.5815697152766
"40",2009,1,2,15,20.2828646015232
"41",2009,1,2,16,23.4817105721492
"42",2009,1,2,17,27.1956370319484
"43",2009,1,2,18,39.7561363004035
"44",2009,1,2,19,60.203349785076
"45",2009,1,2,20,74.8852135801277
"46",2009,1,2,21,80.7759245240662
"47",2009,1,2,22,85.5688280689241
"48",2009,1,2,23,89.864761441508
"49",2009,1,3,0,93.7091932706741
"50",2009,1,3,1,96.9204684954754
"51",2009,1,3,2,98.9215611802609
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,99.7367609510408
"57",2009,1,3,8,97.504754687637
"58",2009,1,3,9,89.0705641023077
"59",2009,1,3,10,65.4187461573931
"60",2009,1,3,11,33.6904629235063
"61",2009,1,3,12,37.36536796063
"62",2009,1,3,13,51.9192176586924
"63",2009,1,3,14,62.5445438987301
"64",2009,1,3,15,59.8323511932429
"65",2009,1,3,16,64.1979752973993
"66",2009,1,3,17,62.3375022461822
"67",2009,1,3,18,56.2575808101927
"68",2009,1,3,19,52.6114473585803
"69",2009,1,3,20,25.7791868464861
"70",2009,1,3,21,19.4235647501471
"71",2009,1,3,22,37.0001538960923
"72",2009,1,3,23,43.4723791519576
"73",2009,1,4,0,40.7418499414297
"74",2009,1,4,1,37.5353441552075
"75",2009,1,4,2,33.1851253170422
"76",2009,1,4,3,47.5144275460635
"77",2009,1,4,4,61.8780547147239
"78",2009,1,4,5,62.2610967315965
"79",2009,1,4,6,57.8133544411698
"80",2009,1,4,7,71.0300008300205
"81",2009,1,4,8,74.7793163898169
"82",2009,1,4,9,56.0103123012664
"83",2009,1,4,10,17.4761376786157
"84",2009,1,4,11,0.264311319303058
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,1.26363016935418
"88",2009,1,4,15,5.95242934203956
"89",2009,1,4,16,18.7261727011224
"90",2009,1,4,17,8.08498071285826
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0.785882018931379
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,5.86552934722642
"97",2009,1,5,0,21.4036781079818
"98",2009,1,5,1,8.05357255277092
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0.276436949185734
"120",2009,1,5,23,0.85630492873365
"121",2009,1,6,0,4.61993712556786
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,14.1020101100116
"127",2009,1,6,6,14.5104549078665
"128",2009,1,6,7,13.2479025897359
"129",2009,1,6,8,7.84707762954317
"130",2009,1,6,9,46.5453230659773
"131",2009,1,6,10,71.8154140998823
"132",2009,1,6,11,87.4935292909723
"133",2009,1,6,12,99.6174171753424
"134",2009,1,6,13,100
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,100
"138",2009,1,6,17,99.7092479757315
"139",2009,1,6,18,90.0721353223562
"140",2009,1,6,19,59.1810296638253
"141",2009,1,6,20,68.2889331209518
"142",2009,1,6,21,61.942868508836
"143",2009,1,6,22,68.8163714691346
"144",2009,1,6,23,81.2202430545604
"145",2009,1,7,0,79.926882073264
"146",2009,1,7,1,68.6675172015087
"147",2009,1,7,2,62.6725058420782
"148",2009,1,7,3,61.0885125407401
"149",2009,1,7,4,60.1841663572806
"150",2009,1,7,5,69.4431042283468
"151",2009,1,7,6,78.9909122445028
"152",2009,1,7,7,76.1105311038211
"153",2009,1,7,8,61.4731917572169
"154",2009,1,7,9,42.0091640987767
"155",2009,1,7,10,43.4870119731671
"156",2009,1,7,11,63.86022992656
"157",2009,1,7,12,86.7783528340734
"158",2009,1,7,13,91.3015318064825
"159",2009,1,7,14,88.2652749869675
"160",2009,1,7,15,80.2711827622447
"161",2009,1,7,16,74.2372662989926
"162",2009,1,7,17,66.5568160877491
"163",2009,1,7,18,52.7436549636989
"164",2009,1,7,19,39.6154494964997
"165",2009,1,7,20,49.698066664786
"166",2009,1,7,21,62.9796838528046
"167",2009,1,7,22,74.7829088934061
"168",2009,1,7,23,83.3646394321704
"169",2009,1,8,0,88.9119718844334
"170",2009,1,8,1,88.9519125262907
"171",2009,1,8,2,87.0568722115067
"172",2009,1,8,3,85.8094834660969
"173",2009,1,8,4,51.4188335564581
"174",2009,1,8,5,23.3150925458968
"175",2009,1,8,6,1.09682729606391
"176",2009,1,8,7,0
"177",2009,1,8,8,0
"178",2009,1,8,9,0
"179",2009,1,8,10,0.900332385292947
"180",2009,1,8,11,59.5249964955109
"181",2009,1,8,12,66.4037259037234
"182",2009,1,8,13,69.0197710491203
"183",2009,1,8,14,68.9321726810618
"184",2009,1,8,15,59.0647579677137
"185",2009,1,8,16,23.1718052075381
"186",2009,1,8,17,0.276702034928363
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0.085453906203294
"190",2009,1,8,21,0.615471803708996
"191",2009,1,8,22,0
"192",2009,1,8,23,0
"193",2009,1,9,0,1.07157459709136
"194",2009,1,9,1,9.4718709468275
"195",2009,1,9,2,34.5159010713502
"196",2009,1,9,3,64.8476847180003
"197",2009,1,9,4,81.8231224889206
"198",2009,1,9,5,90.3692649581747
"199",2009,1,9,6,97.9504705633427
"200",2009,1,9,7,100
"201",2009,1,9,8,100
"202",2009,1,9,9,98.9227965494467
"203",2009,1,9,10,87.5536409336187
"204",2009,1,9,11,53.0462254953319
"205",2009,1,9,12,35.7458070343902
"206",2009,1,9,13,21.6440682242311
"207",2009,1,9,14,4.82243601174645
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,0
"232",2009,1,10,15,0
"233",2009,1,10,16,0
"234",2009,1,10,17,3.38914293299407
"235",2009,1,10,18,75.5977573261379
"236",2009,1,10,19,80.5566014974874
"237",2009,1,10,20,76.8063907429322
"238",2009,1,10,21,76.5920584326137
"239",2009,1,10,22,79.3770690995817
"240",2009,1,10,23,80.7646602055687
"241",2009,1,11,0,79.6048867131705
"242",2009,1,11,1,82.03428438143
"243",2009,1,11,2,70.1189496999031
"244",2009,1,11,3,41.6975793044905
"245",2009,1,11,4,0.94997866388569
"246",2009,1,11,5,0
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,8.52650415566699
"256",2009,1,11,15,6.38941899709569
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,0
"260",2009,1,11,19,0
"261",2009,1,11,20,0
"262",2009,1,11,21,0
"263",2009,1,11,22,0
"264",2009,1,11,23,4.1846223054617
"265",2009,1,12,0,32.9151946163821
"266",2009,1,12,1,48.2953857500162
"267",2009,1,12,2,61.5272437788877
"268",2009,1,12,3,85.6890378218831
"269",2009,1,12,4,98.5089886090933
"270",2009,1,12,5,100
"271",2009,1,12,6,100
"272",2009,1,12,7,100
"273",2009,1,12,8,99.3960112112537
"274",2009,1,12,9,89.3583961155139
"275",2009,1,12,10,67.0961480342447
"276",2009,1,12,11,43.6975317740738
"277",2009,1,12,12,40.4509610691121
"278",2009,1,12,13,60.4277780144541
"279",2009,1,12,14,62.0379915554919
"280",2009,1,12,15,60.2432486787341
"281",2009,1,12,16,59.4857538953432
"282",2009,1,12,17,38.1538479839249
"283",2009,1,12,18,1.630156824383
"284",2009,1,12,19,0
"285",2009,1,12,20,0
"286",2009,1,12,21,0
"287",2009,1,12,22,0
"288",2009,1,12,23,0
"289",2009,1,13,0,0
"290",2009,1,13,1,0
"291",2009,1,13,2,0
"292",2009,1,13,3,0
"293",2009,1,13,4,0
"294",2009,1,13,5,0
"295",2009,1,13,6,0
"296",2009,1,13,7,0
"297",2009,1,13,8,0
"298",2009,1,13,9,0
"299",2009,1,13,10,0
"300",2009,1,13,11,0
"301",2009,1,13,12,0
"302",2009,1,13,13,0.344692142683597
"303",2009,1,13,14,9.17758093761213
"304",2009,1,13,15,24.8982652979847
"305",2009,1,13,16,46.1027717016004
"306",2009,1,13,17,52.3132005017063
"307",2009,1,13,18,46.1488980548857
"308",2009,1,13,19,44.2016715509148
"309",2009,1,13,20,51.1183755159664
"310",2009,1,13,21,63.8043778000458
"311",2009,1,13,22,65.9819866844212
"312",2009,1,13,23,73.2993816299895
"313",2009,1,14,0,83.7961410644702
"314",2009,1,14,1,88.9221603478206
"315",2009,1,14,2,91.4324658783996
"316",2009,1,14,3,95.2441563478187
"317",2009,1,14,4,98.5323324622137
"318",2009,1,14,5,99.3256578036558
"319",2009,1,14,6,99.8568425786856
"320",2009,1,14,7,100
"321",2009,1,14,8,100
"322",2009,1,14,9,100
"323",2009,1,14,10,100
"324",2009,1,14,11,100
"325",2009,1,14,12,100
"326",2009,1,14,13,98.1649631180959
"327",2009,1,14,14,88.5474588104769
"328",2009,1,14,15,71.9370414562411
"329",2009,1,14,16,50.8377619911448
"330",2009,1,14,17,36.519193227575
"331",2009,1,14,18,35.3016943979218
"332",2009,1,14,19,41.9133546717688
"333",2009,1,14,20,53.3776209014675
"334",2009,1,14,21,65.5527707031371
"335",2009,1,14,22,74.536038649201
"336",2009,1,14,23,81.9789640882659
"337",2009,1,15,0,85.7032717949472
"338",2009,1,15,1,85.4530003053266
"339",2009,1,15,2,85.4930332654648
"340",2009,1,15,3,87.7994530222317
"341",2009,1,15,4,89.3039996105152
"342",2009,1,15,5,86.9150448284528
"343",2009,1,15,6,85.9233718833209
"344",2009,1,15,7,81.7215224734211
"345",2009,1,15,8,58.3492853203374
"346",2009,1,15,9,10.8085598291909
"347",2009,1,15,10,1.31942065042963
"348",2009,1,15,11,22.1850115080019
"349",2009,1,15,12,46.6442473867784
"350",2009,1,15,13,54.9853711681297
"351",2009,1,15,14,65.086598725621
"352",2009,1,15,15,77.6719674277485
"353",2009,1,15,16,80.8695112576625
"354",2009,1,15,17,80.721219158847
"355",2009,1,15,18,79.1759244521624
"356",2009,1,15,19,75.6440963858291
"357",2009,1,15,20,64.768397936959
"358",2009,1,15,21,54.5080565621145
"359",2009,1,15,22,52.675472975964
"360",2009,1,15,23,39.5399564553232
"361",2009,1,16,0,15.8285937419779
"362",2009,1,16,1,1.09277529155995
"363",2009,1,16,2,2.08979918301332
"364",2009,1,16,3,2.31648229044462
"365",2009,1,16,4,1.51012871291243
"366",2009,1,16,5,16.7571883096997
"367",2009,1,16,6,43.6941448387814
"368",2009,1,16,7,35.6849132575659
"369",2009,1,16,8,22.4024146398085
"370",2009,1,16,9,20.5191547372561
"371",2009,1,16,10,0
"372",2009,1,16,11,0.853428459015084
"373",2009,1,16,12,8.00420991652094
"374",2009,1,16,13,29.226879192174
"375",2009,1,16,14,25.4289472721018
"376",2009,1,16,15,1.45622272204244
"377",2009,1,16,16,0
"378",2009,1,16,17,0
"379",2009,1,16,18,0
"380",2009,1,16,19,0
"381",2009,1,16,20,3.17005826408139
"382",2009,1,16,21,7.58868947703131
"383",2009,1,16,22,14.1918595912695
"384",2009,1,16,23,15.2302853866541
"385",2009,1,17,0,5.21235338933492
"386",2009,1,17,1,5.40316878160454
"387",2009,1,17,2,11.7707070033021
"388",2009,1,17,3,15.3511233573522
"389",2009,1,17,4,14.2229542398239
"390",2009,1,17,5,25.1357409466252
"391",2009,1,17,6,35.0781658858338
"392",2009,1,17,7,44.6069253632235
"393",2009,1,17,8,21.591602701719
"394",2009,1,17,9,7.68353860771112
"395",2009,1,17,10,6.71346440278152
"396",2009,1,17,11,8.37081998146101
"397",2009,1,17,12,19.4670124367628
"398",2009,1,17,13,34.3602225888514
"399",2009,1,17,14,54.7986673793492
"400",2009,1,17,15,60.9276156929189
"401",2009,1,17,16,57.3761680531178
"402",2009,1,17,17,37.4157232639647
"403",2009,1,17,18,11.2647390085893
"404",2009,1,17,19,0
"405",2009,1,17,20,0
"406",2009,1,17,21,0
"407",2009,1,17,22,0
"408",2009,1,17,23,0
"409",2009,1,18,0,0
"410",2009,1,18,1,0
"411",2009,1,18,2,5.50594529769243
"412",2009,1,18,3,10.9896913176154
"413",2009,1,18,4,4.47566631266082
"414",2009,1,18,5,0.0169272066475897
"415",2009,1,18,6,1.79741128826493
"416",2009,1,18,7,2.94620246436712
"417",2009,1,18,8,7.20499575833434
"418",2009,1,18,9,7.1127684444559
"419",2009,1,18,10,9.47259174731202
"420",2009,1,18,11,14.169803397576
"421",2009,1,18,12,20.0255440779157
"422",2009,1,18,13,28.7335298376646
"423",2009,1,18,14,27.453623306184
"424",2009,1,18,15,30.5711461687019
"425",2009,1,18,16,37.8793542765907
"426",2009,1,18,17,46.7576403021307
"427",2009,1,18,18,50.2504294248551
"428",2009,1,18,19,43.2103683843046
"429",2009,1,18,20,33.3405488545763
"430",2009,1,18,21,15.2760958228718
"431",2009,1,18,22,0.891937099901635
"432",2009,1,18,23,0
"433",2009,1,19,0,0
"434",2009,1,19,1,0.0714569210363003
"435",2009,1,19,2,11.5225750973533
"436",2009,1,19,3,30.0063138256404
"437",2009,1,19,4,54.2439166303966
"438",2009,1,19,5,68.398856905752
"439",2009,1,19,6,79.2830618564981
"440",2009,1,19,7,89.0610056573801
"441",2009,1,19,8,94.7613368858821
"442",2009,1,19,9,97.1816850747796
"443",2009,1,19,10,93.6095877864178
"444",2009,1,19,11,85.3536152021575
"445",2009,1,19,12,87.6726521867583
"446",2009,1,19,13,87.9130814239136
"447",2009,1,19,14,83.50530071218
"448",2009,1,19,15,77.90529522934
"449",2009,1,19,16,62.957615116073
"450",2009,1,19,17,46.6008328957193
"451",2009,1,19,18,28.0240111749876
"452",2009,1,19,19,7.06717940935747
"453",2009,1,19,20,1.59819179082316
"454",2009,1,19,21,6.70654499302501
"455",2009,1,19,22,26.9373647304116
"456",2009,1,19,23,52.8265678408803
"457",2009,1,20,0,73.9107788308779
"458",2009,1,20,1,64.8192176684078
"459",2009,1,20,2,34.3397577954648
"460",2009,1,20,3,20.4662179566143
"461",2009,1,20,4,16.0553199944351
"462",2009,1,20,5,23.4545867399889
"463",2009,1,20,6,39.9396343273528
"464",2009,1,20,7,61.8280011574266
"465",2009,1,20,8,82.5385518423157
"466",2009,1,20,9,84.880281590074
"467",2009,1,20,10,89.2640524128384
"468",2009,1,20,11,89.35736366606
"469",2009,1,20,12,86.8002934258945
"470",2009,1,20,13,92.8920915930651
"471",2009,1,20,14,98.8157526538027
"472",2009,1,20,15,98.6470958496168
"473",2009,1,20,16,97.8426140205438
"474",2009,1,20,17,99.7641043868519
"475",2009,1,20,18,100
"476",2009,1,20,19,100
"477",2009,1,20,20,100
"478",2009,1,20,21,100
"479",2009,1,20,22,99.1530948293369
"480",2009,1,20,23,96.7375068838877
"481",2009,1,21,0,98.252311697041
"482",2009,1,21,1,98.6853310158759
"483",2009,1,21,2,97.9833462442797
"484",2009,1,21,3,95.6203428175864
"485",2009,1,21,4,96.2399172690684
"486",2009,1,21,5,93.8254815893861
"487",2009,1,21,6,90.364819136747
"488",2009,1,21,7,92.1333454698752
"489",2009,1,21,8,92.7878010738928
"490",2009,1,21,9,89.9660540309442
"491",2009,1,21,10,82.6141284021907
"492",2009,1,21,11,65.5577077560721
"493",2009,1,21,12,55.2513732555559
"494",2009,1,21,13,71.0998016892706
"495",2009,1,21,14,85.1736212678251
"496",2009,1,21,15,92.3831686216443
"497",2009,1,21,16,96.5900720526079
"498",2009,1,21,17,99.253372633352
"499",2009,1,21,18,100
"500",2009,1,21,19,100
"501",2009,1,21,20,100
"502",2009,1,21,21,100
"503",2009,1,21,22,100
"504",2009,1,21,23,100
"505",2009,1,22,0,87.9383743415358
"506",2009,1,22,1,38.3226740516389
"507",2009,1,22,2,45.4453023722024
"508",2009,1,22,3,39.8681760404192
"509",2009,1,22,4,43.7680979016936
"510",2009,1,22,5,26.0262197249859
"511",2009,1,22,6,9.0332062448214
"512",2009,1,22,7,31.0328481959478
"513",2009,1,22,8,20.9366563248231
"514",2009,1,22,9,8.69120851729803
"515",2009,1,22,10,4.71896824237874
"516",2009,1,22,11,0
"517",2009,1,22,12,0
"518",2009,1,22,13,0
"519",2009,1,22,14,0
"520",2009,1,22,15,0
"521",2009,1,22,16,0
"522",2009,1,22,17,0
"523",2009,1,22,18,0
"524",2009,1,22,19,0
"525",2009,1,22,20,0
"526",2009,1,22,21,1.15392960850011
"527",2009,1,22,22,12.542245024072
"528",2009,1,22,23,25.3563340817032
"529",2009,1,23,0,36.3613635518292
"530",2009,1,23,1,42.4336477486977
