,year,month,day,hour,Outage
1,2009,1,1,0,91.59404167
2,2009,1,1,1,93.74963957
3,2009,1,1,2,96.06862206
4,2009,1,1,3,96.1782312
5,2009,1,1,4,97.96305877
6,2009,1,1,5,99.11715654
7,2009,1,1,6,98.72396627
8,2009,1,1,7,99.74990785
9,2009,1,1,8,100
10,2009,1,1,9,99.50004196
11,2009,1,1,10,96.87326035
12,2009,1,1,11,94.38662779
13,2009,1,1,12,93.11837198
14,2009,1,1,13,90.3437524
15,2009,1,1,14,51.59389722
16,2009,1,1,15,0
17,2009,1,1,16,0
18,2009,1,1,17,0
19,2009,1,1,18,0
20,2009,1,1,19,0
21,2009,1,1,20,0
22,2009,1,1,21,0
23,2009,1,1,22,0.113803237
24,2009,1,1,23,16.56258448
25,2009,1,2,0,59.60956074
26,2009,1,2,1,28.66048399
27,2009,1,2,2,54.82715088
28,2009,1,2,3,79.21053343
29,2009,1,2,4,86.42024161
30,2009,1,2,5,83.8673662
31,2009,1,2,6,80.44983592
32,2009,1,2,7,75.46887397
33,2009,1,2,8,73.93808038
34,2009,1,2,9,67.4203589
35,2009,1,2,10,43.95460442
36,2009,1,2,11,9.47394341
37,2009,1,2,12,5.671568902
38,2009,1,2,13,25.6824822
39,2009,1,2,14,32.34432307
40,2009,1,2,15,43.62286366
41,2009,1,2,16,49.28576887
42,2009,1,2,17,50.43727437
43,2009,1,2,18,56.17332432
44,2009,1,2,19,64.94572163
45,2009,1,2,20,79.78852492
46,2009,1,2,21,86.02090111
47,2009,1,2,22,88.88600354
48,2009,1,2,23,91.86628832
49,2009,1,3,0,95.06215386
50,2009,1,3,1,98.4035812
51,2009,1,3,2,99.73591316
52,2009,1,3,3,100
53,2009,1,3,4,100
54,2009,1,3,5,100
55,2009,1,3,6,100
56,2009,1,3,7,98.23780637
57,2009,1,3,8,91.32275487
58,2009,1,3,9,77.41581479
59,2009,1,3,10,65.70733669
60,2009,1,3,11,37.10860031
61,2009,1,3,12,9.465156471
62,2009,1,3,13,8.067055081
63,2009,1,3,14,26.21934856
64,2009,1,3,15,38.29689595
65,2009,1,3,16,37.76241131
66,2009,1,3,17,44.05332686
67,2009,1,3,18,51.26593703
68,2009,1,3,19,50.61743457
69,2009,1,3,20,45.94539607
70,2009,1,3,21,47.02197725
71,2009,1,3,22,45.33516683
72,2009,1,3,23,41.34398253
73,2009,1,4,0,52.69653541
74,2009,1,4,1,72.41647923
75,2009,1,4,2,87.93939521
76,2009,1,4,3,93.27081433
77,2009,1,4,4,90.82061859
78,2009,1,4,5,91.39778888
79,2009,1,4,6,96.43085441
80,2009,1,4,7,96.55050499
81,2009,1,4,8,92.21352445
82,2009,1,4,9,86.66323491
83,2009,1,4,10,83.48847022
84,2009,1,4,11,83.02179763
85,2009,1,4,12,78.07970076
86,2009,1,4,13,68.53541991
87,2009,1,4,14,46.88425792
88,2009,1,4,15,13.86254619
89,2009,1,4,16,2.283776734
90,2009,1,4,17,23.30182448
91,2009,1,4,18,14.51618268
92,2009,1,4,19,7.615506476
93,2009,1,4,20,10.95229035
94,2009,1,4,21,3.220736084
95,2009,1,4,22,2.342032489
96,2009,1,4,23,1.793720448
97,2009,1,5,0,0
98,2009,1,5,1,0
99,2009,1,5,2,0
100,2009,1,5,3,0
101,2009,1,5,4,0
102,2009,1,5,5,0
103,2009,1,5,6,0
104,2009,1,5,7,0.038495339
105,2009,1,5,8,0
106,2009,1,5,9,0
107,2009,1,5,10,0
108,2009,1,5,11,0
109,2009,1,5,12,0
110,2009,1,5,13,0
111,2009,1,5,14,0
112,2009,1,5,15,0
113,2009,1,5,16,0
114,2009,1,5,17,0
115,2009,1,5,18,0
116,2009,1,5,19,0
117,2009,1,5,20,0
118,2009,1,5,21,0
119,2009,1,5,22,0
120,2009,1,5,23,0
121,2009,1,6,0,0
122,2009,1,6,1,0
123,2009,1,6,2,0
124,2009,1,6,3,0
125,2009,1,6,4,0
126,2009,1,6,5,0
127,2009,1,6,6,0
128,2009,1,6,7,0
129,2009,1,6,8,2.485000803
130,2009,1,6,9,17.99134404
131,2009,1,6,10,66.99368733
132,2009,1,6,11,99.04255473
133,2009,1,6,12,100
134,2009,1,6,13,100
135,2009,1,6,14,100
136,2009,1,6,15,100
137,2009,1,6,16,99.50175831
138,2009,1,6,17,88.32757084
139,2009,1,6,18,65.71082566
140,2009,1,6,19,27.30609374
141,2009,1,6,20,6.283813522
142,2009,1,6,21,26.83801951
143,2009,1,6,22,37.73961424
144,2009,1,6,23,30.0423311
145,2009,1,7,0,25.25198663
146,2009,1,7,1,19.41422646
147,2009,1,7,2,6.476823443
148,2009,1,7,3,0.059369942
149,2009,1,7,4,0
150,2009,1,7,5,2.047529343
151,2009,1,7,6,21.21142452
152,2009,1,7,7,45.44613677
153,2009,1,7,8,57.22077363
154,2009,1,7,9,76.9843595
155,2009,1,7,10,87.39401215
