"","year","month","day","hour","Outage"
"1",2009,1,1,0,71.3862046506076
"2",2009,1,1,1,74.2122422538362
"3",2009,1,1,2,90.1026565872143
"4",2009,1,1,3,93.2918316995744
"5",2009,1,1,4,98.2246720046758
"6",2009,1,1,5,100
"7",2009,1,1,6,100
"8",2009,1,1,7,100
"9",2009,1,1,8,100
"10",2009,1,1,9,100
"11",2009,1,1,10,99.391077005292
"12",2009,1,1,11,95.0813641881472
"13",2009,1,1,12,84.6980787317792
"14",2009,1,1,13,64.9448165404118
"15",2009,1,1,14,56.1485728381317
"16",2009,1,1,15,20.5257720866275
"17",2009,1,1,16,0
"18",2009,1,1,17,2.53935913741211
"19",2009,1,1,18,0.194731114332636
"20",2009,1,1,19,0
"21",2009,1,1,20,0
"22",2009,1,1,21,0
"23",2009,1,1,22,0
"24",2009,1,1,23,17.2596365073529
"25",2009,1,2,0,59.9132863724405
"26",2009,1,2,1,26.6264910110055
"27",2009,1,2,2,26.3851710279236
"28",2009,1,2,3,38.3519798349854
"29",2009,1,2,4,54.7390832422231
"30",2009,1,2,5,57.8955432068538
"31",2009,1,2,6,55.1459060835174
"32",2009,1,2,7,54.2648541192767
"33",2009,1,2,8,49.9820637277413
"34",2009,1,2,9,31.7873451885424
"35",2009,1,2,10,12.461318396581
"36",2009,1,2,11,0.0981388579002411
"37",2009,1,2,12,0
"38",2009,1,2,13,0.0848308034353669
"39",2009,1,2,14,5.12221899031816
"40",2009,1,2,15,17.8276820691319
"41",2009,1,2,16,32.9429968649786
"42",2009,1,2,17,48.2130749274736
"43",2009,1,2,18,59.6744885562848
"44",2009,1,2,19,64.3926745520352
"45",2009,1,2,20,75.5884072335362
"46",2009,1,2,21,80.9548283470813
"47",2009,1,2,22,83.9970905637464
"48",2009,1,2,23,88.7064962587525
"49",2009,1,3,0,91.8312598336369
"50",2009,1,3,1,96.7401152383424
"51",2009,1,3,2,99.272617936769
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,99.8842684856537
"56",2009,1,3,7,91.2961640201873
"57",2009,1,3,8,74.3530429341068
"58",2009,1,3,9,52.4152105445205
"59",2009,1,3,10,8.39626412363509
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0.997598629162374
"64",2009,1,3,15,0.00118660132212844
"65",2009,1,3,16,1.6439422979322
"66",2009,1,3,17,8.71337053598703
"67",2009,1,3,18,19.3325078032553
"68",2009,1,3,19,35.4700851193105
"69",2009,1,3,20,38.8111701947782
"70",2009,1,3,21,13.8044566268008
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,3.31629808327762
"74",2009,1,4,1,18.3341313306145
"75",2009,1,4,2,11.0931280107837
"76",2009,1,4,3,24.3206941804066
"77",2009,1,4,4,39.9942933435928
"78",2009,1,4,5,40.7573344770935
"79",2009,1,4,6,36.6274779595326
"80",2009,1,4,7,22.6966098032695
"81",2009,1,4,8,22.9223363058548
"82",2009,1,4,9,17.9736246374451
"83",2009,1,4,10,15.6441295182272
"84",2009,1,4,11,39.8198309818448
"85",2009,1,4,12,66.18790416277
"86",2009,1,4,13,35.2846068862545
"87",2009,1,4,14,17.5152580184008
"88",2009,1,4,15,9.33927661409349
"89",2009,1,4,16,0.0437586273981901
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,8.89721323417676
"131",2009,1,6,10,39.5462636865726
"132",2009,1,6,11,73.0638669153703
"133",2009,1,6,12,84.6340359635638
"134",2009,1,6,13,93.5315353397899
"135",2009,1,6,14,99.6410320942583
"136",2009,1,6,15,100
"137",2009,1,6,16,99.861365039532
"138",2009,1,6,17,96.0943561098628
"139",2009,1,6,18,83.7575177084832
"140",2009,1,6,19,69.336064615516
"141",2009,1,6,20,60.2489694772466
"142",2009,1,6,21,66.2433005964554
"143",2009,1,6,22,77.3035780393088
"144",2009,1,6,23,84.3029969479688
"145",2009,1,7,0,89.6596652209898
"146",2009,1,7,1,88.014735576681
"147",2009,1,7,2,90.7995369442758
"148",2009,1,7,3,91.475670095339
"149",2009,1,7,4,89.7039638400691
"150",2009,1,7,5,90.275754326038
"151",2009,1,7,6,93.0035658012268
"152",2009,1,7,7,95.3421876205202
"153",2009,1,7,8,95.0306450406947
"154",2009,1,7,9,92.1624187496874
"155",2009,1,7,10,95.0050544652406
"156",2009,1,7,11,99.3736301897688
"157",2009,1,7,12,100
"158",2009,1,7,13,100
"159",2009,1,7,14,100
"160",2009,1,7,15,100
"161",2009,1,7,16,100
"162",2009,1,7,17,99.7551242489778
"163",2009,1,7,18,99.6481338828317
"164",2009,1,7,19,100
"165",2009,1,7,20,100
"166",2009,1,7,21,100
"167",2009,1,7,22,100
"168",2009,1,7,23,100
"169",2009,1,8,0,99.2248676520439
"170",2009,1,8,1,94.4852848017851
"171",2009,1,8,2,82.4106929044852
"172",2009,1,8,3,47.7217565047828
"173",2009,1,8,4,12.2776177806994
"174",2009,1,8,5,0
"175",2009,1,8,6,0
"176",2009,1,8,7,0
"177",2009,1,8,8,21.1134440497366
"178",2009,1,8,9,61.2401849323014
"179",2009,1,8,10,49.355614743493
"180",2009,1,8,11,49.2498539723045
"181",2009,1,8,12,75.2251863445767
"182",2009,1,8,13,82.8464096697796
"183",2009,1,8,14,77.5226141104004
"184",2009,1,8,15,58.5402779837034
"185",2009,1,8,16,24.7658537764896
"186",2009,1,8,17,2.32580720894006
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,0
"193",2009,1,9,0,4.16128726267614
"194",2009,1,9,1,21.5080947256835
"195",2009,1,9,2,40.8692681810083
"196",2009,1,9,3,62.2292353265186
"197",2009,1,9,4,76.8370720374324
"198",2009,1,9,5,86.4500573871923
"199",2009,1,9,6,92.894902113348
"200",2009,1,9,7,99.8861095065056
"201",2009,1,9,8,99.5460452391139
"202",2009,1,9,9,85.4709130836575
"203",2009,1,9,10,35.6844669645286
"204",2009,1,9,11,0.0179917742329043
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
"208",2009,1,9,15,0
"209",2009,1,9,16,0
"210",2009,1,9,17,0
"211",2009,1,9,18,0
"212",2009,1,9,19,0
"213",2009,1,9,20,0
"214",2009,1,9,21,0
"215",2009,1,9,22,0
"216",2009,1,9,23,0
"217",2009,1,10,0,0
"218",2009,1,10,1,0
"219",2009,1,10,2,0
"220",2009,1,10,3,0
"221",2009,1,10,4,0
"222",2009,1,10,5,0
"223",2009,1,10,6,0
"224",2009,1,10,7,0
"225",2009,1,10,8,0
"226",2009,1,10,9,0
"227",2009,1,10,10,0
"228",2009,1,10,11,0
"229",2009,1,10,12,0
"230",2009,1,10,13,0
"231",2009,1,10,14,4.02478950859861
"232",2009,1,10,15,36.4307002143529
"233",2009,1,10,16,22.3280113996577
"234",2009,1,10,17,9.15784509707578
"235",2009,1,10,18,7.20977676165617
"236",2009,1,10,19,13.1761215210116
"237",2009,1,10,20,22.8859100120525
"238",2009,1,10,21,48.4126109937824
"239",2009,1,10,22,64.0451308210639
"240",2009,1,10,23,76.5435413104883
"241",2009,1,11,0,82.7380654760839
"242",2009,1,11,1,80.3849471425512
"243",2009,1,11,2,78.1426851171131
"244",2009,1,11,3,29.1971014159541
"245",2009,1,11,4,0
"246",2009,1,11,5,0
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,0
"250",2009,1,11,9,0
"251",2009,1,11,10,0
"252",2009,1,11,11,0
"253",2009,1,11,12,0
"254",2009,1,11,13,0
"255",2009,1,11,14,1.46729053473378
"256",2009,1,11,15,0
"257",2009,1,11,16,0
"258",2009,1,11,17,0
"259",2009,1,11,18,0
"260",2009,1,11,19,0
"261",2009,1,11,20,0
"262",2009,1,11,21,0
"263",2009,1,11,22,0
"264",2009,1,11,23,0
"265",2009,1,12,0,0.426553140132826
"266",2009,1,12,1,46.5925862495816
"267",2009,1,12,2,87.2909928964436
"268",2009,1,12,3,96.4889881386739
"269",2009,1,12,4,99.8895613566019
"270",2009,1,12,5,100
"271",2009,1,12,6,100
"272",2009,1,12,7,100
"273",2009,1,12,8,100
"274",2009,1,12,9,99.2818739171392
"275",2009,1,12,10,88.4042624242444
"276",2009,1,12,11,53.2000715027953
"277",2009,1,12,12,5.07074443454904
"278",2009,1,12,13,7.39522547314096
"279",2009,1,12,14,8.95284255114967
"280",2009,1,12,15,12.9154343211252
"281",2009,1,12,16,16.5207289300208
"282",2009,1,12,17,25.7695757191078
"283",2009,1,12,18,38.7601400778969
"284",2009,1,12,19,15.7122158421483
"285",2009,1,12,20,0
"286",2009,1,12,21,0
"287",2009,1,12,22,0
"288",2009,1,12,23,0
"289",2009,1,13,0,0
"290",2009,1,13,1,0
"291",2009,1,13,2,0
"292",2009,1,13,3,0
