"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,0
"6",2009,1,1,5,0
"7",2009,1,1,6,0
"8",2009,1,1,7,0
"9",2009,1,1,8,13.4319025652692
"10",2009,1,1,9,61.9123223719524
"11",2009,1,1,10,82.3914987082573
"12",2009,1,1,11,92.4576467975431
"13",2009,1,1,12,94.7525274383445
"14",2009,1,1,13,91.154898991348
"15",2009,1,1,14,85.0630451854291
"16",2009,1,1,15,84.3128015020938
"17",2009,1,1,16,90.6314829084594
"18",2009,1,1,17,98.5024374308373
"19",2009,1,1,18,99.8624436505931
"20",2009,1,1,19,95.6934015894976
"21",2009,1,1,20,99.5622082407705
"22",2009,1,1,21,93.9890955146291
"23",2009,1,1,22,91.774083954134
"24",2009,1,1,23,90.9211134135316
"25",2009,1,2,0,86.3171772995914
"26",2009,1,2,1,87.5957075380016
"27",2009,1,2,2,85.2857297509112
"28",2009,1,2,3,83.9029565141063
"29",2009,1,2,4,87.1615429005297
"30",2009,1,2,5,87.770447492721
"31",2009,1,2,6,86.38850149388
"32",2009,1,2,7,86.4764138105838
"33",2009,1,2,8,81.8796964688649
"34",2009,1,2,9,79.448319438595
"35",2009,1,2,10,77.5130486678579
"36",2009,1,2,11,73.1903193056254
"37",2009,1,2,12,81.2160000955287
"38",2009,1,2,13,86.1440657739154
"39",2009,1,2,14,91.6365295114016
"40",2009,1,2,15,98.0322211354254
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,99.1985764095924
"52",2009,1,3,3,97.8441264892682
"53",2009,1,3,4,100
"54",2009,1,3,5,99.1788567731182
"55",2009,1,3,6,98.9344204079462
"56",2009,1,3,7,97.0825654211137
"57",2009,1,3,8,93.6015558283496
"58",2009,1,3,9,84.992217287048
"59",2009,1,3,10,77.5863170536916
"60",2009,1,3,11,80.911370675822
"61",2009,1,3,12,90.6034941669923
"62",2009,1,3,13,89.7082465855553
"63",2009,1,3,14,31.9363726430788
"64",2009,1,3,15,0
"65",2009,1,3,16,3.05256424133793
"66",2009,1,3,17,56.0720623753607
"67",2009,1,3,18,85.5290002528893
"68",2009,1,3,19,35.3209112757481
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,8.89966480017788
"74",2009,1,4,1,30.3990230802522
"75",2009,1,4,2,17.4906993080225
"76",2009,1,4,3,0.0818532045836299
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,30.6096011167242
"87",2009,1,4,14,75.169196687401
"88",2009,1,4,15,78.5275991632358
"89",2009,1,4,16,79.0136032125242
"90",2009,1,4,17,68.701447426987
"91",2009,1,4,18,53.3235224077706
"92",2009,1,4,19,61.0735599761316
"93",2009,1,4,20,36.4404601520115
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0.207111374048783
"100",2009,1,5,3,7.08040086381155
"101",2009,1,5,4,7.50168749594681
"102",2009,1,5,5,16.4461959364078
"103",2009,1,5,6,29.8938295249589
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,3.99009764368246
"107",2009,1,5,10,58.8713631711147
"108",2009,1,5,11,75.2125490284254
"109",2009,1,5,12,76.7448762002762
"110",2009,1,5,13,68.067472057786
"111",2009,1,5,14,4.64650355791648
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0.30548749832293
"120",2009,1,5,23,34.7360151088028
"121",2009,1,6,0,75.1346196329206
"122",2009,1,6,1,86.9568948441649
"123",2009,1,6,2,97.3713349766069
"124",2009,1,6,3,87.1639416082114
"125",2009,1,6,4,39.2218567717827
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,11.7198994589261
"132",2009,1,6,11,96.7489279114125
"133",2009,1,6,12,100
"134",2009,1,6,13,99.8648945432328
"135",2009,1,6,14,81.9594587080081
"136",2009,1,6,15,49.7448916895506
"137",2009,1,6,16,30.5573629008548
"138",2009,1,6,17,17.4830261895439
"139",2009,1,6,18,11.7066523071475
"140",2009,1,6,19,14.6127764604465
"141",2009,1,6,20,32.8487968565357
"142",2009,1,6,21,58.8604825679373
"143",2009,1,6,22,83.3719055435241
"144",2009,1,6,23,96.7668724456599
"145",2009,1,7,0,99.3976413105298
"146",2009,1,7,1,100
"147",2009,1,7,2,100
"148",2009,1,7,3,94.1815994909205
"149",2009,1,7,4,18.1860221863606
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0
"153",2009,1,7,8,0
"154",2009,1,7,9,0
"155",2009,1,7,10,0
"156",2009,1,7,11,0
"157",2009,1,7,12,0
"158",2009,1,7,13,0
"159",2009,1,7,14,0
"160",2009,1,7,15,0
"161",2009,1,7,16,0
"162",2009,1,7,17,0
"163",2009,1,7,18,0
"164",2009,1,7,19,0
"165",2009,1,7,20,0
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0
"169",2009,1,8,0,0
"170",2009,1,8,1,0
"171",2009,1,8,2,27.3394108321213
"172",2009,1,8,3,66.1302190249785
"173",2009,1,8,4,88.4472334926155
"174",2009,1,8,5,91.8926835211686
"175",2009,1,8,6,93.9033096140758
"176",2009,1,8,7,94.636618648071
"177",2009,1,8,8,99.0015715155353
"178",2009,1,8,9,99.8949318646721
"179",2009,1,8,10,86.6308110157473
"180",2009,1,8,11,65.232051083627
"181",2009,1,8,12,60.7059327739659
"182",2009,1,8,13,57.6812005055596
"183",2009,1,8,14,53.2179255293425
"184",2009,1,8,15,60.3365602454452
"185",2009,1,8,16,53.0634770030897
"186",2009,1,8,17,52.6243440348584
"187",2009,1,8,18,53.7029382341558
"188",2009,1,8,19,61.0043100099204
"189",2009,1,8,20,86.810245091325
"190",2009,1,8,21,93.0008871505908
"191",2009,1,8,22,99.6088545971044
"192",2009,1,8,23,100
"193",2009,1,9,0,100
"194",2009,1,9,1,100
"195",2009,1,9,2,99.8604729902027
"196",2009,1,9,3,96.382609669592
"197",2009,1,9,4,79.6654342809408
"198",2009,1,9,5,24.8386508536432
"199",2009,1,9,6,92.772581578458
"200",2009,1,9,7,99.5426575243895
"201",2009,1,9,8,99.7258234586207
