"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,0
"4",2009,1,1,3,0
"5",2009,1,1,4,9.84521663959242
"6",2009,1,1,5,30.138580204259
"7",2009,1,1,6,72.753357419378
"8",2009,1,1,7,86.00518560943
"9",2009,1,1,8,97.4720646959916
"10",2009,1,1,9,99.8528421717028
"11",2009,1,1,10,100
"12",2009,1,1,11,100
"13",2009,1,1,12,94.1273882840399
"14",2009,1,1,13,80.3565736602731
"15",2009,1,1,14,72.450569243076
"16",2009,1,1,15,49.0806913356465
"17",2009,1,1,16,27.9739086890619
"18",2009,1,1,17,34.9213014906684
"19",2009,1,1,18,58.4345046804069
"20",2009,1,1,19,64.7484197168339
"21",2009,1,1,20,82.3434689612305
"22",2009,1,1,21,89.4396605654623
"23",2009,1,1,22,91.7754552595596
"24",2009,1,1,23,79.8727879757764
"25",2009,1,2,0,75.1506924499582
"26",2009,1,2,1,57.6857367238154
"27",2009,1,2,2,34.5782905969377
"28",2009,1,2,3,28.9480453848977
"29",2009,1,2,4,45.4232491756056
"30",2009,1,2,5,41.547797561104
"31",2009,1,2,6,38.0897293808217
"32",2009,1,2,7,35.0864973842351
"33",2009,1,2,8,21.7639564584412
"34",2009,1,2,9,17.2700608497729
"35",2009,1,2,10,5.56249071710981
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0
"39",2009,1,2,14,0
"40",2009,1,2,15,0
"41",2009,1,2,16,0
"42",2009,1,2,17,0
"43",2009,1,2,18,0
"44",2009,1,2,19,0
"45",2009,1,2,20,7.43166539188177
"46",2009,1,2,21,20.7439489890164
"47",2009,1,2,22,29.3493201370111
"48",2009,1,2,23,35.1633130750911
"49",2009,1,3,0,40.0959557140543
"50",2009,1,3,1,42.8619446388859
"51",2009,1,3,2,35.4286782768649
"52",2009,1,3,3,34.137181461495
"53",2009,1,3,4,46.4563910805908
"54",2009,1,3,5,58.8493754127064
"55",2009,1,3,6,73.8540600038347
"56",2009,1,3,7,85.9111878131881
"57",2009,1,3,8,95.2050686150523
"58",2009,1,3,9,99.6132995589247
"59",2009,1,3,10,100
"60",2009,1,3,11,100
"61",2009,1,3,12,99.583690135278
"62",2009,1,3,13,98.9487689022517
"63",2009,1,3,14,97.4083499843568
"64",2009,1,3,15,96.2678600832376
"65",2009,1,3,16,96.0636450175234
"66",2009,1,3,17,96.8129939734405
"67",2009,1,3,18,98.1208671741756
"68",2009,1,3,19,99.1287959365998
"69",2009,1,3,20,100
"70",2009,1,3,21,100
"71",2009,1,3,22,100
"72",2009,1,3,23,100
"73",2009,1,4,0,100
"74",2009,1,4,1,100
"75",2009,1,4,2,100
"76",2009,1,4,3,97.1730178847536
"77",2009,1,4,4,82.6356930592613
"78",2009,1,4,5,64.5976040678094
"79",2009,1,4,6,63.6771958883763
"80",2009,1,4,7,74.4982454583716
"81",2009,1,4,8,83.9432385750476
"82",2009,1,4,9,76.6771090246412
"83",2009,1,4,10,67.4695726454063
"84",2009,1,4,11,51.2216219684625
"85",2009,1,4,12,28.5391579795687
"86",2009,1,4,13,18.3676633383226
"87",2009,1,4,14,6.78540048121307
"88",2009,1,4,15,0.36592575995299
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0.921353771211965
"112",2009,1,5,15,4.6615967984891
"113",2009,1,5,16,5.44725793810231
"114",2009,1,5,17,4.25276004211481
"115",2009,1,5,18,3.59024865617612
"116",2009,1,5,19,4.15859838853735
"117",2009,1,5,20,0.151253154729943
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,2.27166784319032
"127",2009,1,6,6,5.37788158893857
"128",2009,1,6,7,14.7456073259321
"129",2009,1,6,8,14.4051704801646
"130",2009,1,6,9,12.7981110411291
"131",2009,1,6,10,14.0947459811041
"132",2009,1,6,11,29.262170095072
"133",2009,1,6,12,48.3438741324067
"134",2009,1,6,13,62.0845911092689
"135",2009,1,6,14,75.4965284951144
"136",2009,1,6,15,88.5507133380799
"137",2009,1,6,16,93.6649355137451
"138",2009,1,6,17,97.2403309804739
"139",2009,1,6,18,99.0479346317117
"140",2009,1,6,19,100
"141",2009,1,6,20,100
"142",2009,1,6,21,100
"143",2009,1,6,22,100
"144",2009,1,6,23,96.4816484764846
"145",2009,1,7,0,87.7587117281
"146",2009,1,7,1,80.8082198259575
"147",2009,1,7,2,62.0816633382017
"148",2009,1,7,3,59.5691546672645
"149",2009,1,7,4,59.9673024553392
"150",2009,1,7,5,56.7025377652587
"151",2009,1,7,6,41.9395568563471
"152",2009,1,7,7,32.0944259419984
"153",2009,1,7,8,16.5063106214747
"154",2009,1,7,9,5.53868339303361
"155",2009,1,7,10,6.19528605444949
"156",2009,1,7,11,9.50486429704157
"157",2009,1,7,12,17.1291330193084
"158",2009,1,7,13,30.1657985819255
"159",2009,1,7,14,36.7652481444458
"160",2009,1,7,15,38.8577686530643
"161",2009,1,7,16,42.9371258133081
"162",2009,1,7,17,45.3201898131334
"163",2009,1,7,18,50.0750594050524
"164",2009,1,7,19,47.3110834499735
"165",2009,1,7,20,40.9047352498891
"166",2009,1,7,21,50.0911219125179
"167",2009,1,7,22,43.3745980692855
"168",2009,1,7,23,52.4505573210974
"169",2009,1,8,0,61.9774681710593
"170",2009,1,8,1,43.2961386397802
"171",2009,1,8,2,51.1494640416226
"172",2009,1,8,3,55.5646689070871
"173",2009,1,8,4,34.5877849747669
"174",2009,1,8,5,31.784602309376
"175",2009,1,8,6,52.6849409987149
"176",2009,1,8,7,72.1505245490333
"177",2009,1,8,8,80.399447465686
"178",2009,1,8,9,78.9173214635852
"179",2009,1,8,10,78.5516640063222
"180",2009,1,8,11,65.2346110410273
"181",2009,1,8,12,49.6758485254008
"182",2009,1,8,13,37.2128448000186
"183",2009,1,8,14,14.0865256427502
"184",2009,1,8,15,11.338145175098
"185",2009,1,8,16,2.51262627483716
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,0.472461914294436
"193",2009,1,9,0,8.30250625946167
"194",2009,1,9,1,8.69999440124664
"195",2009,1,9,2,10.4218674567128
"196",2009,1,9,3,6.97406686266323
"197",2009,1,9,4,9.15994345865908
