"","year","month","day","hour","Outage"
"1",2009,1,1,0,0
"2",2009,1,1,1,0
"3",2009,1,1,2,1.26611614486263
"4",2009,1,1,3,35.1963816395179
"5",2009,1,1,4,72.8181722830345
"6",2009,1,1,5,86.9323200457436
"7",2009,1,1,6,100
"8",2009,1,1,7,100
"9",2009,1,1,8,98.5092738105722
"10",2009,1,1,9,57.2951053573432
"11",2009,1,1,10,0.712736489137324
"12",2009,1,1,11,0
"13",2009,1,1,12,0
"14",2009,1,1,13,0
"15",2009,1,1,14,0
"16",2009,1,1,15,0
"17",2009,1,1,16,0
"18",2009,1,1,17,0
"19",2009,1,1,18,37.4618152061893
"20",2009,1,1,19,98.6479375125605
"21",2009,1,1,20,91.1604291121797
"22",2009,1,1,21,67.1478036541725
"23",2009,1,1,22,7.88911826321519
"24",2009,1,1,23,0
"25",2009,1,2,0,0
"26",2009,1,2,1,0
"27",2009,1,2,2,0
"28",2009,1,2,3,0
"29",2009,1,2,4,0
"30",2009,1,2,5,0
"31",2009,1,2,6,0
"32",2009,1,2,7,0
"33",2009,1,2,8,0
"34",2009,1,2,9,0
"35",2009,1,2,10,0
"36",2009,1,2,11,0
"37",2009,1,2,12,0
"38",2009,1,2,13,0
"39",2009,1,2,14,0
"40",2009,1,2,15,1.49223277691151
"41",2009,1,2,16,17.6649450192
"42",2009,1,2,17,42.1879240817203
"43",2009,1,2,18,51.9602917068132
"44",2009,1,2,19,49.4741861839439
"45",2009,1,2,20,38.9774436394102
"46",2009,1,2,21,28.1451972229385
"47",2009,1,2,22,19.2973464233148
"48",2009,1,2,23,19.7705397432721
"49",2009,1,3,0,26.5904623981857
"50",2009,1,3,1,38.6534878381209
"51",2009,1,3,2,59.4032316622253
"52",2009,1,3,3,81.8882255057281
"53",2009,1,3,4,92.7059705452613
"54",2009,1,3,5,97.5477318556567
"55",2009,1,3,6,99.0761476046969
"56",2009,1,3,7,97.9326823046139
"57",2009,1,3,8,89.8706291032193
"58",2009,1,3,9,78.9864816659963
"59",2009,1,3,10,59.7790012755275
"60",2009,1,3,11,58.4940011526618
"61",2009,1,3,12,77.4316076687146
"62",2009,1,3,13,82.7493271591377
"63",2009,1,3,14,89.4373917336853
"64",2009,1,3,15,93.0254944962778
"65",2009,1,3,16,91.5098014169859
"66",2009,1,3,17,86.0286549642269
"67",2009,1,3,18,82.0766544301296
"68",2009,1,3,19,73.8707863742554
"69",2009,1,3,20,62.1347802326512
"70",2009,1,3,21,37.8020218985888
"71",2009,1,3,22,35.727481505807
"72",2009,1,3,23,38.0234553078131
"73",2009,1,4,0,26.4728110099382
"74",2009,1,4,1,12.3945410973948
"75",2009,1,4,2,22.6852433971205
"76",2009,1,4,3,5.13984563611965
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,5.44003601747212
"81",2009,1,4,8,30.455981103439
"82",2009,1,4,9,55.8711036242049
"83",2009,1,4,10,66.2531004865546
"84",2009,1,4,11,75.776800436267
"85",2009,1,4,12,75.2783555859982
"86",2009,1,4,13,60.5410839384437
"87",2009,1,4,14,45.3563816710386
"88",2009,1,4,15,25.4194176287295
"89",2009,1,4,16,2.23494189174236
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0.0156070119820125
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,6.93318979961165
"108",2009,1,5,11,21.3983187318834
"109",2009,1,5,12,0.52853968300558
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
"127",2009,1,6,6,0
"128",2009,1,6,7,0
"129",2009,1,6,8,0
"130",2009,1,6,9,1.571461138743
"131",2009,1,6,10,2.32653316221885
"132",2009,1,6,11,12.595845580637
"133",2009,1,6,12,37.3015044056344
"134",2009,1,6,13,84.3968499801975
"135",2009,1,6,14,96.8289142744704
"136",2009,1,6,15,99.2284315623496
"137",2009,1,6,16,98.956848899034
"138",2009,1,6,17,100
"139",2009,1,6,18,99.7488005767233
"140",2009,1,6,19,97.6618344878982
"141",2009,1,6,20,84.0491307995837
"142",2009,1,6,21,60.1378030266245
"143",2009,1,6,22,28.237324094022
"144",2009,1,6,23,9.91695229963661
"145",2009,1,7,0,0.20709214653102
"146",2009,1,7,1,0
"147",2009,1,7,2,0
"148",2009,1,7,3,0
"149",2009,1,7,4,0
"150",2009,1,7,5,0
"151",2009,1,7,6,0
"152",2009,1,7,7,0.420274686636235
"153",2009,1,7,8,4.13183535752656
"154",2009,1,7,9,5.79352039651991
"155",2009,1,7,10,8.83100786333535
"156",2009,1,7,11,17.005496704369
"157",2009,1,7,12,32.5595466329894
"158",2009,1,7,13,52.4401788102776
"159",2009,1,7,14,69.5356858710214
"160",2009,1,7,15,77.4538365701901
"161",2009,1,7,16,85.0756354102789
"162",2009,1,7,17,91.5803741205829
"163",2009,1,7,18,95.0420618895464
"164",2009,1,7,19,95.1440678588165
"165",2009,1,7,20,91.1405612325365
"166",2009,1,7,21,79.3301212815778
"167",2009,1,7,22,52.2213933422558
"168",2009,1,7,23,31.9036073834127
"169",2009,1,8,0,16.7328501699331
"170",2009,1,8,1,30.1733296788431
"171",2009,1,8,2,36.9333006491927
"172",2009,1,8,3,29.0518844853683
"173",2009,1,8,4,37.5192681735729
"174",2009,1,8,5,44.3433242491869
"175",2009,1,8,6,68.7615244688885
"176",2009,1,8,7,99.4326416632338
"177",2009,1,8,8,99.476154428728
"178",2009,1,8,9,81.9411265413193
"179",2009,1,8,10,29.9663513681885
"180",2009,1,8,11,0
"181",2009,1,8,12,0
"182",2009,1,8,13,0
"183",2009,1,8,14,0
"184",2009,1,8,15,0
"185",2009,1,8,16,0
"186",2009,1,8,17,0
"187",2009,1,8,18,0
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,0
"193",2009,1,9,0,0
"194",2009,1,9,1,0
"195",2009,1,9,2,0
"196",2009,1,9,3,0
"197",2009,1,9,4,0
"198",2009,1,9,5,0.82495824495597
"199",2009,1,9,6,3.18193243214533
"200",2009,1,9,7,0
"201",2009,1,9,8,0
"202",2009,1,9,9,0
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,0
