"","year","month","day","hour","Outage"
"1",2009,1,1,0,79.0794891770435
"2",2009,1,1,1,89.7189564738055
"3",2009,1,1,2,97.5871892134033
"4",2009,1,1,3,99.7098025086396
"5",2009,1,1,4,100
"6",2009,1,1,5,99.804985043861
"7",2009,1,1,6,98.10908197819
"8",2009,1,1,7,93.8407569751504
"9",2009,1,1,8,95.4665598344934
"10",2009,1,1,9,92.9509355689534
"11",2009,1,1,10,91.3647373869266
"12",2009,1,1,11,94.5026579650073
"13",2009,1,1,12,97.842241838314
"14",2009,1,1,13,99.8556803725096
"15",2009,1,1,14,97.1493984465277
"16",2009,1,1,15,86.9566426351049
"17",2009,1,1,16,83.1521834883533
"18",2009,1,1,17,73.6004949601985
"19",2009,1,1,18,61.3189456281146
"20",2009,1,1,19,47.1366407235159
"21",2009,1,1,20,38.7558171458832
"22",2009,1,1,21,54.7374475357903
"23",2009,1,1,22,44.471380893474
"24",2009,1,1,23,38.9960564527797
"25",2009,1,2,0,41.0136517897396
"26",2009,1,2,1,52.2163823915677
"27",2009,1,2,2,62.5387365881051
"28",2009,1,2,3,74.6883122040416
"29",2009,1,2,4,82.9973717488376
"30",2009,1,2,5,87.949300181034
"31",2009,1,2,6,90.7499612280183
"32",2009,1,2,7,91.6045167648848
"33",2009,1,2,8,89.2983381862352
"34",2009,1,2,9,83.5219464893366
"35",2009,1,2,10,80.4487736885424
"36",2009,1,2,11,76.6386881499275
"37",2009,1,2,12,75.0760976610963
"38",2009,1,2,13,80.6871631411521
"39",2009,1,2,14,84.6095540548573
"40",2009,1,2,15,87.8461934742165
"41",2009,1,2,16,88.8676096768819
"42",2009,1,2,17,86.7786464138231
"43",2009,1,2,18,85.9808521774984
"44",2009,1,2,19,87.485092513842
"45",2009,1,2,20,89.6406927153096
"46",2009,1,2,21,91.7885577851017
"47",2009,1,2,22,95.6579693483979
"48",2009,1,2,23,99.2694979455173
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,99.3375064391482
"57",2009,1,3,8,98.5973343263287
"58",2009,1,3,9,98.143523884447
"59",2009,1,3,10,98.1486412773295
"60",2009,1,3,11,99.7396035878653
"61",2009,1,3,12,100
"62",2009,1,3,13,100
"63",2009,1,3,14,99.885330666352
"64",2009,1,3,15,98.1938171295419
"65",2009,1,3,16,95.5679011137302
"66",2009,1,3,17,91.8854318021315
"67",2009,1,3,18,92.0530601176785
"68",2009,1,3,19,91.1730591004827
"69",2009,1,3,20,83.2135337013685
"70",2009,1,3,21,67.0062109104826
"71",2009,1,3,22,21.9579317794089
"72",2009,1,3,23,0
"73",2009,1,4,0,0.0320762247159712
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0.504799845920005
"83",2009,1,4,10,6.70354965416869
"84",2009,1,4,11,0.938890801449553
"85",2009,1,4,12,1.64031145877308
"86",2009,1,4,13,12.4011168220406
"87",2009,1,4,14,19.4761223784479
