"","year","month","day","hour","Outage"
"1",2009,1,1,0,68.0646880467833
"2",2009,1,1,1,58.2328803351234
"3",2009,1,1,2,77.0831816820696
"4",2009,1,1,3,77.4972041064111
"5",2009,1,1,4,89.7213730713038
"6",2009,1,1,5,63.776825429723
"7",2009,1,1,6,76.9305880763042
"8",2009,1,1,7,88.052046457835
"9",2009,1,1,8,96.5794002216477
"10",2009,1,1,9,99.7793398471361
"11",2009,1,1,10,100
"12",2009,1,1,11,100
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,100
"20",2009,1,1,19,100
"21",2009,1,1,20,100
"22",2009,1,1,21,100
"23",2009,1,1,22,100
"24",2009,1,1,23,100
"25",2009,1,2,0,100
"26",2009,1,2,1,100
"27",2009,1,2,2,100
"28",2009,1,2,3,100
"29",2009,1,2,4,100
"30",2009,1,2,5,100
"31",2009,1,2,6,100
"32",2009,1,2,7,100
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,99.7337492364558
"44",2009,1,2,19,98.2099025600407
"45",2009,1,2,20,99.5695318392891
"46",2009,1,2,21,100
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,97.3375038501414
"52",2009,1,3,3,91.9752401909248
"53",2009,1,3,4,90.2974020049478
"54",2009,1,3,5,79.9367866061264
"55",2009,1,3,6,72.0334578062154
"56",2009,1,3,7,62.0418711899144
"57",2009,1,3,8,53.6277256696343
"58",2009,1,3,9,43.8814437825414
"59",2009,1,3,10,31.9141688099394
"60",2009,1,3,11,57.797153187872
"61",2009,1,3,12,67.4637015824228
"62",2009,1,3,13,79.9297812298475
"63",2009,1,3,14,84.2319385260087
"64",2009,1,3,15,78.191333483387
"65",2009,1,3,16,61.2050665823875
"66",2009,1,3,17,2.47083717141686
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,19.9608879663587
"84",2009,1,4,11,72.1785961428571
"85",2009,1,4,12,89.601516261437
"86",2009,1,4,13,93.6244797243356
"87",2009,1,4,14,75.0959548248035
"88",2009,1,4,15,67.6787585564891
"89",2009,1,4,16,71.8969693008454
"90",2009,1,4,17,73.5394949223141
"91",2009,1,4,18,18.2040505171336
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,5.37518223857066
"95",2009,1,4,22,4.56361978493487
"96",2009,1,4,23,13.3442817240434
"97",2009,1,5,0,43.084759296212
"98",2009,1,5,1,31.0609097651822
"99",2009,1,5,2,15.918997862006
"100",2009,1,5,3,8.73920259708183
"101",2009,1,5,4,9.46428487308623
"102",2009,1,5,5,3.62764864221006
"103",2009,1,5,6,12.3514682186065
"104",2009,1,5,7,23.4273149465406
"105",2009,1,5,8,26.2378513860109
"106",2009,1,5,9,11.4434610504361
"107",2009,1,5,10,9.89589712337198
"108",2009,1,5,11,40.3826033768723
"109",2009,1,5,12,68.2395976698157
"110",2009,1,5,13,68.9297912841556
"111",2009,1,5,14,78.9442622590401
"112",2009,1,5,15,57.4059235999609
"113",2009,1,5,16,35.7799868203835
"114",2009,1,5,17,18.4868261066458
"115",2009,1,5,18,1.12990386656891
"116",2009,1,5,19,1.26076533627836
"117",2009,1,5,20,12.0670718602344
"118",2009,1,5,21,31.642687348665
"119",2009,1,5,22,66.2172223055122
"120",2009,1,5,23,44.7861304366358
"121",2009,1,6,0,79.2709223943293
"122",2009,1,6,1,81.7538076505855
"123",2009,1,6,2,68.3809540722421
"124",2009,1,6,3,76.4841956481557
"125",2009,1,6,4,86.1640174059996
"126",2009,1,6,5,93.3980159582286
"127",2009,1,6,6,99.6442518406055
"128",2009,1,6,7,100
"129",2009,1,6,8,100
"130",2009,1,6,9,100
"131",2009,1,6,10,100
"132",2009,1,6,11,100
"133",2009,1,6,12,100
"134",2009,1,6,13,99.752725008076
"135",2009,1,6,14,97.3644530507628
"136",2009,1,6,15,93.5751103366422
"137",2009,1,6,16,90.5961843375065
"138",2009,1,6,17,89.7927379190464
"139",2009,1,6,18,87.9691051952786
"140",2009,1,6,19,82.1259030905871
"141",2009,1,6,20,78.0959279438767
"142",2009,1,6,21,83.4501281505379
"143",2009,1,6,22,90.7604301137267
"144",2009,1,6,23,99.8134735828299
"145",2009,1,7,0,100
"146",2009,1,7,1,100
"147",2009,1,7,2,100
"148",2009,1,7,3,100
"149",2009,1,7,4,100
"150",2009,1,7,5,100
"151",2009,1,7,6,100
"152",2009,1,7,7,100
"153",2009,1,7,8,100
"154",2009,1,7,9,100
"155",2009,1,7,10,100
"156",2009,1,7,11,100
"157",2009,1,7,12,100
