"","year","month","day","hour","Outage"
"1",2009,1,1,0,2.50322309421972
"2",2009,1,1,1,41.2528666182582
"3",2009,1,1,2,7.94476931589803
"4",2009,1,1,3,5.11421967202384
"5",2009,1,1,4,4.00043027666411
"6",2009,1,1,5,4.09170239233197
"7",2009,1,1,6,15.1236586910415
"8",2009,1,1,7,26.0921828876844
"9",2009,1,1,8,33.5356496106236
"10",2009,1,1,9,75.6762746116344
"11",2009,1,1,10,94.7374018360575
"12",2009,1,1,11,96.6484757804348
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,100
"20",2009,1,1,19,100
"21",2009,1,1,20,100
"22",2009,1,1,21,100
"23",2009,1,1,22,100
"24",2009,1,1,23,100
"25",2009,1,2,0,100
"26",2009,1,2,1,100
"27",2009,1,2,2,100
"28",2009,1,2,3,100
"29",2009,1,2,4,100
"30",2009,1,2,5,100
"31",2009,1,2,6,100
"32",2009,1,2,7,100
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,99.7041177461974
"42",2009,1,2,17,95.1191371887847
"43",2009,1,2,18,88.5273064468204
"44",2009,1,2,19,74.4951890363575
"45",2009,1,2,20,40.8480327906306
"46",2009,1,2,21,4.68806662485465
"47",2009,1,2,22,0
"48",2009,1,2,23,0
"49",2009,1,3,0,0
"50",2009,1,3,1,0
"51",2009,1,3,2,0
"52",2009,1,3,3,0
"53",2009,1,3,4,0
"54",2009,1,3,5,0
"55",2009,1,3,6,0
"56",2009,1,3,7,0
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0
"82",2009,1,4,9,0
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,0
"109",2009,1,5,12,0
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,3.73209033438413
"127",2009,1,6,6,14.9563642751154
"128",2009,1,6,7,51.1383028106511
"129",2009,1,6,8,59.3917915603004
"130",2009,1,6,9,60.6558784587979
"131",2009,1,6,10,72.4306890720969
"132",2009,1,6,11,88.7782331933086
"133",2009,1,6,12,99.8896928692653
"134",2009,1,6,13,100
"135",2009,1,6,14,100
"136",2009,1,6,15,98.0014614309477
"137",2009,1,6,16,90.3184682026665
"138",2009,1,6,17,79.485415631572
"139",2009,1,6,18,79.1257985175296
"140",2009,1,6,19,82.3082988170339
"141",2009,1,6,20,85.3242188077435
"142",2009,1,6,21,86.0325443440844
"143",2009,1,6,22,84.5398431419208
"144",2009,1,6,23,83.2683320019983
"145",2009,1,7,0,85.650410169087
"146",2009,1,7,1,89.5029213123716
"147",2009,1,7,2,92.6723515457246
"148",2009,1,7,3,97.2956751032426
"149",2009,1,7,4,99.8587623142205
"150",2009,1,7,5,100
"151",2009,1,7,6,100
"152",2009,1,7,7,100
"153",2009,1,7,8,99.8583280707592
"154",2009,1,7,9,96.2864809679445
"155",2009,1,7,10,88.5769048650545
"156",2009,1,7,11,80.2627091670812
"157",2009,1,7,12,71.481411392564
"158",2009,1,7,13,60.875586671457
"159",2009,1,7,14,50.9718609025018
"160",2009,1,7,15,54.5285361122998
"161",2009,1,7,16,61.0485786719908
"162",2009,1,7,17,44.1688231493903
"163",2009,1,7,18,25.3150867373611
"164",2009,1,7,19,0
"165",2009,1,7,20,1.00373546013731
"166",2009,1,7,21,0
"167",2009,1,7,22,0
"168",2009,1,7,23,0.497403878465289
"169",2009,1,8,0,36.5651589203019
"170",2009,1,8,1,67.1768145977212
"171",2009,1,8,2,80.642661254547
"172",2009,1,8,3,76.9318563371812
"173",2009,1,8,4,75.8726734795068
"174",2009,1,8,5,94.1644650005514
"175",2009,1,8,6,97.6117285212211
"176",2009,1,8,7,100
"177",2009,1,8,8,99.219866524561
"178",2009,1,8,9,99.1448142457093
"179",2009,1,8,10,99.0105830453558
"180",2009,1,8,11,99.2835107506047
"181",2009,1,8,12,99.0354625873777
"182",2009,1,8,13,93.5816116823665
"183",2009,1,8,14,83.740219034362
"184",2009,1,8,15,64.4467411326165
"185",2009,1,8,16,59.3022185487623
