"","year","month","day","hour","Outage"
"1",2009,1,1,0,88.4101541803086
"2",2009,1,1,1,93.2020407440614
"3",2009,1,1,2,97.3969366937574
"4",2009,1,1,3,100
"5",2009,1,1,4,98.2283238514538
"6",2009,1,1,5,99.3537445824525
"7",2009,1,1,6,98.8103813743992
"8",2009,1,1,7,99.8831833758017
"9",2009,1,1,8,100
"10",2009,1,1,9,100
"11",2009,1,1,10,100
"12",2009,1,1,11,100
"13",2009,1,1,12,99.8515980837824
"14",2009,1,1,13,100
"15",2009,1,1,14,99.3553959045397
"16",2009,1,1,15,99.2221887466345
"17",2009,1,1,16,97.5057184437752
"18",2009,1,1,17,86.4460243587782
"19",2009,1,1,18,87.402566730596
"20",2009,1,1,19,83.6442195160195
"21",2009,1,1,20,70.9376313565359
"22",2009,1,1,21,54.0706631631535
"23",2009,1,1,22,43.783594208552
"24",2009,1,1,23,47.8148905009256
"25",2009,1,2,0,56.6103439593217
"26",2009,1,2,1,59.8328462168744
"27",2009,1,2,2,75.5158811336451
"28",2009,1,2,3,81.3462471541942
"29",2009,1,2,4,85.0823240235561
"30",2009,1,2,5,86.4172541308671
"31",2009,1,2,6,91.3973147547927
"32",2009,1,2,7,90.5540761963069
"33",2009,1,2,8,92.4379346547324
"34",2009,1,2,9,94.6543966100705
"35",2009,1,2,10,92.5445192926985
"36",2009,1,2,11,89.6855278184562
"37",2009,1,2,12,87.7539712579272
"38",2009,1,2,13,83.7238785018626
"39",2009,1,2,14,83.8602397663062
"40",2009,1,2,15,85.8242821359454
"41",2009,1,2,16,84.3068071865479
"42",2009,1,2,17,83.3686562015897
"43",2009,1,2,18,87.7098662081886
"44",2009,1,2,19,92.3919478429277
"45",2009,1,2,20,96.1880970276975
"46",2009,1,2,21,98.4530756501761
"47",2009,1,2,22,99.7284394521356
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,100
"56",2009,1,3,7,100
"57",2009,1,3,8,100
"58",2009,1,3,9,99.39523179265
"59",2009,1,3,10,99.7595805373826
"60",2009,1,3,11,100
"61",2009,1,3,12,100
"62",2009,1,3,13,100
"63",2009,1,3,14,98.5885223332944
"64",2009,1,3,15,98.2399448673238
"65",2009,1,3,16,95.6638409732037
"66",2009,1,3,17,89.3854442869889
"67",2009,1,3,18,84.1933922692899
"68",2009,1,3,19,79.2537872028756
"69",2009,1,3,20,82.387807386102
"70",2009,1,3,21,90.6632824208694
"71",2009,1,3,22,94.6480847680741
"72",2009,1,3,23,93.2308339696159
"73",2009,1,4,0,92.4127611426813
"74",2009,1,4,1,91.1071743572615
"75",2009,1,4,2,93.0142750447117
"76",2009,1,4,3,93.9721600809525
"77",2009,1,4,4,95.2430445409009
"78",2009,1,4,5,91.9961885996579
"79",2009,1,4,6,88.0346954191734
"80",2009,1,4,7,86.7281174093367
"81",2009,1,4,8,84.1721396892092
"82",2009,1,4,9,73.8678324776361
"83",2009,1,4,10,57.7226759234752
"84",2009,1,4,11,55.4494482052033
"85",2009,1,4,12,71.5794629117245
"86",2009,1,4,13,94.0013102712543
"87",2009,1,4,14,98.9722079868658
"88",2009,1,4,15,87.6397087294368
"89",2009,1,4,16,50.2214030876739
"90",2009,1,4,17,15.2180835033353
"91",2009,1,4,18,1.71386765431295
"92",2009,1,4,19,20.3826950641192
"93",2009,1,4,20,18.7174941427035
"94",2009,1,4,21,20.733295151315
"95",2009,1,4,22,63.2288377970564
"96",2009,1,4,23,80.7449081702476
"97",2009,1,5,0,91.765373921361
"98",2009,1,5,1,98.2627729250777
"99",2009,1,5,2,100
"100",2009,1,5,3,100
"101",2009,1,5,4,100
"102",2009,1,5,5,99.8907786582585
"103",2009,1,5,6,98.995883156498
"104",2009,1,5,7,99.7464031964119
"105",2009,1,5,8,100
"106",2009,1,5,9,100
"107",2009,1,5,10,100
"108",2009,1,5,11,100
"109",2009,1,5,12,100
"110",2009,1,5,13,100
"111",2009,1,5,14,99.8555523668164
"112",2009,1,5,15,99.1844666150547
"113",2009,1,5,16,96.3496175724781
"114",2009,1,5,17,91.7415846663301
"115",2009,1,5,18,91.577046160029
"116",2009,1,5,19,97.9123314334187
"117",2009,1,5,20,95.8217846546166
"118",2009,1,5,21,97.1839746792642
"119",2009,1,5,22,98.6771516429882
"120",2009,1,5,23,99.8613128819095
"121",2009,1,6,0,98.820381510497
"122",2009,1,6,1,80.8318777073856
"123",2009,1,6,2,83.4627304419851
"124",2009,1,6,3,89.6025824290082
"125",2009,1,6,4,91.7809934208748
"126",2009,1,6,5,98.0320022853974
"127",2009,1,6,6,96.4816959281373
"128",2009,1,6,7,95.0062207663232
"129",2009,1,6,8,95.1005943926007
"130",2009,1,6,9,89.6868568144074
"131",2009,1,6,10,80.0815662070965
"132",2009,1,6,11,69.6460185384129
"133",2009,1,6,12,74.1819994533605
"134",2009,1,6,13,75.5792015004865
"135",2009,1,6,14,80.2663742174116
"136",2009,1,6,15,85.7120714423124
"137",2009,1,6,16,91.4872068597712
"138",2009,1,6,17,95.4593619708888
"139",2009,1,6,18,97.8446894563934
"140",2009,1,6,19,100
"141",2009,1,6,20,100
"142",2009,1,6,21,99.5356876047841
"143",2009,1,6,22,92.7289428624078
"144",2009,1,6,23,88.7062227190887
"145",2009,1,7,0,78.6206938352549
"146",2009,1,7,1,82.7480494884205
"147",2009,1,7,2,87.7697032886344
"148",2009,1,7,3,89.5291007850022
"149",2009,1,7,4,88.1839604325621
"150",2009,1,7,5,89.5493752540426
"151",2009,1,7,6,91.4379015595552
"152",2009,1,7,7,92.3702180193326
"153",2009,1,7,8,93.7536829116485
"154",2009,1,7,9,93.9884721131531
"155",2009,1,7,10,94.2244342262704
"156",2009,1,7,11,94.3511689684278
"157",2009,1,7,12,92.221945986374
"158",2009,1,7,13,92.9080645555869
"159",2009,1,7,14,94.743274210583
"160",2009,1,7,15,94.1943024499221
"161",2009,1,7,16,93.627354249644
"162",2009,1,7,17,90.7890801267624
"163",2009,1,7,18,87.669830539298
"164",2009,1,7,19,81.0875322477664
"165",2009,1,7,20,69.7523083512339
"166",2009,1,7,21,59.8032269196786
"167",2009,1,7,22,49.3942009095631
"168",2009,1,7,23,54.4805929349065
"169",2009,1,8,0,52.2553453231269
"170",2009,1,8,1,71.3324676298567
"171",2009,1,8,2,87.6565292527846
"172",2009,1,8,3,95.5281306062272
"173",2009,1,8,4,95.209266959146
"174",2009,1,8,5,98.5986336680853
"175",2009,1,8,6,98.9062696294475
"176",2009,1,8,7,97.9922170521192
"177",2009,1,8,8,98.8923309792558
"178",2009,1,8,9,89.0833941477283
"179",2009,1,8,10,76.2035571645281
"180",2009,1,8,11,66.7140315433612
"181",2009,1,8,12,63.6053791851327
"182",2009,1,8,13,52.5930958286857
"183",2009,1,8,14,61.3914754399584
"184",2009,1,8,15,41.0919535974787
"185",2009,1,8,16,27.7635254815168
"186",2009,1,8,17,22.3112574551185
"187",2009,1,8,18,20.1403105872058
"188",2009,1,8,19,35.3316313011583
"189",2009,1,8,20,44.4283197867025
"190",2009,1,8,21,53.9139509535214
"191",2009,1,8,22,54.2264013072778
"192",2009,1,8,23,52.5749805108121
"193",2009,1,9,0,58.0137061424355
"194",2009,1,9,1,68.9780726239071
"195",2009,1,9,2,72.847136634295
"196",2009,1,9,3,80.6398028776593
"197",2009,1,9,4,78.0743518160929
"198",2009,1,9,5,74.5998844220127
"199",2009,1,9,6,56.4274385356965
"200",2009,1,9,7,27.1055337239644
"201",2009,1,9,8,5.84008241853242
"202",2009,1,9,9,14.3803086175733
"203",2009,1,9,10,28.8753848820855
"204",2009,1,9,11,36.4180479296725
"205",2009,1,9,12,57.484305558874
"206",2009,1,9,13,79.9808566113264
"207",2009,1,9,14,87.9102918580807
"208",2009,1,9,15,83.5203434430658
"209",2009,1,9,16,60.8808068096981
"210",2009,1,9,17,9.05829954539735
"211",2009,1,9,18,2.1818038982208
"212",2009,1,9,19,0.773922843260098
"213",2009,1,9,20,0
"214",2009,1,9,21,0.552174741729174
"215",2009,1,9,22,6.00228860498225
"216",2009,1,9,23,11.5743142956103
