"","year","month","day","hour","Outage"
"1",2009,1,1,0,96.4484340168715
"2",2009,1,1,1,96.4517879078263
"3",2009,1,1,2,92.7631087672391
"4",2009,1,1,3,85.5577777872772
"5",2009,1,1,4,82.6100289334289
"6",2009,1,1,5,81.8416128692242
"7",2009,1,1,6,85.8256747036352
"8",2009,1,1,7,89.7840975437666
"9",2009,1,1,8,91.3015220607059
"10",2009,1,1,9,91.1528211132427
"11",2009,1,1,10,93.6985255665508
"12",2009,1,1,11,99.2604620124624
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,99.8851014193835
"18",2009,1,1,17,99.3327609063139
"19",2009,1,1,18,99.4773286445951
"20",2009,1,1,19,99.1783100337626
"21",2009,1,1,20,98.2433857109047
"22",2009,1,1,21,97.0018932843892
"23",2009,1,1,22,92.425966852464
"24",2009,1,1,23,89.5936304278599
"25",2009,1,2,0,86.1818495288274
"26",2009,1,2,1,73.9119763465233
"27",2009,1,2,2,74.608855944323
"28",2009,1,2,3,70.9104444716091
"29",2009,1,2,4,58.9947590840686
"30",2009,1,2,5,52.7892952424352
"31",2009,1,2,6,44.4404950022661
"32",2009,1,2,7,51.6387054757209
"33",2009,1,2,8,59.6943987453283
"34",2009,1,2,9,64.8168357816372
"35",2009,1,2,10,66.6554466725289
"36",2009,1,2,11,71.6130854685575
"37",2009,1,2,12,74.1775067988281
"38",2009,1,2,13,77.2297106847831
"39",2009,1,2,14,80.8710773625302
"40",2009,1,2,15,82.5038677172058
"41",2009,1,2,16,83.1714314323584
"42",2009,1,2,17,81.4145139005028
"43",2009,1,2,18,82.6318400348826
"44",2009,1,2,19,84.0732357471617
"45",2009,1,2,20,84.5190346755077
"46",2009,1,2,21,83.0445435133425
"47",2009,1,2,22,82.497896267983
"48",2009,1,2,23,79.8637892607643
"49",2009,1,3,0,76.1766818384716
"50",2009,1,3,1,72.1314751025885
"51",2009,1,3,2,72.6180394611979
"52",2009,1,3,3,75.3478798877907
"53",2009,1,3,4,74.5630785531606
"54",2009,1,3,5,78.2005002514697
"55",2009,1,3,6,80.9836214936277
"56",2009,1,3,7,80.5903187097118
"57",2009,1,3,8,81.1263297157222
"58",2009,1,3,9,79.7675547600235
"59",2009,1,3,10,79.5404535550003
"60",2009,1,3,11,83.8479668065788
"61",2009,1,3,12,92.0119377635326
"62",2009,1,3,13,98.3184959618625
"63",2009,1,3,14,99.7277547732043
"64",2009,1,3,15,100
"65",2009,1,3,16,99.4576200379322
"66",2009,1,3,17,97.8857864210862
"67",2009,1,3,18,91.4144838933954
"68",2009,1,3,19,87.2646282230324
"69",2009,1,3,20,81.4093446438221
"70",2009,1,3,21,78.538545054644
"71",2009,1,3,22,81.4676277515857
"72",2009,1,3,23,84.8751079121921
"73",2009,1,4,0,77.301285233276
"74",2009,1,4,1,71.8002945283251
"75",2009,1,4,2,44.3423213496378
"76",2009,1,4,3,25.524765332659
"77",2009,1,4,4,15.2159052068331
"78",2009,1,4,5,3.69591503889506
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,9.9008744489538
"82",2009,1,4,9,1.27989800417099
"83",2009,1,4,10,3.37030716628184
"84",2009,1,4,11,21.1560146656219
"85",2009,1,4,12,33.1881646754291
"86",2009,1,4,13,45.64724436919
"87",2009,1,4,14,38.39209541742
"88",2009,1,4,15,15.2177245870386
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,2.07762402369651
"104",2009,1,5,7,4.5771037315484
"105",2009,1,5,8,20.7488417573465
"106",2009,1,5,9,18.2929738074668
"107",2009,1,5,10,51.0206840662282
"108",2009,1,5,11,63.9465481503395
"109",2009,1,5,12,85.391334927997
"110",2009,1,5,13,88.1005550963936
"111",2009,1,5,14,89.8356483434239
"112",2009,1,5,15,92.7088392105943
"113",2009,1,5,16,83.5610478693731
"114",2009,1,5,17,73.3015531960439
"115",2009,1,5,18,80.1367815381371
"116",2009,1,5,19,90.9133556331223
"117",2009,1,5,20,93.6763221990535
"118",2009,1,5,21,98.5742399595802
"119",2009,1,5,22,98.5454702949624
"120",2009,1,5,23,96.7985462049798
"121",2009,1,6,0,96.1832696608661
"122",2009,1,6,1,99.341616228544
"123",2009,1,6,2,99.8863763331206
"124",2009,1,6,3,99.8580444225699
"125",2009,1,6,4,91.6494053331757
"126",2009,1,6,5,77.8706782821584
"127",2009,1,6,6,39.4663512513178
"128",2009,1,6,7,2.11578004528009
"129",2009,1,6,8,0
"130",2009,1,6,9,0
"131",2009,1,6,10,2.73560959417624
"132",2009,1,6,11,18.56649148881
"133",2009,1,6,12,46.7846169950576
"134",2009,1,6,13,63.7228333003505
"135",2009,1,6,14,71.8476739201344
"136",2009,1,6,15,75.577433990333
"137",2009,1,6,16,76.6862626466846
"138",2009,1,6,17,78.5786324461501
"139",2009,1,6,18,82.9129105874589
"140",2009,1,6,19,90.7200804849204
"141",2009,1,6,20,94.4856998533225
"142",2009,1,6,21,95.0516235287072
"143",2009,1,6,22,98.705258419778
"144",2009,1,6,23,99.0361328365638
"145",2009,1,7,0,95.3767685128084
"146",2009,1,7,1,90.6199641853661
"147",2009,1,7,2,90.7352316927901
"148",2009,1,7,3,94.3142102144854
"149",2009,1,7,4,96.9885195089444
"150",2009,1,7,5,98.9308274927086
"151",2009,1,7,6,98.5529617401961
"152",2009,1,7,7,96.6263870071802
"153",2009,1,7,8,94.7607109360477
"154",2009,1,7,9,93.050681172163
"155",2009,1,7,10,93.155906674741
"156",2009,1,7,11,95.4145475219093
"157",2009,1,7,12,98.8455976400084
"158",2009,1,7,13,100
"159",2009,1,7,14,100
"160",2009,1,7,15,100
"161",2009,1,7,16,100
"162",2009,1,7,17,100
"163",2009,1,7,18,99.2840350129578
"164",2009,1,7,19,97.4005157084853
"165",2009,1,7,20,94.2344445987553
"166",2009,1,7,21,91.0372574655906
"167",2009,1,7,22,88.234778994779
"168",2009,1,7,23,86.7292816993155
"169",2009,1,8,0,80.5923592486205
"170",2009,1,8,1,82.608573362614
"171",2009,1,8,2,82.6816216832379
"172",2009,1,8,3,82.9668965665197
"173",2009,1,8,4,87.6864234344557
"174",2009,1,8,5,84.451130538372
"175",2009,1,8,6,80.7036523499309
"176",2009,1,8,7,90.251058029979
"177",2009,1,8,8,90.8688159495908
"178",2009,1,8,9,94.2719690689253
"179",2009,1,8,10,99.4291692862435
"180",2009,1,8,11,96.1970535265889
"181",2009,1,8,12,93.6762873590525
"182",2009,1,8,13,95.6812754630007
"183",2009,1,8,14,93.1903554702867
"184",2009,1,8,15,93.2596277312452
"185",2009,1,8,16,86.0701960764424
"186",2009,1,8,17,74.9224458512526
"187",2009,1,8,18,30.7067612277855
"188",2009,1,8,19,21.2466668927285
"189",2009,1,8,20,43.9183805200532
"190",2009,1,8,21,48.6390815518038
"191",2009,1,8,22,52.0081670674881
"192",2009,1,8,23,48.2917660073572
"193",2009,1,9,0,44.8512685389387
"194",2009,1,9,1,43.8064461098614
"195",2009,1,9,2,41.5571470813351
"196",2009,1,9,3,42.2790838995789
"197",2009,1,9,4,53.1124487621537
"198",2009,1,9,5,60.506716449185
"199",2009,1,9,6,63.307911189327
"200",2009,1,9,7,40.2057589947607
"201",2009,1,9,8,11.8377378412742
"202",2009,1,9,9,0.431322603697019
"203",2009,1,9,10,0
"204",2009,1,9,11,0
"205",2009,1,9,12,0
"206",2009,1,9,13,0
"207",2009,1,9,14,4.75190352015395
"208",2009,1,9,15,11.9565464682519
"209",2009,1,9,16,13.8864168037309
"210",2009,1,9,17,44.9456612528528
