"","year","month","day","hour","Outage"
"1",2009,1,1,0,100
"2",2009,1,1,1,100
"3",2009,1,1,2,100
"4",2009,1,1,3,100
"5",2009,1,1,4,100
"6",2009,1,1,5,100
"7",2009,1,1,6,100
"8",2009,1,1,7,99.5353796633973
"9",2009,1,1,8,95.4356328660263
"10",2009,1,1,9,92.4934281063611
"11",2009,1,1,10,95.0006366597088
"12",2009,1,1,11,99.6831177318095
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,100
"19",2009,1,1,18,100
"20",2009,1,1,19,100
"21",2009,1,1,20,100
"22",2009,1,1,21,100
"23",2009,1,1,22,100
"24",2009,1,1,23,100
"25",2009,1,2,0,100
"26",2009,1,2,1,100
"27",2009,1,2,2,100
"28",2009,1,2,3,100
"29",2009,1,2,4,100
"30",2009,1,2,5,100
"31",2009,1,2,6,100
"32",2009,1,2,7,100
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,99.6177860723375
"42",2009,1,2,17,96.5385773562499
"43",2009,1,2,18,98.8402557139084
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,99.581240566367
"47",2009,1,2,22,97.1325074693869
"48",2009,1,2,23,93.6960749249062
"49",2009,1,3,0,93.7151542855024
"50",2009,1,3,1,96.8343169448541
"51",2009,1,3,2,82.1292952177617
"52",2009,1,3,3,75.5272774528563
"53",2009,1,3,4,80.2573896243923
"54",2009,1,3,5,67.4063521447812
"55",2009,1,3,6,42.3832944810501
"56",2009,1,3,7,39.2627618569889
"57",2009,1,3,8,34.1309488776995
"58",2009,1,3,9,37.7666107754303
"59",2009,1,3,10,65.4549805956587
"60",2009,1,3,11,90.5907595095559
