"","year","month","day","hour","Outage"
"1",2009,1,1,0,99.3556744991329
"2",2009,1,1,1,99.4406094220245
"3",2009,1,1,2,96.9304779763015
"4",2009,1,1,3,84.473732925175
"5",2009,1,1,4,80.959756660162
"6",2009,1,1,5,82.1024029528483
"7",2009,1,1,6,85.3002146635554
"8",2009,1,1,7,89.5036106722678
"9",2009,1,1,8,97.4889314604523
"10",2009,1,1,9,100
"11",2009,1,1,10,100
"12",2009,1,1,11,100
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,98.7499765994877
"18",2009,1,1,17,94.5647419211955
"19",2009,1,1,18,94.5491943999083
"20",2009,1,1,19,93.1262123738801
"21",2009,1,1,20,89.5587721206816
"22",2009,1,1,21,87.7772047051516
"23",2009,1,1,22,84.5625022154207
"24",2009,1,1,23,84.9626930388976
"25",2009,1,2,0,87.1131486856621
"26",2009,1,2,1,77.9030791564782
"27",2009,1,2,2,64.7572743032508
"28",2009,1,2,3,74.4573617542268
"29",2009,1,2,4,79.9650396138885
"30",2009,1,2,5,63.7036306368644
"31",2009,1,2,6,75.1838965166178
"32",2009,1,2,7,70.257569833532
"33",2009,1,2,8,71.9570881894746
"34",2009,1,2,9,75.0620782488016
"35",2009,1,2,10,77.39068662648
"36",2009,1,2,11,81.612910556174
"37",2009,1,2,12,92.5541104554024
"38",2009,1,2,13,98.0924731366285
"39",2009,1,2,14,97.563854373096
"40",2009,1,2,15,97.0671632597576
"41",2009,1,2,16,95.6434517561736
"42",2009,1,2,17,93.1906892680171
"43",2009,1,2,18,92.3566754418056
"44",2009,1,2,19,94.2520613698354
"45",2009,1,2,20,96.8350424012516
"46",2009,1,2,21,98.7798232622633
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,99.7415455748695
"56",2009,1,3,7,97.8148523894801
"57",2009,1,3,8,92.1267760290773
"58",2009,1,3,9,86.4373898258519
"59",2009,1,3,10,76.3903499923924
"60",2009,1,3,11,57.6986270777148
"61",2009,1,3,12,36.1414947886489
"62",2009,1,3,13,24.9364286061186
"63",2009,1,3,14,23.1922915486118
"64",2009,1,3,15,15.6535931594733
"65",2009,1,3,16,18.3855198352291
"66",2009,1,3,17,23.5405867987997
"67",2009,1,3,18,29.0257291523231
"68",2009,1,3,19,34.4420654045143
"69",2009,1,3,20,11.1813493418313
"70",2009,1,3,21,1.68528895921995
"71",2009,1,3,22,0.315319171987864
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0.120056680396855
"77",2009,1,4,4,2.47736389804544
"78",2009,1,4,5,11.8494889783102
"79",2009,1,4,6,35.202833937105
"80",2009,1,4,7,50.4714381871161
"81",2009,1,4,8,67.3192855434528
"82",2009,1,4,9,74.3433468885886
"83",2009,1,4,10,68.1945236193441
"84",2009,1,4,11,44.4160594201498
"85",2009,1,4,12,27.7568989244377
"86",2009,1,4,13,4.31534610770071
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,4.47061582936471
"98",2009,1,5,1,26.7134759167521
"99",2009,1,5,2,20.2718500663319
"100",2009,1,5,3,4.97334660775821
"101",2009,1,5,4,4.66311449294506
"102",2009,1,5,5,0.366377632927854
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0
"108",2009,1,5,11,3.13829329824207
"109",2009,1,5,12,3.37623107878255
"110",2009,1,5,13,0
"111",2009,1,5,14,0
"112",2009,1,5,15,0
"113",2009,1,5,16,0
"114",2009,1,5,17,0
"115",2009,1,5,18,0
"116",2009,1,5,19,0
"117",2009,1,5,20,0
"118",2009,1,5,21,0
"119",2009,1,5,22,0
"120",2009,1,5,23,0
"121",2009,1,6,0,0
"122",2009,1,6,1,0
"123",2009,1,6,2,0
"124",2009,1,6,3,0
"125",2009,1,6,4,0
"126",2009,1,6,5,0
