"","year","month","day","hour","Outage"
"1",2009,1,1,0,96.8116291405101
"2",2009,1,1,1,96.4722965008336
"3",2009,1,1,2,89.8164759362632
"4",2009,1,1,3,71.3736954381033
"5",2009,1,1,4,64.4385864761785
"6",2009,1,1,5,68.6392199600812
"7",2009,1,1,6,71.6218604900844
"8",2009,1,1,7,83.8370439598669
"9",2009,1,1,8,91.1766587575705
"10",2009,1,1,9,97.8827211636538
"11",2009,1,1,10,99.6571114054094
"12",2009,1,1,11,100
"13",2009,1,1,12,100
"14",2009,1,1,13,100
"15",2009,1,1,14,100
"16",2009,1,1,15,100
"17",2009,1,1,16,100
"18",2009,1,1,17,98.8858008656026
"19",2009,1,1,18,99.2602361821961
"20",2009,1,1,19,99.0831504139904
"21",2009,1,1,20,95.8652397979591
"22",2009,1,1,21,94.2621815553424
"23",2009,1,1,22,92.2385515404899
"24",2009,1,1,23,93.9910410569082
"25",2009,1,2,0,96.068798887192
"26",2009,1,2,1,91.3243568153496
"27",2009,1,2,2,81.4658041424603
"28",2009,1,2,3,83.0754082346632
"29",2009,1,2,4,88.6430331515158
"30",2009,1,2,5,77.4098157588852
"31",2009,1,2,6,85.595153218178
"32",2009,1,2,7,83.1657988741184
"33",2009,1,2,8,83.2658532096809
"34",2009,1,2,9,87.0282906801407
"35",2009,1,2,10,88.6044126359967
"36",2009,1,2,11,92.0016922682476
"37",2009,1,2,12,99.0717170155986
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,99.3394917713144
"42",2009,1,2,17,98.1963757053551
"43",2009,1,2,18,96.3071685767895
"44",2009,1,2,19,96.8481814538293
"45",2009,1,2,20,98.4548808467921
"46",2009,1,2,21,99.3443202131143
"47",2009,1,2,22,100
"48",2009,1,2,23,100
"49",2009,1,3,0,100
"50",2009,1,3,1,100
"51",2009,1,3,2,100
"52",2009,1,3,3,100
"53",2009,1,3,4,100
"54",2009,1,3,5,100
"55",2009,1,3,6,99.7707688412427
"56",2009,1,3,7,98.2544152140378
"57",2009,1,3,8,94.6277918764633
"58",2009,1,3,9,87.9982997405195
"59",2009,1,3,10,75.7674994546378
"60",2009,1,3,11,44.6805284804548
"61",2009,1,3,12,17.885480634843
"62",2009,1,3,13,16.3038659879495
"63",2009,1,3,14,15.275004202619
"64",2009,1,3,15,13.2185540920928
"65",2009,1,3,16,20.3547824911115
"66",2009,1,3,17,20.1826387664937
"67",2009,1,3,18,25.6350635711217
"68",2009,1,3,19,16.729293138501
"69",2009,1,3,20,0.758634280677114
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,5.70093673823375
"79",2009,1,4,6,25.9310876730594
"80",2009,1,4,7,42.73248448416
"81",2009,1,4,8,65.1576819526202
"82",2009,1,4,9,71.8883924710943
"83",2009,1,4,10,64.5752594891625
"84",2009,1,4,11,43.0399121255337
"85",2009,1,4,12,12.9355463373976
"86",2009,1,4,13,0.767535586642896
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,2.61768767047279
"98",2009,1,5,1,17.2607791836488
"99",2009,1,5,2,5.59100555576344
"100",2009,1,5,3,0
"101",2009,1,5,4,0.173673427853951
"102",2009,1,5,5,0
"103",2009,1,5,6,0
"104",2009,1,5,7,0
"105",2009,1,5,8,0
"106",2009,1,5,9,0
"107",2009,1,5,10,0.540832000476025
