,year,month,day,hour,Outage
1,2009,1,1,0,3.099849072
2,2009,1,1,1,12.53772718
3,2009,1,1,2,15.07972518
4,2009,1,1,3,21.68696425
5,2009,1,1,4,34.95690198
6,2009,1,1,5,44.49346754
7,2009,1,1,6,50.4906705
8,2009,1,1,7,60.91438258
9,2009,1,1,8,61.20020076
10,2009,1,1,9,64.13636074
11,2009,1,1,10,70.78752739
12,2009,1,1,11,70.13892922
13,2009,1,1,12,54.68256737
14,2009,1,1,13,22.43980744
15,2009,1,1,14,0.879005699
16,2009,1,1,15,0
17,2009,1,1,16,0
18,2009,1,1,17,0
19,2009,1,1,18,0
20,2009,1,1,19,1.062402847
21,2009,1,1,20,14.18705826
22,2009,1,1,21,24.79216018
23,2009,1,1,22,34.18864484
24,2009,1,1,23,45.18650914
25,2009,1,2,0,59.41605788
26,2009,1,2,1,73.84394306
27,2009,1,2,2,86.31747027
28,2009,1,2,3,95.54982806
29,2009,1,2,4,99.52496976
30,2009,1,2,5,100
31,2009,1,2,6,100
32,2009,1,2,7,100
33,2009,1,2,8,100
34,2009,1,2,9,99.25019705
35,2009,1,2,10,99.36947274
36,2009,1,2,11,100
37,2009,1,2,12,99.57898555
38,2009,1,2,13,96.47431895
39,2009,1,2,14,94.38238034
40,2009,1,2,15,91.68425335
41,2009,1,2,16,89.40333551
42,2009,1,2,17,90.47797561
43,2009,1,2,18,97.9659864
44,2009,1,2,19,100
45,2009,1,2,20,100
46,2009,1,2,21,100
47,2009,1,2,22,100
48,2009,1,2,23,100
49,2009,1,3,0,100
50,2009,1,3,1,100
51,2009,1,3,2,100
52,2009,1,3,3,100
53,2009,1,3,4,98.92437062
54,2009,1,3,5,91.55499006
55,2009,1,3,6,75.36206428
56,2009,1,3,7,36.89700796
57,2009,1,3,8,3.572930886
58,2009,1,3,9,0
59,2009,1,3,10,0
60,2009,1,3,11,0
61,2009,1,3,12,0
62,2009,1,3,13,0
63,2009,1,3,14,0
64,2009,1,3,15,0
65,2009,1,3,16,0
66,2009,1,3,17,0
67,2009,1,3,18,0
68,2009,1,3,19,0
69,2009,1,3,20,0
70,2009,1,3,21,0
71,2009,1,3,22,0
72,2009,1,3,23,0
