"","year","month","day","hour","Outage"
"1",2009,1,1,0,72.2539624322533
"2",2009,1,1,1,69.7129280636976
"3",2009,1,1,2,69.6317796778612
"4",2009,1,1,3,72.0832587645943
"5",2009,1,1,4,72.5444098966452
"6",2009,1,1,5,73.5381294348761
"7",2009,1,1,6,58.7302664529333
"8",2009,1,1,7,53.2969221642082
"9",2009,1,1,8,57.0098120076347
"10",2009,1,1,9,55.8032434178888
"11",2009,1,1,10,58.934075739001
"12",2009,1,1,11,76.1133673776079
"13",2009,1,1,12,89.0859847304983
"14",2009,1,1,13,94.126888913062
"15",2009,1,1,14,91.0450473438831
"16",2009,1,1,15,86.3640345575688
"17",2009,1,1,16,82.0139279991736
"18",2009,1,1,17,74.9037539855543
"19",2009,1,1,18,68.8275894627177
"20",2009,1,1,19,69.0870377220886
"21",2009,1,1,20,78.9911302430725
"22",2009,1,1,21,90.1773378535345
"23",2009,1,1,22,96.6702197039486
"24",2009,1,1,23,99.2563770290091
"25",2009,1,2,0,100
"26",2009,1,2,1,100
"27",2009,1,2,2,100
"28",2009,1,2,3,100
"29",2009,1,2,4,100
"30",2009,1,2,5,100
"31",2009,1,2,6,100
"32",2009,1,2,7,100
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,100
"44",2009,1,2,19,100
"45",2009,1,2,20,100
"46",2009,1,2,21,100
"47",2009,1,2,22,99.8793072538871
"48",2009,1,2,23,97.9366472094499
"49",2009,1,3,0,91.2964020594972
"50",2009,1,3,1,67.4641673982421
"51",2009,1,3,2,37.9485112225161
"52",2009,1,3,3,14.7770049696711
"53",2009,1,3,4,4.28680968036195
"54",2009,1,3,5,1.44317311403066
"55",2009,1,3,6,0
"56",2009,1,3,7,0
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,3.09711426425124
"60",2009,1,3,11,3.66552306844747
"61",2009,1,3,12,9.38420999650299
"62",2009,1,3,13,20.1666438957751
"63",2009,1,3,14,35.6015362904468
"64",2009,1,3,15,32.0564451856286
"65",2009,1,3,16,30.5998823524285
"66",2009,1,3,17,33.2700502463897
"67",2009,1,3,18,74.4643101215245
"68",2009,1,3,19,98.5429651692507
"69",2009,1,3,20,98.9074208651438
"70",2009,1,3,21,97.479587359195
"71",2009,1,3,22,100
"72",2009,1,3,23,100
"73",2009,1,4,0,99.7006655624161
"74",2009,1,4,1,100
"75",2009,1,4,2,100
"76",2009,1,4,3,100
"77",2009,1,4,4,100
"78",2009,1,4,5,99.8519556787612
"79",2009,1,4,6,99.275917200132
"80",2009,1,4,7,96.0053619125034
"81",2009,1,4,8,75.6847729318008
"82",2009,1,4,9,19.6206436551991
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,2.61112342449082
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,3.52131171240708
"95",2009,1,4,22,17.3616290760836
"96",2009,1,4,23,25.9072349300634
"97",2009,1,5,0,35.262315253126
"98",2009,1,5,1,31.4748902229092
"99",2009,1,5,2,36.6547834045409
"100",2009,1,5,3,54.3000097906445
"101",2009,1,5,4,70.3317472019336
"102",2009,1,5,5,81.3506485824017
"103",2009,1,5,6,90.1281749135583
"104",2009,1,5,7,93.0102046445412
"105",2009,1,5,8,96.9479536931277
"106",2009,1,5,9,99.8923337017153
"107",2009,1,5,10,100
"108",2009,1,5,11,99.3639229813107
"109",2009,1,5,12,94.5972312342121
"110",2009,1,5,13,86.5826565271599
"111",2009,1,5,14,88.7407314726668
"112",2009,1,5,15,93.1048968647511
"113",2009,1,5,16,91.9391445147265
"114",2009,1,5,17,89.2193065996686
"115",2009,1,5,18,87.8405205588876
"116",2009,1,5,19,86.2231391679058
"117",2009,1,5,20,75.1357615215968
"118",2009,1,5,21,74.9566529487592
"119",2009,1,5,22,79.5927718187831
"120",2009,1,5,23,86.2180231732993
"121",2009,1,6,0,87.7551321832884
"122",2009,1,6,1,96.5833980116481
"123",2009,1,6,2,100
"124",2009,1,6,3,98.6540745254165
"125",2009,1,6,4,84.7905259234084
"126",2009,1,6,5,87.9594744967836
"127",2009,1,6,6,92.0876308419709
"128",2009,1,6,7,96.5224552734502
"129",2009,1,6,8,99.3883027569759
"130",2009,1,6,9,100
"131",2009,1,6,10,100
"132",2009,1,6,11,100
"133",2009,1,6,12,100
"134",2009,1,6,13,100
"135",2009,1,6,14,100
"136",2009,1,6,15,100
"137",2009,1,6,16,99.021745912819
"138",2009,1,6,17,92.8762247907071
"139",2009,1,6,18,83.90989595458
"140",2009,1,6,19,77.4870397415512
"141",2009,1,6,20,78.9563998178077
"142",2009,1,6,21,86.2784769157966
"143",2009,1,6,22,93.9361426308579
"144",2009,1,6,23,94.058202663302
"145",2009,1,7,0,95.6231242929724
"146",2009,1,7,1,99.0105787227491
"147",2009,1,7,2,99.2740042392381
"148",2009,1,7,3,100
"149",2009,1,7,4,100
"150",2009,1,7,5,100
"151",2009,1,7,6,100
"152",2009,1,7,7,100
"153",2009,1,7,8,99.884221857324
"154",2009,1,7,9,91.4590586518829
"155",2009,1,7,10,88.764861668944
"156",2009,1,7,11,88.6251773096433
"157",2009,1,7,12,89.377114626041
"158",2009,1,7,13,92.7075432903626
"159",2009,1,7,14,95.8012536346536
"160",2009,1,7,15,97.2058598747328
"161",2009,1,7,16,98.2122996310837
"162",2009,1,7,17,99.030024523732
"163",2009,1,7,18,99.1013484500447
"164",2009,1,7,19,99.2650436375624
"165",2009,1,7,20,99.2629508655103
"166",2009,1,7,21,99.615672921719
"167",2009,1,7,22,100
"168",2009,1,7,23,99.1983632907745
"169",2009,1,8,0,99.2324591256092
"170",2009,1,8,1,99.4670592257905
"171",2009,1,8,2,99.2637408861993
"172",2009,1,8,3,98.7915760973828
"173",2009,1,8,4,97.3419399359513
"174",2009,1,8,5,95.0191526087951
"175",2009,1,8,6,92.8145757970515
"176",2009,1,8,7,90.8146501534253
"177",2009,1,8,8,92.1120461908453
"178",2009,1,8,9,91.6451564028242
"179",2009,1,8,10,91.8912889734624
"180",2009,1,8,11,94.5597591991114
"181",2009,1,8,12,97.0801771845234
"182",2009,1,8,13,89.6894624423761
"183",2009,1,8,14,83.7155423437355
"184",2009,1,8,15,82.733905007136
"185",2009,1,8,16,77.0135687906581
"186",2009,1,8,17,72.4198495567198
"187",2009,1,8,18,69.0243133457724
"188",2009,1,8,19,65.348329430773
"189",2009,1,8,20,68.6888918390459
"190",2009,1,8,21,72.5537044559277
"191",2009,1,8,22,83.7609645000335
"192",2009,1,8,23,85.4847321112535
