"","year","month","day","hour","Outage"
"1",2009,1,1,0,100
"2",2009,1,1,1,100
"3",2009,1,1,2,100
"4",2009,1,1,3,99.8511185945539
"5",2009,1,1,4,98.9040204969202
"6",2009,1,1,5,98.2097578126036
"7",2009,1,1,6,95.1587476953013
"8",2009,1,1,7,89.791442567511
"9",2009,1,1,8,85.8926108901042
"10",2009,1,1,9,84.4263217299245
"11",2009,1,1,10,88.2584996721362
"12",2009,1,1,11,95.2018794255228
"13",2009,1,1,12,98.5120961091776
"14",2009,1,1,13,96.2553493191692
"15",2009,1,1,14,92.9808054606169
"16",2009,1,1,15,88.2564035136554
"17",2009,1,1,16,83.7292672383027
"18",2009,1,1,17,82.3576036412762
"19",2009,1,1,18,82.6661909035877
"20",2009,1,1,19,79.6440968271341
"21",2009,1,1,20,73.4877676261879
"22",2009,1,1,21,66.5865768774013
"23",2009,1,1,22,60.8761510863472
"24",2009,1,1,23,60.1060974615412
"25",2009,1,2,0,58.5964405786827
"26",2009,1,2,1,65.0925099027027
"27",2009,1,2,2,72.4481232625295
"28",2009,1,2,3,80.5604839748639
"29",2009,1,2,4,84.35911567364
"30",2009,1,2,5,84.5057920909885
"31",2009,1,2,6,85.5122615815256
"32",2009,1,2,7,89.0167960208339
"33",2009,1,2,8,91.0924751305746
"34",2009,1,2,9,96.8032851450014
"35",2009,1,2,10,98.5750674962442
"36",2009,1,2,11,99.880564692385
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,99.8472315126877
"41",2009,1,2,16,99.2464755004129
"42",2009,1,2,17,99.2173870280357
"43",2009,1,2,18,99.0929621956609
"44",2009,1,2,19,98.1284844525277
"45",2009,1,2,20,96.7106186354647
"46",2009,1,2,21,95.2585319970061
"47",2009,1,2,22,93.2627274257868
"48",2009,1,2,23,90.2639113827039
"49",2009,1,3,0,88.2763485077947
"50",2009,1,3,1,88.7875417874405
"51",2009,1,3,2,88.2746909392141
