"","year","month","day","hour","Outage"
"1",2009,1,1,0,99.1820575576063
"2",2009,1,1,1,98.2623530987826
"3",2009,1,1,2,93.9325433685348
"4",2009,1,1,3,87.712098187109
"5",2009,1,1,4,76.7837391175453
"6",2009,1,1,5,63.7633985795534
"7",2009,1,1,6,62.7985561891147
"8",2009,1,1,7,63.1608163432824
"9",2009,1,1,8,59.3705616622009
"10",2009,1,1,9,60.4639425829799
"11",2009,1,1,10,59.054033901157
"12",2009,1,1,11,64.1835301417209
"13",2009,1,1,12,78.9863260524762
"14",2009,1,1,13,88.14915863829
"15",2009,1,1,14,89.0675993620318
"16",2009,1,1,15,86.7166151893598
"17",2009,1,1,16,82.1909959728633
"18",2009,1,1,17,76.8920059745623
"19",2009,1,1,18,75.5020648088972
"20",2009,1,1,19,77.0974435271506
"21",2009,1,1,20,78.2039314326429
"22",2009,1,1,21,76.1879967507273
"23",2009,1,1,22,74.5066375044077
"24",2009,1,1,23,80.2208920716088
"25",2009,1,2,0,87.7649636172869
"26",2009,1,2,1,90.1687698628516
"27",2009,1,2,2,92.827012743589
"28",2009,1,2,3,93.0739746764639
"29",2009,1,2,4,92.4899909522997
"30",2009,1,2,5,92.4946301550353
"31",2009,1,2,6,94.2536185809822
"32",2009,1,2,7,98.9686186570438
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,99.8488600410477
"37",2009,1,2,12,96.7437545600545
"38",2009,1,2,13,89.7796549115274
"39",2009,1,2,14,87.0915493497748
"40",2009,1,2,15,84.3592227462583
"41",2009,1,2,16,77.0399343682432
"42",2009,1,2,17,61.6855105482589
"43",2009,1,2,18,49.5760576377755
"44",2009,1,2,19,41.8356065665961
"45",2009,1,2,20,32.5439510219318
"46",2009,1,2,21,27.5100510798611
"47",2009,1,2,22,18.8368129762976
"48",2009,1,2,23,10.6427391902082
"49",2009,1,3,0,6.99756823907582
"50",2009,1,3,1,1.4986756365422
"51",2009,1,3,2,0
"52",2009,1,3,3,0
"53",2009,1,3,4,0
"54",2009,1,3,5,0
"55",2009,1,3,6,0
"56",2009,1,3,7,0
"57",2009,1,3,8,0
"58",2009,1,3,9,0
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0.648498457816164
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,0.949585852260143
"82",2009,1,4,9,4.64894571316183
"83",2009,1,4,10,0
"84",2009,1,4,11,0
"85",2009,1,4,12,0
"86",2009,1,4,13,0
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,2.91742804662379
"95",2009,1,4,22,32.3242441570756
"96",2009,1,4,23,68.0054606836334
"97",2009,1,5,0,76.2098425711919
"98",2009,1,5,1,78.6136730528368
"99",2009,1,5,2,88.4508558420181
"100",2009,1,5,3,88.7015687698357
"101",2009,1,5,4,84.053730381498
