"","year","month","day","hour","Outage"
"1",2009,1,1,0,98.7501683738064
"2",2009,1,1,1,97.2774777872373
"3",2009,1,1,2,98.5932428600682
"4",2009,1,1,3,96.9027980774819
"5",2009,1,1,4,93.902218046437
"6",2009,1,1,5,89.4229420027168
"7",2009,1,1,6,86.9722687749974
"8",2009,1,1,7,84.93680995606
"9",2009,1,1,8,83.5387049931733
"10",2009,1,1,9,82.0018299546421
"11",2009,1,1,10,83.3630676643237
"12",2009,1,1,11,85.9164174223694
"13",2009,1,1,12,90.1473484050541
"14",2009,1,1,13,92.4501017298919
"15",2009,1,1,14,94.1148372376354
"16",2009,1,1,15,92.4549512396509
"17",2009,1,1,16,89.4111389897084
"18",2009,1,1,17,85.4075553284816
"19",2009,1,1,18,83.7546701058759
"20",2009,1,1,19,84.6455607341282
"21",2009,1,1,20,88.018028742782
"22",2009,1,1,21,89.5407866391315
"23",2009,1,1,22,90.8807283355901
"24",2009,1,1,23,93.2798126528318
"25",2009,1,2,0,94.3470119341001
"26",2009,1,2,1,95.0444927093858
"27",2009,1,2,2,96.8317959782996
"28",2009,1,2,3,98.771631909055
"29",2009,1,2,4,99.5437743070736
"30",2009,1,2,5,100
"31",2009,1,2,6,100
"32",2009,1,2,7,100
"33",2009,1,2,8,100
"34",2009,1,2,9,100
"35",2009,1,2,10,100
"36",2009,1,2,11,100
"37",2009,1,2,12,100
"38",2009,1,2,13,100
"39",2009,1,2,14,100
"40",2009,1,2,15,100
"41",2009,1,2,16,100
"42",2009,1,2,17,100
"43",2009,1,2,18,99.8505754520127
"44",2009,1,2,19,99.0703759743637
"45",2009,1,2,20,99.4681719994259
"46",2009,1,2,21,99.7333186609635
"47",2009,1,2,22,95.5748783758098
"48",2009,1,2,23,89.4407108465828
"49",2009,1,3,0,86.7994539125547
"50",2009,1,3,1,84.1393343982538
"51",2009,1,3,2,75.7560703852194
"52",2009,1,3,3,67.5310201001385
"53",2009,1,3,4,59.6384139321118
"54",2009,1,3,5,50.6644300578063
"55",2009,1,3,6,53.453892010146
"56",2009,1,3,7,35.4533865050174
"57",2009,1,3,8,12.5764053421662
"58",2009,1,3,9,0.490371548123014
"59",2009,1,3,10,0
"60",2009,1,3,11,0
"61",2009,1,3,12,0
"62",2009,1,3,13,0
"63",2009,1,3,14,0
"64",2009,1,3,15,0
"65",2009,1,3,16,0
"66",2009,1,3,17,0
"67",2009,1,3,18,0
"68",2009,1,3,19,0
"69",2009,1,3,20,0
"70",2009,1,3,21,0
"71",2009,1,3,22,0
"72",2009,1,3,23,0
"73",2009,1,4,0,0
"74",2009,1,4,1,0
"75",2009,1,4,2,0
"76",2009,1,4,3,0
"77",2009,1,4,4,0
"78",2009,1,4,5,0
"79",2009,1,4,6,0
"80",2009,1,4,7,0
"81",2009,1,4,8,1.3515724475124
"82",2009,1,4,9,11.5703082394618
"83",2009,1,4,10,19.0299217710225
"84",2009,1,4,11,36.9263270780882
"85",2009,1,4,12,51.1012490319879
"86",2009,1,4,13,34.2363953821043
"87",2009,1,4,14,0
"88",2009,1,4,15,0
"89",2009,1,4,16,0
"90",2009,1,4,17,0
"91",2009,1,4,18,0
"92",2009,1,4,19,0
"93",2009,1,4,20,0
"94",2009,1,4,21,0
"95",2009,1,4,22,0
"96",2009,1,4,23,0
"97",2009,1,5,0,0
"98",2009,1,5,1,0
"99",2009,1,5,2,0
"100",2009,1,5,3,0
"101",2009,1,5,4,0
"102",2009,1,5,5,0
"103",2009,1,5,6,4.56955173165174
"104",2009,1,5,7,26.5200874315928
"105",2009,1,5,8,53.0507868242979
"106",2009,1,5,9,66.25603044276
"107",2009,1,5,10,76.6649855810844
"108",2009,1,5,11,82.0089670208366
"109",2009,1,5,12,86.4709346187668
"110",2009,1,5,13,97.6040798406515
"111",2009,1,5,14,96.3247691651165
"112",2009,1,5,15,90.5753439686069
"113",2009,1,5,16,89.2546385712635
"114",2009,1,5,17,88.2226972027219
"115",2009,1,5,18,87.651842131879
"116",2009,1,5,19,87.1732806121353
"117",2009,1,5,20,84.9578591471615
"118",2009,1,5,21,79.6576831691387
"119",2009,1,5,22,70.5482647975488
"120",2009,1,5,23,58.7112377411193
"121",2009,1,6,0,54.9478918706247
"122",2009,1,6,1,51.4145851170139
"123",2009,1,6,2,46.5351575749689
"124",2009,1,6,3,40.2174075081718
"125",2009,1,6,4,35.0306641780736
"126",2009,1,6,5,32.8186177742876
"127",2009,1,6,6,40.4743408632109
"128",2009,1,6,7,48.3651244426416
"129",2009,1,6,8,47.0547013475847
"130",2009,1,6,9,46.1531801127509
"131",2009,1,6,10,54.8474022552914
"132",2009,1,6,11,71.3096986198232
"133",2009,1,6,12,87.1335833313579
"134",2009,1,6,13,94.8008089745197
"135",2009,1,6,14,97.8670755480148
"136",2009,1,6,15,99.220623003656
"137",2009,1,6,16,99.7292646677646
"138",2009,1,6,17,100
"139",2009,1,6,18,100
"140",2009,1,6,19,100
"141",2009,1,6,20,99.4645861456225
"142",2009,1,6,21,96.9327946527652
"143",2009,1,6,22,91.626790400996
"144",2009,1,6,23,83.5237812266336
"145",2009,1,7,0,65.10323829563
"146",2009,1,7,1,45.3947751810974
"147",2009,1,7,2,35.6236902519086
"148",2009,1,7,3,23.2918030112564
"149",2009,1,7,4,2.97499011475409
"150",2009,1,7,5,0.0249393505820613
"151",2009,1,7,6,21.7322028364616
"152",2009,1,7,7,68.7422038319582
"153",2009,1,7,8,85.0669856645974
"154",2009,1,7,9,88.5001600865046
"155",2009,1,7,10,81.0837637987571
"156",2009,1,7,11,87.1675516157082
"157",2009,1,7,12,96.7525018845361
"158",2009,1,7,13,99.6090228843205
"159",2009,1,7,14,100
"160",2009,1,7,15,100
"161",2009,1,7,16,100
"162",2009,1,7,17,100
"163",2009,1,7,18,100
"164",2009,1,7,19,100
"165",2009,1,7,20,100
"166",2009,1,7,21,100
"167",2009,1,7,22,100
"168",2009,1,7,23,100
"169",2009,1,8,0,100
"170",2009,1,8,1,99.4258737619962
"171",2009,1,8,2,99.0883634492764
"172",2009,1,8,3,100
"173",2009,1,8,4,100
"174",2009,1,8,5,99.0204955848968
"175",2009,1,8,6,97.5339833914845
"176",2009,1,8,7,95.2985358490873
"177",2009,1,8,8,92.4920120742888
"178",2009,1,8,9,88.9897756835029
"179",2009,1,8,10,86.1157386412856
"180",2009,1,8,11,83.5442055969881
"181",2009,1,8,12,81.531185788044
"182",2009,1,8,13,79.3992203580056
"183",2009,1,8,14,74.1654221770819
"184",2009,1,8,15,61.5137058979892
"185",2009,1,8,16,53.451233378669
"186",2009,1,8,17,24.2061211096122
"187",2009,1,8,18,0.26781730212533
"188",2009,1,8,19,0
"189",2009,1,8,20,0
"190",2009,1,8,21,0
"191",2009,1,8,22,0
"192",2009,1,8,23,0
"193",2009,1,9,0,0
"194",2009,1,9,1,0
"195",2009,1,9,2,0
"196",2009,1,9,3,0
"197",2009,1,9,4,0
"198",2009,1,9,5,0
"199",2009,1,9,6,0
"200",2009,1,9,7,0
"201",2009,1,9,8,1.02842920129351
"202",2009,1,9,9,7.53184329215359
"203",2009,1,9,10,34.9978323086997
"204",2009,1,9,11,60.0135272113411
"205",2009,1,9,12,69.6995955772756
"206",2009,1,9,13,76.7252391063887
"207",2009,1,9,14,70.2940776950895
"208",2009,1,9,15,57.1655892633486
"209",2009,1,9,16,51.7911272319645
"210",2009,1,9,17,47.9788491848063
"211",2009,1,9,18,44.1580864224227
"212",2009,1,9,19,32.1086131194871
"213",2009,1,9,20,37.7673374563509
"214",2009,1,9,21,50.1678577170999
"215",2009,1,9,22,45.6423096012535
"216",2009,1,9,23,39.8258585620295
"217",2009,1,10,0,14.3616900356198
"218",2009,1,10,1,0
"219",2009,1,10,2,1.3397880391674
"220",2009,1,10,3,13.469967854691
"221",2009,1,10,4,11.0382170352948
"222",2009,1,10,5,12.4247840725592
"223",2009,1,10,6,18.7791400803144
"224",2009,1,10,7,31.7898127034043
"225",2009,1,10,8,55.3884351768255
"226",2009,1,10,9,59.6734361478157
"227",2009,1,10,10,68.5241677307324
"228",2009,1,10,11,80.867053013614
"229",2009,1,10,12,91.683253755729
"230",2009,1,10,13,98.3407720704901
"231",2009,1,10,14,100
"232",2009,1,10,15,100
"233",2009,1,10,16,100
"234",2009,1,10,17,100
"235",2009,1,10,18,100
"236",2009,1,10,19,100
"237",2009,1,10,20,100
"238",2009,1,10,21,100
"239",2009,1,10,22,99.8536019222063
"240",2009,1,10,23,97.1123332221098
"241",2009,1,11,0,83.175620028385
"242",2009,1,11,1,65.2553306829837
"243",2009,1,11,2,24.1937145471362
"244",2009,1,11,3,1.65301857038391
"245",2009,1,11,4,0
"246",2009,1,11,5,0
"247",2009,1,11,6,0
"248",2009,1,11,7,0
"249",2009,1,11,8,6.64848352120741
"250",2009,1,11,9,38.7887418084193
"251",2009,1,11,10,47.7238133114965
"252",2009,1,11,11,69.5052373575917
"253",2009,1,11,12,87.2344031668956
"254",2009,1,11,13,94.8048219007212
"255",2009,1,11,14,97.5944239475566
"256",2009,1,11,15,98.9535860713621
"257",2009,1,11,16,99.7028372753853
"258",2009,1,11,17,100
"259",2009,1,11,18,100
"260",2009,1,11,19,100
"261",2009,1,11,20,100
"262",2009,1,11,21,100
"263",2009,1,11,22,98.9968274237201
"264",2009,1,11,23,90.6477133699249
"265",2009,1,12,0,81.3115464525419
"266",2009,1,12,1,75.4193264975582
"267",2009,1,12,2,74.9200677205952
"268",2009,1,12,3,75.6430372921126
"269",2009,1,12,4,75.6774779832961
"270",2009,1,12,5,71.5857174533479
"271",2009,1,12,6,60.0054078197658
"272",2009,1,12,7,39.8572367104354
"273",2009,1,12,8,8.50306536295927
"274",2009,1,12,9,0
"275",2009,1,12,10,0
"276",2009,1,12,11,0
"277",2009,1,12,12,0
"278",2009,1,12,13,0.157761708871412
"279",2009,1,12,14,2.48959749982993
"280",2009,1,12,15,0.361663982111706
"281",2009,1,12,16,0
"282",2009,1,12,17,0
"283",2009,1,12,18,0
"284",2009,1,12,19,0
"285",2009,1,12,20,0
"286",2009,1,12,21,0
"287",2009,1,12,22,0
"288",2009,1,12,23,1.69286115124961
"289",2009,1,13,0,25.6269800287599
"290",2009,1,13,1,58.7968369700416
"291",2009,1,13,2,86.0541560987173
"292",2009,1,13,3,95.5581395588026
"293",2009,1,13,4,97.5602574586201
"294",2009,1,13,5,96.7273727199172
"295",2009,1,13,6,95.5760315544498
"296",2009,1,13,7,98.6187088479284
"297",2009,1,13,8,100
"298",2009,1,13,9,100
"299",2009,1,13,10,100
"300",2009,1,13,11,100
"301",2009,1,13,12,100
"302",2009,1,13,13,100
"303",2009,1,13,14,100
"304",2009,1,13,15,100
"305",2009,1,13,16,100
"306",2009,1,13,17,100
"307",2009,1,13,18,100
"308",2009,1,13,19,100
"309",2009,1,13,20,99.5377363157136
"310",2009,1,13,21,95.1496821562153
"311",2009,1,13,22,88.7354794250959
"312",2009,1,13,23,81.0990236491025
"313",2009,1,14,0,62.6220668315594
"314",2009,1,14,1,51.8873739106841
"315",2009,1,14,2,39.0776369852136
"316",2009,1,14,3,27.2132745895866
"317",2009,1,14,4,6.94132453215004
"318",2009,1,14,5,0
"319",2009,1,14,6,0
"320",2009,1,14,7,0
"321",2009,1,14,8,0
"322",2009,1,14,9,0
"323",2009,1,14,10,1.12513272709813
"324",2009,1,14,11,6.36104471318203
"325",2009,1,14,12,2.19019350811529
"326",2009,1,14,13,4.30952721996963
"327",2009,1,14,14,5.3451797783583
"328",2009,1,14,15,1.30260445411471
"329",2009,1,14,16,0
"330",2009,1,14,17,0
"331",2009,1,14,18,0
"332",2009,1,14,19,0
"333",2009,1,14,20,0
"334",2009,1,14,21,0
"335",2009,1,14,22,0
"336",2009,1,14,23,0
"337",2009,1,15,0,0.564365607961128
"338",2009,1,15,1,2.4342433816904
"339",2009,1,15,2,2.66312156607266
"340",2009,1,15,3,1.69915431567748
"341",2009,1,15,4,0
"342",2009,1,15,5,0
"343",2009,1,15,6,0
"344",2009,1,15,7,0
"345",2009,1,15,8,0
"346",2009,1,15,9,0
"347",2009,1,15,10,0
"348",2009,1,15,11,0
"349",2009,1,15,12,0
"350",2009,1,15,13,0
"351",2009,1,15,14,0
"352",2009,1,15,15,0
"353",2009,1,15,16,0
"354",2009,1,15,17,0
"355",2009,1,15,18,0
"356",2009,1,15,19,0
"357",2009,1,15,20,0
"358",2009,1,15,21,0
"359",2009,1,15,22,0
"360",2009,1,15,23,0
"361",2009,1,16,0,0
"362",2009,1,16,1,0
"363",2009,1,16,2,0
"364",2009,1,16,3,0
"365",2009,1,16,4,0
"366",2009,1,16,5,0
"367",2009,1,16,6,0
"368",2009,1,16,7,0
"369",2009,1,16,8,0
"370",2009,1,16,9,2.21996471016496
"371",2009,1,16,10,14.7473931163509
"372",2009,1,16,11,31.1592596723202
"373",2009,1,16,12,29.8173531752614
"374",2009,1,16,13,20.0146810737109
"375",2009,1,16,14,15.9123556520993
"376",2009,1,16,15,11.9491317146384
"377",2009,1,16,16,5.38614983088489
"378",2009,1,16,17,0.500226262781269
"379",2009,1,16,18,0
"380",2009,1,16,19,0
"381",2009,1,16,20,0
"382",2009,1,16,21,0
"383",2009,1,16,22,0
"384",2009,1,16,23,0
"385",2009,1,17,0,0
"386",2009,1,17,1,0
"387",2009,1,17,2,0
"388",2009,1,17,3,0
"389",2009,1,17,4,0
"390",2009,1,17,5,0
"391",2009,1,17,6,0
